Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laurie Hawn,Donna Martyn,Peggy Morton,David James Parker,Jim Wachowich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Edmonton Centre/Edmonton-Centre"," 1","Edmonton",121,37,0,17,37,1,213,404
48012,"Edmonton Centre/Edmonton-Centre"," 2","Edmonton",96,28,0,15,45,2,186,428
48012,"Edmonton Centre/Edmonton-Centre"," 3","Edmonton",52,37,0,15,19,1,124,393
48012,"Edmonton Centre/Edmonton-Centre"," 4","Edmonton",137,37,0,16,56,0,246,450
48012,"Edmonton Centre/Edmonton-Centre"," 5","Edmonton",107,29,0,13,23,0,172,307
48012,"Edmonton Centre/Edmonton-Centre"," 6","Edmonton",100,43,0,16,29,0,188,371
48012,"Edmonton Centre/Edmonton-Centre"," 7","Edmonton",93,26,0,13,26,1,159,303
48012,"Edmonton Centre/Edmonton-Centre"," 8","Edmonton",116,36,0,11,37,0,200,398
48012,"Edmonton Centre/Edmonton-Centre"," 9","Edmonton",75,21,1,14,39,0,150,347
48012,"Edmonton Centre/Edmonton-Centre"," 10","Edmonton",46,29,0,10,22,0,107,285
48012,"Edmonton Centre/Edmonton-Centre"," 11","Edmonton",90,39,0,13,34,0,176,339
48012,"Edmonton Centre/Edmonton-Centre"," 12","Edmonton",81,32,0,7,17,0,137,322
48012,"Edmonton Centre/Edmonton-Centre"," 13","Edmonton",54,40,1,10,15,0,120,293
48012,"Edmonton Centre/Edmonton-Centre"," 14","Edmonton",72,38,0,19,29,0,158,383
48012,"Edmonton Centre/Edmonton-Centre"," 15","Edmonton",123,44,2,16,38,0,223,421
48012,"Edmonton Centre/Edmonton-Centre"," 16","Edmonton",81,38,0,15,40,1,175,379
48012,"Edmonton Centre/Edmonton-Centre"," 17","Edmonton",121,28,1,19,48,2,219,436
48012,"Edmonton Centre/Edmonton-Centre"," 18","Edmonton",25,27,0,5,11,0,68,322
48012,"Edmonton Centre/Edmonton-Centre"," 19","Edmonton",67,23,1,15,50,0,156,300
48012,"Edmonton Centre/Edmonton-Centre"," 20","Edmonton",51,40,0,9,42,0,142,397
