Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leonard Aitken,Duncan Fletcher,Nadine Hawkins,John McCallum,Allen Small,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35045,"Markham--Unionville/Markham--Unionville"," 1","Markham",16,60,27,89,0,2,194,463
35045,"Markham--Unionville/Markham--Unionville"," 2","Markham",11,82,17,159,1,0,270,503
35045,"Markham--Unionville/Markham--Unionville"," 3A","Markham",5,44,13,69,1,0,132,273
35045,"Markham--Unionville/Markham--Unionville"," 3B","Markham",4,77,20,89,0,0,190,367
35045,"Markham--Unionville/Markham--Unionville"," 4","Markham",6,94,22,122,1,3,248,581
35045,"Markham--Unionville/Markham--Unionville"," 5","Markham",13,113,8,114,3,2,253,461
35045,"Markham--Unionville/Markham--Unionville"," 6","Markham",20,63,23,56,7,0,169,329
35045,"Markham--Unionville/Markham--Unionville"," 7","Markham",9,90,15,82,0,0,196,318
35045,"Markham--Unionville/Markham--Unionville"," 8","Markham",16,89,12,152,1,1,271,571
35045,"Markham--Unionville/Markham--Unionville"," 9A","Markham",2,67,12,84,0,0,165,358
35045,"Markham--Unionville/Markham--Unionville"," 9B","Markham",7,35,3,71,2,1,119,260
35045,"Markham--Unionville/Markham--Unionville"," 10","Markham",8,65,18,109,0,2,202,483
35045,"Markham--Unionville/Markham--Unionville"," 11A","Markham",10,56,9,96,1,0,172,365
35045,"Markham--Unionville/Markham--Unionville"," 11B","Markham",3,76,16,100,0,1,196,411
35045,"Markham--Unionville/Markham--Unionville"," 12","Markham",10,93,15,147,0,0,265,611
35045,"Markham--Unionville/Markham--Unionville"," 13","Markham",11,85,28,142,0,0,266,541
35045,"Markham--Unionville/Markham--Unionville"," 14","Markham",9,71,17,108,0,0,205,422
35045,"Markham--Unionville/Markham--Unionville"," 15","Markham",8,84,12,184,0,1,289,581
35045,"Markham--Unionville/Markham--Unionville"," 16A","Markham",8,57,7,70,0,2,144,274
35045,"Markham--Unionville/Markham--Unionville"," 16B","Markham",7,51,7,68,0,1,134,324
35045,"Markham--Unionville/Markham--Unionville"," 17","Markham",10,69,3,50,0,0,132,391
35045,"Markham--Unionville/Markham--Unionville"," 18","Markham",10,49,12,39,1,0,111,209
35045,"Markham--Unionville/Markham--Unionville"," 19","Markham",12,78,14,167,1,1,273,514
35045,"Markham--Unionville/Markham--Unionville"," 20","Markham",12,61,14,117,2,1,207,413
35045,"Markham--Unionville/Markham--Unionville"," 21","Markham",11,71,14,120,0,5,221,420
35045,"Markham--Unionville/Markham--Unionville"," 22","Markham",11,83,16,120,0,0,230,561
35045,"Markham--Unionville/Markham--Unionville"," 23","Markham",4,48,14,63,3,1,133,428
35045,"Markham--Unionville/Markham--Unionville"," 23-1","Markham",7,40,20,79,1,1,148,427
35045,"Markham--Unionville/Markham--Unionville"," 23-2","Markham",9,50,24,76,0,0,159,540
35045,"Markham--Unionville/Markham--Unionville"," 24","Markham",3,6,7,29,0,0,45,127
35045,"Markham--Unionville/Markham--Unionville"," 25A","Markham",9,75,11,79,0,0,174,453
35045,"Markham--Unionville/Markham--Unionville"," 25B","Markham",10,57,29,75,1,1,173,364
35045,"Markham--Unionville/Markham--Unionville"," 26","Markham",4,126,9,100,0,0,239,407
35045,"Markham--Unionville/Markham--Unionville"," 27","Markham",17,103,29,112,3,1,265,525
35045,"Markham--Unionville/Markham--Unionville"," 28","Markham",19,110,2,75,0,0,206,369
35045,"Markham--Unionville/Markham--Unionville"," 29","Markham",10,123,4,90,0,0,227,369
35045,"Markham--Unionville/Markham--Unionville"," 30","Markham",19,163,22,151,1,2,358,581
35045,"Markham--Unionville/Markham--Unionville"," 31","Markham",16,147,12,94,0,0,269,433
35045,"Markham--Unionville/Markham--Unionville"," 32","Markham",23,157,13,121,0,1,315,548
35045,"Markham--Unionville/Markham--Unionville"," 33","Markham",17,124,17,98,1,0,257,449
35045,"Markham--Unionville/Markham--Unionville"," 34","Markham",20,124,5,77,0,0,226,392
35045,"Markham--Unionville/Markham--Unionville"," 35","Markham",14,95,12,98,0,1,220,360
35045,"Markham--Unionville/Markham--Unionville"," 36","Markham",18,68,10,80,3,1,180,324
35045,"Markham--Unionville/Markham--Unionville"," 37","Markham",10,107,8,148,2,0,275,518
35045,"Markham--Unionville/Markham--Unionville"," 38","Markham",19,80,16,89,2,0,206,322
35045,"Markham--Unionville/Markham--Unionville"," 39","Markham",29,119,14,129,1,1,293,481
35045,"Markham--Unionville/Markham--Unionville"," 40","Markham",8,91,17,86,0,0,202,373
35045,"Markham--Unionville/Markham--Unionville"," 41","Markham",9,53,7,48,1,0,118,213
35045,"Markham--Unionville/Markham--Unionville"," 42A","Markham",2,10,1,12,0,0,25,85
35045,"Markham--Unionville/Markham--Unionville"," 42B","Markham",8,77,7,111,0,0,203,350
35045,"Markham--Unionville/Markham--Unionville"," 43","Markham",19,93,15,96,0,0,223,493
35045,"Markham--Unionville/Markham--Unionville"," 44","Markham",19,91,12,83,1,0,206,408
35045,"Markham--Unionville/Markham--Unionville"," 45","Markham",7,49,12,93,4,2,167,428
35045,"Markham--Unionville/Markham--Unionville"," 45-1","Markham",10,82,16,134,0,1,243,503
35045,"Markham--Unionville/Markham--Unionville"," 46","Markham",10,77,30,110,0,1,228,481
35045,"Markham--Unionville/Markham--Unionville"," 47A","Markham",15,46,10,81,1,2,155,328
35045,"Markham--Unionville/Markham--Unionville"," 47B","Markham",6,56,17,81,0,0,160,284
35045,"Markham--Unionville/Markham--Unionville"," 48","Markham",7,88,27,151,1,0,274,525
35045,"Markham--Unionville/Markham--Unionville"," 49","Markham",13,61,22,107,1,0,204,403
35045,"Markham--Unionville/Markham--Unionville"," 50","Markham",9,50,21,88,1,0,169,409
35045,"Markham--Unionville/Markham--Unionville"," 51","Markham",7,76,23,115,1,2,224,590
35045,"Markham--Unionville/Markham--Unionville"," 52","Markham",14,81,22,102,1,4,224,509
35045,"Markham--Unionville/Markham--Unionville"," 53","Markham",Void/Supprimé,,,,,,,
35045,"Markham--Unionville/Markham--Unionville"," 54","Markham",23,82,39,103,2,1,250,565
35045,"Markham--Unionville/Markham--Unionville"," 55","Markham",12,77,25,81,0,0,195,463
35045,"Markham--Unionville/Markham--Unionville"," 56","Markham",11,114,22,104,0,0,251,496
