Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Audette,Christian-Simon Ferlatte,Mario Laframboise,Scott Pearce,André Robert,Alain Senécal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 1","Bowman",4,0,75,60,70,36,1,246,504
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 2","Val-des-Bois",3,0,77,55,48,32,2,217,345
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 3","Val-des-Bois",7,0,58,64,59,26,1,215,381
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 4","Mulgrave-et-Derry",3,0,19,18,13,6,0,59,113
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 5","Mulgrave-et-Derry (Mayo)",5,0,7,46,25,12,0,95,151
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 6","Mayo",18,0,42,79,73,41,1,254,405
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 7","Lochaber",11,1,96,52,34,27,2,223,428
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 8","Lochaber",3,0,67,31,29,24,0,154,307
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 9","Thurso",0,0,67,19,26,16,0,128,291
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 10","Thurso",6,0,81,28,30,33,2,180,448
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 11","Thurso",1,0,126,37,34,26,2,226,434
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 12","Thurso",8,0,149,27,20,42,6,252,520
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 13","Thurso",4,0,81,23,31,16,2,157,346
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 14","Saint-Sixte",6,1,94,31,28,29,2,191,313
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 15","Ripon",13,0,123,27,18,26,1,208,322
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 16","Ripon",7,1,154,39,49,25,2,277,518
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 17","Ripon",7,0,111,28,34,37,1,218,364
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 18","Montpellier",6,0,102,27,25,14,2,176,333
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 19","Montpellier",6,0,138,38,43,38,1,264,508
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 20","Duhamel",9,0,106,23,21,19,1,179,323
24004,"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 21","Lac-des-Plages",10,0,121,38,38,28,3,238,391
