Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Erik Matthew Millett,Rob Moir,Rob Moore,Mark Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13004,"Fundy Royal/Fundy Royal"," 1","Cumberland Bay",19,46,101,33,2,201,305
13004,"Fundy Royal/Fundy Royal"," 2","Youngs Cove",15,57,105,46,2,225,374
13004,"Fundy Royal/Fundy Royal"," 3","Canaan Forks",4,22,82,8,2,118,178
13004,"Fundy Royal/Fundy Royal"," 4","Havelock",10,26,72,20,0,128,213
13004,"Fundy Royal/Fundy Royal"," 4-1","Havelock",14,56,130,53,2,255,402
13004,"Fundy Royal/Fundy Royal"," 5","Havelock",Merged with No. 6/Fusionné avec le nº 6,,,,,,91
13004,"Fundy Royal/Fundy Royal"," 6","Cornhill",21,59,78,16,2,176,237
13004,"Fundy Royal/Fundy Royal"," 7","Anagance",12,64,106,33,1,216,402
13004,"Fundy Royal/Fundy Royal"," 8","Steeves Settlement",24,60,143,22,0,249,430
13004,"Fundy Royal/Fundy Royal"," 9","Petitcodiac",17,32,81,16,1,147,301
13004,"Fundy Royal/Fundy Royal"," 10","Petitcodiac",24,51,80,24,6,185,327
13004,"Fundy Royal/Fundy Royal"," 11","Petitcodiac",8,41,81,25,1,156,362
13004,"Fundy Royal/Fundy Royal"," 12","Petitcodiac",15,33,87,31,1,167,321
13004,"Fundy Royal/Fundy Royal"," 13","Petitcodiac",18,62,93,16,2,191,295
13004,"Fundy Royal/Fundy Royal"," 14A","Elgin",14,32,87,24,1,158,240
13004,"Fundy Royal/Fundy Royal"," 14B","Elgin",12,33,75,16,0,136,232
13004,"Fundy Royal/Fundy Royal"," 15","Dobsons Corner",11,41,151,20,3,226,380
13004,"Fundy Royal/Fundy Royal"," 16","River Glade",16,57,86,16,1,176,364
13004,"Fundy Royal/Fundy Royal"," 17","River Glade",5,27,27,5,0,64,126
13004,"Fundy Royal/Fundy Royal"," 18","Second North River",15,49,119,43,1,227,367
13004,"Fundy Royal/Fundy Royal"," 19","Salisbury",14,41,100,36,0,191,387
13004,"Fundy Royal/Fundy Royal"," 20","Salisbury",17,41,69,12,1,140,275
13004,"Fundy Royal/Fundy Royal"," 20-1","Salisbury",13,47,63,21,2,146,386
13004,"Fundy Royal/Fundy Royal"," 21","Salisbury",13,43,83,17,0,156,330
13004,"Fundy Royal/Fundy Royal"," 22","Salisbury",19,56,95,25,2,197,372
13004,"Fundy Royal/Fundy Royal"," 23","River Glade",8,32,84,11,0,135,291
13004,"Fundy Royal/Fundy Royal"," 24","Five Points",30,40,144,31,1,246,432
13004,"Fundy Royal/Fundy Royal"," 25","Colpitts Settlement",8,57,93,12,0,170,348
13004,"Fundy Royal/Fundy Royal"," 26","Colpitts Settlement",9,48,109,16,4,186,353
13004,"Fundy Royal/Fundy Royal"," 27","Parkindale",22,53,125,17,0,217,324
13004,"Fundy Royal/Fundy Royal"," 28","Synton",26,51,157,23,1,258,438
13004,"Fundy Royal/Fundy Royal"," 29","Turtle Creek",14,49,117,9,2,191,334
13004,"Fundy Royal/Fundy Royal"," 30","Pine Glen",11,52,109,13,1,186,312
13004,"Fundy Royal/Fundy Royal"," 31A","Riverview",7,25,45,13,0,90,256
13004,"Fundy Royal/Fundy Royal"," 31B","Riverview",1,25,66,6,2,100,253
13004,"Fundy Royal/Fundy Royal"," 32","Riverview",18,36,125,34,2,215,369
13004,"Fundy Royal/Fundy Royal"," 33A","Riverview",7,27,69,33,2,138,241
13004,"Fundy Royal/Fundy Royal"," 33B","Riverview",16,35,63,12,0,126,232
13004,"Fundy Royal/Fundy Royal"," 34A","Riverview",10,27,43,25,1,106,232
13004,"Fundy Royal/Fundy Royal"," 34B","Riverview",10,33,59,18,1,121,230
13004,"Fundy Royal/Fundy Royal"," 35","Riverview",28,56,104,34,0,222,393
13004,"Fundy Royal/Fundy Royal"," 36A","Riverview",5,45,62,25,3,140,261
13004,"Fundy Royal/Fundy Royal"," 36B","Riverview",11,29,57,12,2,111,239
13004,"Fundy Royal/Fundy Royal"," 37","Riverview",7,46,97,21,5,176,387
13004,"Fundy Royal/Fundy Royal"," 38","Riverview",16,65,77,27,0,185,379
13004,"Fundy Royal/Fundy Royal"," 39A","Riverview",20,44,50,28,1,143,291
13004,"Fundy Royal/Fundy Royal"," 39B","Riverview",12,40,73,20,1,146,268
13004,"Fundy Royal/Fundy Royal"," 40A","Riverview",20,40,57,37,1,155,292
13004,"Fundy Royal/Fundy Royal"," 40B","Riverview",14,32,110,52,1,209,351
13004,"Fundy Royal/Fundy Royal"," 41","Riverview",13,76,66,31,3,189,381
13004,"Fundy Royal/Fundy Royal"," 42","Riverview",22,56,114,33,1,226,410
13004,"Fundy Royal/Fundy Royal"," 43A","Riverview",22,38,71,28,1,160,264
13004,"Fundy Royal/Fundy Royal"," 43B","Riverview",23,58,65,25,0,171,286
13004,"Fundy Royal/Fundy Royal"," 44","Riverview",22,49,93,22,0,186,316
13004,"Fundy Royal/Fundy Royal"," 45","Lower Coverdale",25,46,94,33,2,200,384
13004,"Fundy Royal/Fundy Royal"," 46A","Lower Coverdale",6,26,57,21,1,111,189
13004,"Fundy Royal/Fundy Royal"," 46B","Lower Coverdale",13,33,85,19,1,151,226
13004,"Fundy Royal/Fundy Royal"," 47","Lower Coverdale",29,61,115,29,2,236,390
13004,"Fundy Royal/Fundy Royal"," 48","Stoney Creek",17,51,101,14,4,187,356
13004,"Fundy Royal/Fundy Royal"," 49","Osborne Corner",30,52,97,17,2,198,364
13004,"Fundy Royal/Fundy Royal"," 50","Hillsborough",14,31,90,13,5,153,287
13004,"Fundy Royal/Fundy Royal"," 51","Hillsborough",16,50,162,24,2,254,411
13004,"Fundy Royal/Fundy Royal"," 52","Hillsborough",15,41,103,11,4,174,298
13004,"Fundy Royal/Fundy Royal"," 53","Albert Mines",16,55,126,9,1,207,332
13004,"Fundy Royal/Fundy Royal"," 54","Hopewell Cape",24,49,91,26,1,191,310
13004,"Fundy Royal/Fundy Royal"," 55","Hopewell Hill",5,26,66,27,2,126,226
13004,"Fundy Royal/Fundy Royal"," 56","Riverside-Albert",9,33,75,34,1,152,277
13004,"Fundy Royal/Fundy Royal"," 57","Harvey",16,46,89,45,1,197,339
13004,"Fundy Royal/Fundy Royal"," 58","Alma",24,28,92,19,3,166,217
13004,"Fundy Royal/Fundy Royal"," 59","Penobsquis",18,46,74,33,3,174,306
13004,"Fundy Royal/Fundy Royal"," 60","Cedar Camp",11,41,70,30,1,153,268
13004,"Fundy Royal/Fundy Royal"," 61","Sussex",19,56,90,37,1,203,435
13004,"Fundy Royal/Fundy Royal"," 62","Waterford",14,40,131,23,1,209,400
13004,"Fundy Royal/Fundy Royal"," 63","Sussex Corner",7,26,118,31,0,182,346
13004,"Fundy Royal/Fundy Royal"," 64","Sussex Corner",16,37,100,28,1,182,364
13004,"Fundy Royal/Fundy Royal"," 65","Sussex Corner",9,43,111,46,2,211,448
13004,"Fundy Royal/Fundy Royal"," 66","Dutch Valley",12,39,102,28,2,183,310
13004,"Fundy Royal/Fundy Royal"," 67","Wards Creek",13,31,108,24,3,179,359
13004,"Fundy Royal/Fundy Royal"," 68","Hammond",18,69,100,31,4,222,437
13004,"Fundy Royal/Fundy Royal"," 69","St. Martins",11,30,61,34,0,136,252
13004,"Fundy Royal/Fundy Royal"," 70","St. Martins",15,25,64,32,0,136,263
13004,"Fundy Royal/Fundy Royal"," 71","West Quaco",9,33,55,23,2,122,273
13004,"Fundy Royal/Fundy Royal"," 72","Bains Corner",5,27,62,17,2,113,259
13004,"Fundy Royal/Fundy Royal"," 73","Baxters Corner",13,52,84,44,4,197,423
13004,"Fundy Royal/Fundy Royal"," 74A","Loch Lomond",8,35,65,18,0,126,246
13004,"Fundy Royal/Fundy Royal"," 74B","Loch Lomond",11,40,56,17,1,125,242
13004,"Fundy Royal/Fundy Royal"," 75","Willow Grove",1,55,60,13,0,129,286
13004,"Fundy Royal/Fundy Royal"," 76","Gardner Creek",13,47,104,28,2,194,411
13004,"Fundy Royal/Fundy Royal"," 77A","Garnett Settlement",2,20,29,6,0,57,251
13004,"Fundy Royal/Fundy Royal"," 77B","Garnett Settlement",9,21,30,11,0,71,254
13004,"Fundy Royal/Fundy Royal"," 78","Garnett Settlement",13,44,75,27,3,162,406
13004,"Fundy Royal/Fundy Royal"," 79","Mispec",12,15,24,6,0,57,118
