Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Axel Kuhn,Marion Schaffer,Joseph Schwartz,Borys Wrzesnewskyj,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35022,"Etobicoke Centre/Etobicoke-Centre"," 173","Etobicoke",30,8,21,49,1,109,192
35022,"Etobicoke Centre/Etobicoke-Centre"," 174","Etobicoke",93,27,24,136,3,283,474
35022,"Etobicoke Centre/Etobicoke-Centre"," 175","Etobicoke",80,11,13,86,1,191,313
35022,"Etobicoke Centre/Etobicoke-Centre"," 176","Etobicoke",49,7,14,79,1,150,308
35022,"Etobicoke Centre/Etobicoke-Centre"," 177","Etobicoke",71,9,6,130,2,218,359
35022,"Etobicoke Centre/Etobicoke-Centre"," 178","Etobicoke",71,9,10,83,1,174,298
35022,"Etobicoke Centre/Etobicoke-Centre"," 179","Etobicoke",91,13,23,112,0,239,382
35022,"Etobicoke Centre/Etobicoke-Centre"," 180","Etobicoke",87,9,4,101,3,204,304
35022,"Etobicoke Centre/Etobicoke-Centre"," 181","Etobicoke",63,14,13,105,0,195,336
35022,"Etobicoke Centre/Etobicoke-Centre"," 182","Etobicoke",79,8,17,140,0,244,387
35022,"Etobicoke Centre/Etobicoke-Centre"," 183","Etobicoke",92,15,20,96,1,224,361
35022,"Etobicoke Centre/Etobicoke-Centre"," 184","Etobicoke",86,6,2,76,0,170,297
35022,"Etobicoke Centre/Etobicoke-Centre"," 185","Etobicoke",125,15,8,109,1,258,355
35022,"Etobicoke Centre/Etobicoke-Centre"," 186","Etobicoke",47,8,17,61,0,133,323
35022,"Etobicoke Centre/Etobicoke-Centre"," 187","Etobicoke",77,9,29,88,0,203,399
35022,"Etobicoke Centre/Etobicoke-Centre"," 188","Etobicoke",98,6,6,129,0,239,386
35022,"Etobicoke Centre/Etobicoke-Centre"," 189","Etobicoke",108,15,12,112,0,247,306
35022,"Etobicoke Centre/Etobicoke-Centre"," 190","Etobicoke",39,5,3,53,0,100,254
35022,"Etobicoke Centre/Etobicoke-Centre"," 191","Etobicoke",81,13,6,107,1,208,337
35022,"Etobicoke Centre/Etobicoke-Centre"," 192","Etobicoke",69,15,20,81,0,185,400
35022,"Etobicoke Centre/Etobicoke-Centre"," 193","Etobicoke",56,5,18,66,0,145,248
35022,"Etobicoke Centre/Etobicoke-Centre"," 194","Etobicoke",59,26,39,67,0,191,543
35022,"Etobicoke Centre/Etobicoke-Centre"," 400","Etobicoke",68,10,35,134,3,250,459
35022,"Etobicoke Centre/Etobicoke-Centre"," 401","Etobicoke",84,13,25,145,1,268,401
35022,"Etobicoke Centre/Etobicoke-Centre"," 402","Etobicoke",63,18,25,62,1,169,326
35022,"Etobicoke Centre/Etobicoke-Centre"," 403","Etobicoke",58,9,26,79,1,173,317
35022,"Etobicoke Centre/Etobicoke-Centre"," 404","Etobicoke",13,6,18,43,1,81,218
35022,"Etobicoke Centre/Etobicoke-Centre"," 405","Etobicoke",55,5,10,86,0,156,203
35022,"Etobicoke Centre/Etobicoke-Centre"," 406","Etobicoke",88,12,35,106,1,242,376
35022,"Etobicoke Centre/Etobicoke-Centre"," 407","Etobicoke",55,12,35,110,0,212,376
35022,"Etobicoke Centre/Etobicoke-Centre"," 408","Etobicoke",107,10,36,74,4,231,392
35022,"Etobicoke Centre/Etobicoke-Centre"," 409","Etobicoke",19,3,19,86,3,130,320
35022,"Etobicoke Centre/Etobicoke-Centre"," 410","Etobicoke",59,13,22,107,2,203,368
35022,"Etobicoke Centre/Etobicoke-Centre"," 411","Etobicoke",74,13,28,106,2,223,396
35022,"Etobicoke Centre/Etobicoke-Centre"," 412","Etobicoke",71,13,30,127,1,242,435
35022,"Etobicoke Centre/Etobicoke-Centre"," 413","Etobicoke",66,16,40,117,0,239,478
35022,"Etobicoke Centre/Etobicoke-Centre"," 414","Etobicoke",74,20,30,138,0,262,488
35022,"Etobicoke Centre/Etobicoke-Centre"," 415","Etobicoke",Void/Supprimé,,,,,,
35022,"Etobicoke Centre/Etobicoke-Centre"," 416","Etobicoke",70,17,42,158,3,290,470
35022,"Etobicoke Centre/Etobicoke-Centre"," 417","Etobicoke",75,14,19,140,4,252,439
35022,"Etobicoke Centre/Etobicoke-Centre"," 418","Etobicoke",83,19,18,86,4,210,328
35022,"Etobicoke Centre/Etobicoke-Centre"," 419","Etobicoke",106,19,15,81,0,221,339
35022,"Etobicoke Centre/Etobicoke-Centre"," 420","Etobicoke",59,11,33,107,1,211,406
35022,"Etobicoke Centre/Etobicoke-Centre"," 421","Etobicoke",77,12,23,104,0,216,342
35022,"Etobicoke Centre/Etobicoke-Centre"," 422","Etobicoke",34,5,23,37,0,99,199
35022,"Etobicoke Centre/Etobicoke-Centre"," 423","Etobicoke",Void/Supprimé,,,,,,
35022,"Etobicoke Centre/Etobicoke-Centre"," 424","Etobicoke",24,2,4,53,0,83,195
35022,"Etobicoke Centre/Etobicoke-Centre"," 500","Mobile poll/Bureau itinérant",38,7,12,68,3,128,88
35022,"Etobicoke Centre/Etobicoke-Centre"," 501","Mobile poll/Bureau itinérant",22,10,12,48,2,94,283
35022,"Etobicoke Centre/Etobicoke-Centre"," 502","Mobile poll/Bureau itinérant",15,5,8,42,3,73,226
35022,"Etobicoke Centre/Etobicoke-Centre"," 600","Etobicoke",138,23,29,183,1,374,
35022,"Etobicoke Centre/Etobicoke-Centre"," 601","Etobicoke",169,14,18,186,3,390,
35022,"Etobicoke Centre/Etobicoke-Centre"," 602","Etobicoke",250,14,13,313,1,591,
35022,"Etobicoke Centre/Etobicoke-Centre"," 603","Etobicoke",181,31,29,233,1,475,
35022,"Etobicoke Centre/Etobicoke-Centre"," 604","Etobicoke",304,42,32,292,2,672,
35022,"Etobicoke Centre/Etobicoke-Centre"," 605","Etobicoke",165,20,15,151,0,351,
35022,"Etobicoke Centre/Etobicoke-Centre"," 606","Etobicoke",206,11,14,180,1,412,
35022,"Etobicoke Centre/Etobicoke-Centre"," 607","Etobicoke",261,4,16,168,0,449,
35022,"Etobicoke Centre/Etobicoke-Centre"," 608","Etobicoke",372,25,14,320,1,732,
35022,"Etobicoke Centre/Etobicoke-Centre"," 609","Etobicoke",220,30,37,283,2,572,
35022,"Etobicoke Centre/Etobicoke-Centre"," 610","Etobicoke",164,19,22,120,1,326,
35022,"Etobicoke Centre/Etobicoke-Centre",,Group 1/Groupe 1,33,5,8,29,4,79,126
35022,"Etobicoke Centre/Etobicoke-Centre",,Group 2/Groupe 2,229,31,47,309,10,626,

