Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bellavance,François Fillion,Gwyneth Helen Grant,Jean Landry,Éric Lefebvre,Stéphane Ricard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 201-1B","Saint-Denis-de-Brompton",84,6,25,0,25,16,2,158,263
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 202","Saint-Denis-de-Brompton",147,10,64,1,42,23,4,291,464
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 202-1","Saint-Denis-de-Brompton",58,3,17,0,10,3,1,92,149
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 203","Saint-Denis-de-Brompton",125,13,32,3,32,28,3,236,376
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 400","Victoriaville",41,2,52,5,44,2,6,152,220
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 500","Mobile poll/Bureau itinérant",18,2,30,4,20,2,3,79,86
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 501","Mobile poll/Bureau itinérant",7,0,8,4,14,0,2,35,127
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 502","Mobile poll/Bureau itinérant",8,2,7,3,8,2,3,33,123
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 503","Mobile poll/Bureau itinérant",2,0,13,3,16,2,0,36,94
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 504","Mobile poll/Bureau itinérant",16,3,7,1,10,3,2,42,92
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 505","Mobile poll/Bureau itinérant",10,0,19,1,18,0,1,49,96
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 600","Daveluyville",82,1,8,2,44,2,3,142,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 601","St-Albert",67,4,16,3,48,17,2,157,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 602","Victoriaville",279,7,73,5,240,28,2,634,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 603","Victoriaville",273,7,84,9,184,26,11,594,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 604","Victoriaville",240,11,61,3,187,35,7,544,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 605","Warwick--Kingsey Falls",180,16,52,4,100,11,1,364,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 606","Ham-Nord",50,2,6,0,28,8,0,94,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 607","Wotton",63,0,18,0,21,8,0,110,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 608","Asbestos",133,4,28,3,69,9,4,250,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 609","Richmond",144,13,135,0,120,22,4,438,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 610","Windsor",264,3,80,4,160,31,10,552,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 611","Saint-François-Xavier-de-Brompton--Saint-Denis-de-Brompton",127,5,44,0,63,11,1,251,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 612","Victoriaville",393,22,72,8,341,41,7,884,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 613","Asbestos",309,6,78,6,192,19,6,616,
24055,"Richmond--Arthabaska/Richmond--Arthabaska",,Group 1/Groupe 1,26,7,13,0,46,4,1,97,259
24055,"Richmond--Arthabaska/Richmond--Arthabaska",,Group 2/Groupe 2,475,20,112,24,471,32,17,1151,

