Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Carmichael,Catherine Holliday,Rob Oliphant,David Sparrow,Georgina Wilcock,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Don Valley West/Don Valley-Ouest"," 1","North York",91,0,103,24,24,0,242,461
35017,"Don Valley West/Don Valley-Ouest"," 2","North York",102,1,90,14,7,1,215,400
35017,"Don Valley West/Don Valley-Ouest"," 3","North York",90,0,65,19,17,2,193,402
35017,"Don Valley West/Don Valley-Ouest"," 4","North York",62,1,74,42,16,0,195,477
35017,"Don Valley West/Don Valley-Ouest"," 5","North York",64,2,82,35,12,2,197,500
35017,"Don Valley West/Don Valley-Ouest"," 6","North York",127,0,76,2,8,0,213,471
35017,"Don Valley West/Don Valley-Ouest"," 7","North York",116,0,62,7,14,1,200,397
35017,"Don Valley West/Don Valley-Ouest"," 8","North York",128,0,116,22,17,0,283,417
35017,"Don Valley West/Don Valley-Ouest"," 9","North York",77,2,99,22,12,0,212,384
35017,"Don Valley West/Don Valley-Ouest"," 10","North York",91,0,76,7,12,0,186,331
35017,"Don Valley West/Don Valley-Ouest"," 11","North York",103,2,112,17,22,0,256,566
35017,"Don Valley West/Don Valley-Ouest"," 12","North York",114,1,75,2,10,0,202,461
35017,"Don Valley West/Don Valley-Ouest"," 13","North York",134,0,71,4,9,0,218,475
35017,"Don Valley West/Don Valley-Ouest"," 14","North York",128,0,75,3,13,0,219,377
35017,"Don Valley West/Don Valley-Ouest"," 15","North York",103,0,65,10,12,0,190,396
35017,"Don Valley West/Don Valley-Ouest"," 16A","North York",78,0,72,8,8,0,166,311
35017,"Don Valley West/Don Valley-Ouest"," 16B","North York",56,0,109,10,10,0,185,329
35017,"Don Valley West/Don Valley-Ouest"," 16-1","North York",42,0,34,1,3,2,82,158
35017,"Don Valley West/Don Valley-Ouest"," 17","North York",101,0,57,4,11,0,173,313
35017,"Don Valley West/Don Valley-Ouest"," 18","North York",145,1,97,7,7,0,257,449
35017,"Don Valley West/Don Valley-Ouest"," 19","North York",126,1,100,5,10,0,242,458
35017,"Don Valley West/Don Valley-Ouest"," 20","North York",91,0,104,5,12,0,212,429
35017,"Don Valley West/Don Valley-Ouest"," 21","North York",105,2,73,6,7,0,193,427
35017,"Don Valley West/Don Valley-Ouest"," 22","North York",87,1,56,3,2,1,150,403
35017,"Don Valley West/Don Valley-Ouest"," 23","North York",126,0,87,7,8,0,228,478
35017,"Don Valley West/Don Valley-Ouest"," 24","North York",167,1,81,3,20,0,272,483
35017,"Don Valley West/Don Valley-Ouest"," 25","North York",131,1,75,9,14,0,230,411
35017,"Don Valley West/Don Valley-Ouest"," 26","North York",133,0,72,5,13,1,224,428
35017,"Don Valley West/Don Valley-Ouest"," 27","North York",61,0,74,15,6,0,156,371
35017,"Don Valley West/Don Valley-Ouest"," 28","North York",48,2,55,12,18,0,135,444
35017,"Don Valley West/Don Valley-Ouest"," 29","North York",118,0,127,16,17,1,279,513
35017,"Don Valley West/Don Valley-Ouest"," 30","North York",45,0,70,11,10,1,137,247
35017,"Don Valley West/Don Valley-Ouest"," 31","North York",120,2,121,19,19,1,282,503
35017,"Don Valley West/Don Valley-Ouest"," 32","North York",89,1,71,2,17,2,182,390
35017,"Don Valley West/Don Valley-Ouest"," 33","North York",108,0,71,4,7,1,191,377
35017,"Don Valley West/Don Valley-Ouest"," 34","North York",118,0,51,3,5,1,178,371
35017,"Don Valley West/Don Valley-Ouest"," 35","North York",117,0,64,6,8,0,195,457
35017,"Don Valley West/Don Valley-Ouest"," 36","North York",97,1,54,4,9,0,165,328
35017,"Don Valley West/Don Valley-Ouest"," 37","North York",150,0,72,3,10,0,235,427
35017,"Don Valley West/Don Valley-Ouest"," 38","North York",99,0,43,1,16,0,159,263
35017,"Don Valley West/Don Valley-Ouest"," 39","North York",93,0,44,0,8,0,145,247
35017,"Don Valley West/Don Valley-Ouest"," 40","North York",135,1,76,5,6,3,226,427
35017,"Don Valley West/Don Valley-Ouest"," 41A","North York",68,0,31,1,1,2,103,292
35017,"Don Valley West/Don Valley-Ouest"," 41B","North York",77,0,35,1,6,0,119,294
35017,"Don Valley West/Don Valley-Ouest"," 42","North York",90,0,57,2,3,0,152,340
35017,"Don Valley West/Don Valley-Ouest"," 43","North York",73,0,81,5,12,0,171,317
35017,"Don Valley West/Don Valley-Ouest"," 44","North York",113,1,122,5,15,1,257,413
35017,"Don Valley West/Don Valley-Ouest"," 45","North York",130,0,105,6,17,0,258,440
35017,"Don Valley West/Don Valley-Ouest"," 46","North York",107,1,92,6,12,1,219,430
35017,"Don Valley West/Don Valley-Ouest"," 47","Toronto",155,3,148,8,23,6,343,542
35017,"Don Valley West/Don Valley-Ouest"," 48","Toronto",132,1,114,2,11,1,261,427
35017,"Don Valley West/Don Valley-Ouest"," 49","Toronto",108,1,132,9,24,0,274,423
35017,"Don Valley West/Don Valley-Ouest"," 50","Toronto",94,0,126,11,24,0,255,401
35017,"Don Valley West/Don Valley-Ouest"," 51","Toronto",111,0,139,11,26,1,288,426
35017,"Don Valley West/Don Valley-Ouest"," 52","Toronto",69,1,127,13,28,1,239,376
35017,"Don Valley West/Don Valley-Ouest"," 53","Toronto",89,2,147,37,24,1,300,484
35017,"Don Valley West/Don Valley-Ouest"," 54","Toronto",88,1,151,12,22,0,274,414
35017,"Don Valley West/Don Valley-Ouest"," 55","Toronto",79,0,88,3,10,0,180,308
35017,"Don Valley West/Don Valley-Ouest"," 56","Toronto",116,0,98,11,13,0,238,399
35017,"Don Valley West/Don Valley-Ouest"," 57","Toronto",86,0,123,9,16,0,234,382
35017,"Don Valley West/Don Valley-Ouest"," 58","Toronto",102,0,77,7,7,0,193,358
35017,"Don Valley West/Don Valley-Ouest"," 59","North York",173,1,57,3,9,1,244,366
35017,"Don Valley West/Don Valley-Ouest"," 60","North York",187,0,85,1,15,0,288,446
35017,"Don Valley West/Don Valley-Ouest"," 61A","North York",13,1,52,33,29,1,129,207
35017,"Don Valley West/Don Valley-Ouest"," 61B","North York",78,0,13,0,2,0,93,157
35017,"Don Valley West/Don Valley-Ouest"," 62","North York",148,0,81,1,9,0,239,378
35017,"Don Valley West/Don Valley-Ouest"," 63","North York",138,0,67,5,8,0,218,395
35017,"Don Valley West/Don Valley-Ouest"," 64","Toronto",155,0,99,3,9,0,266,412
35017,"Don Valley West/Don Valley-Ouest"," 65","Toronto",107,0,56,3,10,0,176,326
35017,"Don Valley West/Don Valley-Ouest"," 66","Toronto",74,0,105,10,16,0,205,343
35017,"Don Valley West/Don Valley-Ouest"," 67","Toronto",102,1,109,27,17,0,256,493
35017,"Don Valley West/Don Valley-Ouest"," 68","Toronto",110,0,124,8,20,0,262,405
35017,"Don Valley West/Don Valley-Ouest"," 69","Toronto",77,0,125,13,29,1,245,411
35017,"Don Valley West/Don Valley-Ouest"," 70","Toronto",71,2,143,17,29,2,264,458
35017,"Don Valley West/Don Valley-Ouest"," 71","Toronto",26,0,59,9,10,0,104,211
35017,"Don Valley West/Don Valley-Ouest"," 72","Toronto",59,1,119,14,36,0,229,430
35017,"Don Valley West/Don Valley-Ouest"," 72-1","North York",39,1,71,20,20,1,152,324
35017,"Don Valley West/Don Valley-Ouest"," 73","Toronto",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 74","Toronto",42,0,76,16,17,1,152,280
35017,"Don Valley West/Don Valley-Ouest"," 75","Toronto",Void/Supprimé,,,,,,,
35017,"Don Valley West/Don Valley-Ouest"," 76","Toronto",81,2,137,49,29,2,300,567
35017,"Don Valley West/Don Valley-Ouest"," 77","Toronto",57,0,71,7,20,0,155,242
