Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy André,André Chauvette,Marie-Claude Godue,Denis Lefebvre,Jean-Luc Matteau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 1","Saint-Alexis-des-Monts",54,15,11,3,18,0,101,202
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 2","Saint-Élie",146,29,69,17,63,1,325,578
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 3","Saint-Élie",117,29,32,8,59,10,255,454
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 4","Saint-Élie",58,24,28,4,42,2,158,249
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 5","Charette",71,9,24,5,71,2,182,303
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 6","Charette",97,18,41,12,98,3,269,461
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 7","Saint-Paulin",112,27,44,11,65,2,261,458
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 8","Saint-Paulin",63,23,55,7,77,5,230,365
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 9","Saint-Paulin",91,24,51,5,42,1,214,443
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 10","Saint-Alexis-des-Monts",75,11,41,3,38,4,172,379
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 11","Saint-Alexis-des-Monts",74,14,39,4,43,0,174,389
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 12","Saint-Alexis-des-Monts",91,13,46,0,31,2,183,404
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 13","Saint-Alexis-des-Monts",93,12,35,1,41,0,182,350
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 14","Saint-Alexis-des-Monts",65,10,30,2,31,1,139,295
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 15","Saint-Alexis-des-Monts",117,28,40,6,32,7,230,504
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 16","Sainte-Angèle-de-Prémont",70,17,35,4,23,5,154,326
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 17","Sainte-Angèle-de-Prémont",49,13,32,2,31,2,129,229
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 18","Saint-Mathieu-du-Parc",91,20,32,7,45,7,202,379
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 19","Saint-Mathieu-du-Parc",123,37,26,11,57,4,258,450
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 20","Saint-Mathieu-du-Parc",81,15,33,9,26,4,168,330
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 21","Saint-Boniface",102,28,65,11,45,6,257,446
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 22","Saint-Boniface",100,18,26,12,33,2,191,336
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 23","Saint-Boniface",83,18,45,3,33,5,187,387
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 24","Saint-Boniface",90,20,29,4,54,7,204,381
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 25","Saint-Boniface",122,19,42,8,42,9,242,394
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 26","Saint-Boniface",150,36,78,12,66,12,354,626
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 27","Saint-Boniface",89,20,49,9,40,6,213,394
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 28","Saint-Boniface",89,22,46,10,46,4,217,370
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 29","Saint-Étienne-des-Grès",137,40,71,18,55,7,328,545
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 30","Saint-Étienne-des-Grès",114,34,61,8,47,4,268,466
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 31","Saint-Étienne-des-Grès",153,34,67,8,65,3,330,568
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 32","Saint-Étienne-des-Grès",142,35,67,10,31,14,299,541
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 33","Saint-Étienne-des-Grès",102,13,55,8,26,7,211,497
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 34","Saint-Étienne-des-Grès",125,36,66,11,42,7,287,570
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 35","Trois-Rivières-Ouest",90,20,58,10,49,5,232,464
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 36","Trois-Rivières-Ouest",105,26,77,3,58,0,269,486
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 37","Trois-Rivières-Ouest",67,18,33,8,38,3,167,315
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 38","Trois-Rivières-Ouest",102,22,28,10,49,2,213,467
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 39","Trois-Rivières-Ouest",80,25,41,3,27,2,178,313
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 40","Trois-Rivières-Ouest",77,19,61,7,24,4,192,282
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 41","Trois-Rivières-Ouest",99,31,56,10,45,1,242,427
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 42","Trois-Rivières-Ouest",128,42,56,10,36,2,274,421
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 43","Trois-Rivières-Ouest",113,29,47,6,34,3,232,412
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 44","Trois-Rivières-Ouest",96,33,44,8,39,5,225,406
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 45","Trois-Rivières-Ouest",118,30,93,5,59,1,306,493
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 46","Trois-Rivières-Ouest",127,35,47,7,49,2,267,404
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 47","Trois-Rivières-Ouest",83,28,39,10,61,1,222,386
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 48","Trois-Rivières-Ouest",92,32,55,3,55,4,241,355
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 49","Trois-Rivières-Ouest",90,24,58,8,53,2,235,349
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 50","Trois-Rivières-Ouest",92,19,41,4,51,4,211,348
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 51","Trois-Rivières-Ouest",118,26,49,8,35,4,240,394
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 52","Trois-Rivières-Ouest",95,39,31,9,34,2,210,427
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 53","Trois-Rivières-Ouest",104,14,44,4,41,4,211,456
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 54","Trois-Rivières-Ouest",91,24,65,3,24,0,207,345
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 55","Trois-Rivières-Ouest",113,32,52,10,58,2,267,447
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 56","Trois-Rivières-Ouest",97,33,62,6,50,3,251,375
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 57","Trois-Rivières-Ouest",95,24,55,5,58,0,237,394
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 58","Trois-Rivières-Ouest",134,43,95,13,72,6,363,525
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 59","Trois-Rivières-Ouest",124,34,75,7,75,9,324,628
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 59-1","Trois-Rivières-Ouest",120,30,84,10,54,4,302,530
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 59-2","Trois-Rivières-Ouest",108,34,92,11,71,3,319,551
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 60","Trois-Rivières-Ouest",64,19,39,3,24,5,154,366
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 61","Trois-Rivières-Ouest",69,27,42,8,44,0,190,422
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 62","Trois-Rivières-Ouest",95,34,51,1,32,5,218,525
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 63","Trois-Rivières-Ouest",75,16,62,5,53,4,215,373
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 64","Trois-Rivières-Ouest",83,20,22,3,20,5,153,333
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 65","Trois-Rivières-Ouest",84,23,53,8,35,2,205,374
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 66","Trois-Rivières-Ouest",89,20,51,7,39,3,209,341
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 67","Trois-Rivières-Ouest",44,10,12,1,20,1,88,217
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 68","Trois-Rivières-Ouest",156,48,81,6,51,2,344,580
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 69","Trois-Rivières-Ouest",92,18,72,4,52,3,241,420
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 69-1","Trois-Rivières-Ouest",67,23,56,3,27,2,178,318
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 70","Trois-Rivières-Ouest",92,22,67,2,58,2,243,452
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 71","Trois-Rivières-Ouest",72,28,39,5,21,3,168,352
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 72","Trois-Rivières-Ouest",102,22,39,7,32,3,205,394
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 73","Trois-Rivières-Ouest",81,29,67,5,36,5,223,438
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 73-1","Trois-Rivières-Ouest",65,11,32,2,27,6,143,292
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 74A","Trois-Rivières-Ouest",124,36,53,5,50,9,277,522
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 74B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,20
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 75","Trois-Rivières-Ouest",84,27,51,4,35,8,209,400
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 76","Trois-Rivières-Ouest",118,51,56,18,60,3,306,517
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 77","Trois-Rivières-Ouest",86,26,50,9,39,4,214,444
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 78","Trois-Rivières-Ouest",100,9,43,3,28,3,186,392
24008,"Berthier--Maskinongé/Berthier--Maskinongé"," 79","Saint-Barnabé",69,21,42,7,47,1,187,348
