Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,George Barron,Greg Kerr,Ronald Mills,Cindy M. Nesbitt,Robert Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12011,"West Nova/Nova-Ouest"," 1","Canada Creek",22,55,15,1,59,0,152,296
12011,"West Nova/Nova-Ouest"," 2","Harbourville",19,60,7,0,40,1,127,288
12011,"West Nova/Nova-Ouest"," 3","Grafton",25,85,15,1,41,0,167,303
12011,"West Nova/Nova-Ouest"," 4","Somerset",21,89,11,6,71,1,199,354
12011,"West Nova/Nova-Ouest"," 5","Somerset",27,66,12,2,48,0,155,282
12011,"West Nova/Nova-Ouest"," 6","Morristown",62,98,20,4,65,0,249,448
12011,"West Nova/Nova-Ouest"," 7","Berwick West",30,56,5,2,54,0,147,280
12011,"West Nova/Nova-Ouest"," 8","South Berwick",36,78,14,3,57,1,189,431
12011,"West Nova/Nova-Ouest"," 9","Waterville",54,86,8,2,34,3,187,401
12011,"West Nova/Nova-Ouest"," 10","Waterville",68,66,15,3,33,1,186,403
12011,"West Nova/Nova-Ouest"," 11","Waterville",Void/Supprimé,,,,,,,
12011,"West Nova/Nova-Ouest"," 12","Waterville",58,102,17,5,42,2,226,430
12011,"West Nova/Nova-Ouest"," 13","North Alton",Void/Supprimé,,,,,,,
12011,"West Nova/Nova-Ouest"," 14","East Dalhousie",20,42,3,2,21,1,89,146
12011,"West Nova/Nova-Ouest"," 15","Berwick",34,103,17,1,85,0,240,443
12011,"West Nova/Nova-Ouest"," 16","Berwick",34,86,13,1,72,1,207,377
12011,"West Nova/Nova-Ouest"," 17","Berwick",25,84,15,2,63,2,191,356
12011,"West Nova/Nova-Ouest"," 18","Berwick",43,53,11,1,49,1,158,368
12011,"West Nova/Nova-Ouest"," 19","Berwick",37,80,11,0,49,0,177,359
12011,"West Nova/Nova-Ouest"," 20","Berwick",3,45,3,2,35,1,89,218
12011,"West Nova/Nova-Ouest"," 21","Morden",31,82,15,4,60,2,194,383
12011,"West Nova/Nova-Ouest"," 22","Aylesford",41,108,17,2,72,0,240,463
12011,"West Nova/Nova-Ouest"," 23","Aylesford",38,83,16,2,66,0,205,381
12011,"West Nova/Nova-Ouest"," 24","North Kingston",25,84,12,2,75,0,198,360
12011,"West Nova/Nova-Ouest"," 25","Kingston",24,49,11,0,52,0,136,276
12011,"West Nova/Nova-Ouest"," 25-1","Kings Subd. A",18,92,10,2,54,0,176,288
12011,"West Nova/Nova-Ouest"," 26","Kingston",44,72,11,3,75,0,205,392
12011,"West Nova/Nova-Ouest"," 27","Kingston",34,113,11,7,110,4,279,523
12011,"West Nova/Nova-Ouest"," 28","Kingston",24,112,16,2,96,1,251,431
12011,"West Nova/Nova-Ouest"," 29","Kingston",42,75,9,1,82,2,211,396
12011,"West Nova/Nova-Ouest"," 30","Greenwood",Merged with No. 32/Fusionné avec le nº 32,,,,,,,142
12011,"West Nova/Nova-Ouest"," 31","Kingston",26,59,8,4,59,0,156,343
12011,"West Nova/Nova-Ouest"," 32","Greenwood",42,102,19,0,52,1,216,309
12011,"West Nova/Nova-Ouest"," 32-1","Kings Subd. A",Merged with No. 32/Fusionné avec le nº 32,,,,,,,115
12011,"West Nova/Nova-Ouest"," 33","Greenwood",27,73,6,0,50,2,158,382
12011,"West Nova/Nova-Ouest"," 34","Greenwood",26,85,6,5,21,0,143,307
12011,"West Nova/Nova-Ouest"," 35","Greenwood",48,99,18,3,94,0,262,496
12011,"West Nova/Nova-Ouest"," 36","Greenwood",34,78,10,2,64,2,190,433
12011,"West Nova/Nova-Ouest"," 37","Greenwood",48,94,13,4,72,0,231,497
12011,"West Nova/Nova-Ouest"," 38","Auburn",36,87,6,2,64,1,196,380
12011,"West Nova/Nova-Ouest"," 39","Auburn",45,101,15,2,85,0,248,469
