Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Les Coultas,Jack Harris,Walter Noel,Howard Story,Shannon John Tobin,Craig Westcott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 1","Pouch Cove",1,118,16,0,2,8,4,149,243
10006,"St. John's East/St. John's-Est"," 2","Pouch Cove",0,173,20,4,4,13,0,214,402
10006,"St. John's East/St. John's-Est"," 3","Pouch Cove",2,185,12,1,4,15,0,219,450
10006,"St. John's East/St. John's-Est"," 4","Pouch Cove",1,101,12,2,4,9,1,130,275
10006,"St. John's East/St. John's-Est"," 5","Bauline",3,120,19,2,4,8,1,157,301
10006,"St. John's East/St. John's-Est"," 6","Flatrock",1,173,18,4,2,22,0,220,347
10006,"St. John's East/St. John's-Est"," 7","Flatrock",3,166,17,3,2,18,0,209,390
10006,"St. John's East/St. John's-Est"," 7-1","Flatrock",0,122,6,1,0,4,2,135,257
10006,"St. John's East/St. John's-Est"," 8","Torbay",0,83,10,1,2,17,0,113,239
10006,"St. John's East/St. John's-Est"," 9A","Torbay",0,103,9,0,4,13,0,129,263
10006,"St. John's East/St. John's-Est"," 9B","Torbay",4,166,11,5,1,21,0,208,330
10006,"St. John's East/St. John's-Est"," 10","Torbay",2,180,20,2,3,14,1,222,434
10006,"St. John's East/St. John's-Est"," 11","Torbay",1,152,17,0,2,15,1,188,403
10006,"St. John's East/St. John's-Est"," 12","Torbay",2,129,20,1,1,11,2,166,311
10006,"St. John's East/St. John's-Est"," 13","Torbay",0,94,12,0,5,17,1,129,270
10006,"St. John's East/St. John's-Est"," 13-1","Torbay",0,190,26,0,2,13,0,231,472
10006,"St. John's East/St. John's-Est"," 14","Torbay",6,220,25,5,6,26,0,288,526
10006,"St. John's East/St. John's-Est"," 15","Torbay",1,152,22,2,2,10,2,191,340
10006,"St. John's East/St. John's-Est"," 16","Torbay",5,197,22,0,4,14,0,242,500
10006,"St. John's East/St. John's-Est"," 17","Torbay",1,202,16,1,2,9,0,231,447
10006,"St. John's East/St. John's-Est"," 17-1","Torbay",2,150,22,3,1,17,1,196,353
10006,"St. John's East/St. John's-Est"," 18","Logy Bay-Middle Cove-Outer Cove",4,254,27,2,6,23,0,316,539
10006,"St. John's East/St. John's-Est"," 19","Logy Bay-Middle Cove-Outer Cove",2,152,16,1,3,15,1,190,329
10006,"St. John's East/St. John's-Est"," 20A","Logy Bay-Middle Cove-Outer Cove",2,130,14,3,4,19,2,174,142
10006,"St. John's East/St. John's-Est"," 20B","Logy Bay-Middle Cove-Outer Cove",3,141,10,2,4,16,0,176,293
10006,"St. John's East/St. John's-Est"," 20-1","Logy Bay-Middle Cove-Outer Cove",Merged with No. 20A/Fusionné avec le nº 20A,,,,,,,,140
10006,"St. John's East/St. John's-Est"," 21","Logy Bay-Middle Cove-Outer Cove",2,141,18,0,1,28,0,190,316
10006,"St. John's East/St. John's-Est"," 22","Wabana",1,91,16,1,7,7,0,123,333
10006,"St. John's East/St. John's-Est"," 23","Wabana",0,60,17,1,3,15,1,97,352
10006,"St. John's East/St. John's-Est"," 24","Wabana",0,100,25,0,6,15,0,146,401
10006,"St. John's East/St. John's-Est"," 25","Wabana",1,73,17,0,4,10,0,105,281
10006,"St. John's East/St. John's-Est"," 26","Wabana",1,58,8,1,4,6,0,78,325
10006,"St. John's East/St. John's-Est"," 27","Wabana",1,75,11,1,2,9,0,99,292
10006,"St. John's East/St. John's-Est"," 28","Freshwater",1,77,13,2,0,5,1,99,307
10006,"St. John's East/St. John's-Est"," 29","Portugal Cove-St. Philips",5,193,28,3,3,15,1,248,444
10006,"St. John's East/St. John's-Est"," 30","Portugal Cove-St. Philips",1,131,15,0,2,13,2,164,329
10006,"St. John's East/St. John's-Est"," 31","Portugal Cove-St. Philips",2,214,17,4,4,16,1,258,457
10006,"St. John's East/St. John's-Est"," 32","Portugal Cove-St. Philips",0,185,17,3,3,9,0,217,405
10006,"St. John's East/St. John's-Est"," 33","Portugal Cove-St. Philips",2,212,21,2,6,19,1,263,549
10006,"St. John's East/St. John's-Est"," 34","Portugal Cove-St. Philips",2,187,25,2,3,19,0,238,480
10006,"St. John's East/St. John's-Est"," 35","Portugal Cove-St. Philips",2,126,26,2,1,7,1,165,301
10006,"St. John's East/St. John's-Est"," 36","Portugal Cove-St. Philips",3,152,45,2,2,20,3,227,398
10006,"St. John's East/St. John's-Est"," 36-1","Portugal Cove-St. Philips",4,150,20,4,1,7,1,187,344
10006,"St. John's East/St. John's-Est"," 37","Portugal Cove-St. Philips",1,97,27,4,0,19,0,148,283
10006,"St. John's East/St. John's-Est"," 37-1","Portugal Cove-St. Philips",1,120,29,2,0,12,2,166,299
10006,"St. John's East/St. John's-Est"," 38","Portugal Cove-St. Philips",2,129,23,1,0,19,0,174,345
10006,"St. John's East/St. John's-Est"," 38-1","Portugal Cove-St. Philips",2,93,17,1,3,9,0,125,228
10006,"St. John's East/St. John's-Est"," 38-2","Portugal Cove-St. Philips",5,169,23,4,6,14,0,221,355
10006,"St. John's East/St. John's-Est"," 39","Paradise",3,120,27,0,0,22,1,173,446
10006,"St. John's East/St. John's-Est"," 39-1","Paradise",3,141,24,3,2,13,0,186,383
10006,"St. John's East/St. John's-Est"," 40","Paradise",Void/Supprimé,,,,,,,,
10006,"St. John's East/St. John's-Est"," 41","Paradise",1,172,16,4,2,20,1,216,455
10006,"St. John's East/St. John's-Est"," 41-1","Paradise",2,125,17,2,2,7,1,156,374
10006,"St. John's East/St. John's-Est"," 42","Paradise",1,194,22,2,1,24,0,244,435
10006,"St. John's East/St. John's-Est"," 42-1","Paradise",1,156,23,1,3,19,0,203,457
10006,"St. John's East/St. John's-Est"," 43A","Paradise",2,118,18,0,1,16,0,155,386
10006,"St. John's East/St. John's-Est"," 43B","Paradise",0,123,16,1,0,7,0,147,344
10006,"St. John's East/St. John's-Est"," 44A","Paradise",2,128,22,2,4,9,0,167,326
10006,"St. John's East/St. John's-Est"," 44B","Paradise",0,110,17,2,2,2,0,133,283
10006,"St. John's East/St. John's-Est"," 44-1","Paradise",0,191,15,1,1,22,1,231,469
10006,"St. John's East/St. John's-Est"," 45","Paradise",1,184,26,1,2,15,0,229,456
10006,"St. John's East/St. John's-Est"," 45-1","Paradise",0,127,21,2,3,13,0,166,325
10006,"St. John's East/St. John's-Est"," 45-2","Paradise",0,179,11,1,1,12,0,204,420
10006,"St. John's East/St. John's-Est"," 46","Paradise",0,123,29,1,5,19,0,177,327
10006,"St. John's East/St. John's-Est"," 46-1","Paradise",0,121,15,2,2,10,0,150,294
10006,"St. John's East/St. John's-Est"," 47","Paradise",3,151,27,1,2,16,1,201,446
10006,"St. John's East/St. John's-Est"," 48","Paradise",4,151,22,0,2,16,1,196,482
10006,"St. John's East/St. John's-Est"," 49A","Paradise",0,100,11,0,1,8,0,120,306
10006,"St. John's East/St. John's-Est"," 49B","Paradise",0,114,10,2,1,7,0,134,285
10006,"St. John's East/St. John's-Est"," 49-1","Paradise",2,192,24,1,5,6,0,230,439
10006,"St. John's East/St. John's-Est"," 49-2A","Paradise",1,96,19,1,0,9,0,126,264
10006,"St. John's East/St. John's-Est"," 49-2B","Paradise",2,116,14,1,2,11,0,146,299
10006,"St. John's East/St. John's-Est"," 50A","Paradise",2,134,22,0,0,19,0,177,350
10006,"St. John's East/St. John's-Est"," 50B","Paradise",0,156,17,2,0,18,0,193,390
10006,"St. John's East/St. John's-Est"," 50-1A","Paradise",0,116,18,2,1,18,0,155,283
10006,"St. John's East/St. John's-Est"," 50-1B","Paradise",0,125,20,2,1,11,0,159,314
10006,"St. John's East/St. John's-Est"," 51","Paradise",2,197,30,5,3,40,0,277,472
10006,"St. John's East/St. John's-Est"," 51-1","Paradise",5,105,19,3,0,16,2,150,302
10006,"St. John's East/St. John's-Est"," 52","St. John's",1,103,20,7,1,12,1,145,318
10006,"St. John's East/St. John's-Est"," 53","St. John's",4,136,21,1,4,11,0,177,475
10006,"St. John's East/St. John's-Est"," 54","St. John's",1,85,13,3,2,7,0,111,303
10006,"St. John's East/St. John's-Est"," 55A","St. John's",2,98,26,6,1,12,0,145,281
10006,"St. John's East/St. John's-Est"," 55B","St. John's",1,109,12,1,1,11,0,135,285
10006,"St. John's East/St. John's-Est"," 56","St. John's",2,183,23,5,6,31,0,250,425
10006,"St. John's East/St. John's-Est"," 57","St. John's",1,160,50,4,4,23,2,244,370
10006,"St. John's East/St. John's-Est"," 57-1","St. John's",1,125,37,3,4,27,1,198,379
10006,"St. John's East/St. John's-Est"," 58","St. John's",3,187,16,6,4,23,1,240,381
10006,"St. John's East/St. John's-Est"," 59","St. John's",1,168,16,4,0,17,0,206,348
10006,"St. John's East/St. John's-Est"," 60","St. John's",4,157,42,3,3,25,0,234,431
10006,"St. John's East/St. John's-Est"," 61","St. John's",2,121,27,3,3,36,1,193,396
10006,"St. John's East/St. John's-Est"," 62","St. John's",1,53,19,1,2,21,3,100,179
10006,"St. John's East/St. John's-Est"," 63","St. John's",0,202,33,2,1,24,1,263,408
10006,"St. John's East/St. John's-Est"," 64","St. John's",1,136,15,3,0,9,2,166,251
10006,"St. John's East/St. John's-Est"," 64-1","St. John's",1,89,21,2,1,9,0,123,345
10006,"St. John's East/St. John's-Est"," 65","St. John's",1,180,35,6,6,18,2,248,391
10006,"St. John's East/St. John's-Est"," 66A","St. John's",2,146,38,2,3,28,0,219,404
10006,"St. John's East/St. John's-Est"," 66B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,95
10006,"St. John's East/St. John's-Est"," 67","St. John's",1,119,16,0,2,16,0,154,248
10006,"St. John's East/St. John's-Est"," 68A","St. John's",2,133,9,0,3,16,0,163,295
10006,"St. John's East/St. John's-Est"," 68B","St. John's",0,121,16,1,1,9,0,148,288
10006,"St. John's East/St. John's-Est"," 68-1","St. John's",5,184,24,2,1,12,0,228,457
10006,"St. John's East/St. John's-Est"," 68-2","St. John's",Merged with No. 68B/Fusionné avec le nº 68B,,,,,,,,3
10006,"St. John's East/St. John's-Est"," 69A","St. John's",2,159,22,0,1,9,0,193,367
10006,"St. John's East/St. John's-Est"," 69B","St. John's",0,152,20,0,4,16,1,193,351
10006,"St. John's East/St. John's-Est"," 69-1","St. John's",2,210,29,4,1,14,0,260,520
10006,"St. John's East/St. John's-Est"," 70","St. John's",4,137,25,1,0,20,0,187,371
10006,"St. John's East/St. John's-Est"," 71","St. John's",4,127,30,2,0,25,0,188,370
10006,"St. John's East/St. John's-Est"," 71-1","St. John's",1,53,34,2,4,5,0,99,298
10006,"St. John's East/St. John's-Est"," 72","St. John's",0,108,29,5,0,10,0,152,274
10006,"St. John's East/St. John's-Est"," 73","St. John's",2,115,35,4,3,19,0,178,263
10006,"St. John's East/St. John's-Est"," 74A","St. John's",0,78,19,1,3,7,2,110,271
10006,"St. John's East/St. John's-Est"," 74B","St. John's",0,87,23,1,2,9,0,122,280
10006,"St. John's East/St. John's-Est"," 75","St. John's",2,128,27,2,4,13,0,176,377
10006,"St. John's East/St. John's-Est"," 75-1A","St. John's",3,123,22,3,3,15,0,169,364
10006,"St. John's East/St. John's-Est"," 75-1B","St. John's",1,97,22,2,7,23,0,152,355
10006,"St. John's East/St. John's-Est"," 75-2","St. John's",Merged with No. 75/Fusionné avec le nº 75,,,,,,,,26
10006,"St. John's East/St. John's-Est"," 76","St. John's",3,172,30,3,3,28,1,240,460
10006,"St. John's East/St. John's-Est"," 76-1","St. John's",5,182,34,1,3,15,1,241,442
10006,"St. John's East/St. John's-Est"," 77","St. John's",4,266,60,1,6,47,1,385,599
10006,"St. John's East/St. John's-Est"," 77-1","St. John's",1,165,29,2,0,22,0,219,316
10006,"St. John's East/St. John's-Est"," 78","St. John's",3,214,60,9,3,39,0,328,511
10006,"St. John's East/St. John's-Est"," 79","St. John's",2,182,20,4,3,33,0,244,383
10006,"St. John's East/St. John's-Est"," 80","St. John's",0,227,36,8,1,24,0,296,489
10006,"St. John's East/St. John's-Est"," 81","St. John's",0,142,15,0,1,10,0,168,415
10006,"St. John's East/St. John's-Est"," 82","St. John's",2,174,32,0,2,19,1,230,367
10006,"St. John's East/St. John's-Est"," 83","St. John's",2,181,40,4,2,28,0,257,381
10006,"St. John's East/St. John's-Est"," 84","St. John's",2,158,46,0,2,25,0,233,365
10006,"St. John's East/St. John's-Est"," 85","St. John's",2,194,25,4,2,24,0,251,398
10006,"St. John's East/St. John's-Est"," 86","St. John's",1,179,26,1,0,14,1,222,362
10006,"St. John's East/St. John's-Est"," 87","St. John's",0,117,10,1,1,15,2,146,256
10006,"St. John's East/St. John's-Est"," 88","St. John's",3,149,29,1,1,29,0,212,412
10006,"St. John's East/St. John's-Est"," 89","St. John's",1,141,18,0,1,6,0,167,375
10006,"St. John's East/St. John's-Est"," 90","St. John's",2,129,11,3,1,7,0,153,367
10006,"St. John's East/St. John's-Est"," 91","St. John's",2,181,35,2,1,23,1,245,478
10006,"St. John's East/St. John's-Est"," 92","St. John's",2,176,30,3,1,27,0,239,417
10006,"St. John's East/St. John's-Est"," 93","St. John's",2,152,27,3,1,6,0,191,276
10006,"St. John's East/St. John's-Est"," 94","St. John's",0,118,40,1,3,14,0,176,313
10006,"St. John's East/St. John's-Est"," 95","St. John's",0,195,57,4,3,23,0,282,473
10006,"St. John's East/St. John's-Est"," 96","St. John's",2,115,11,1,0,11,0,140,260
10006,"St. John's East/St. John's-Est"," 97","St. John's",1,165,20,2,3,8,0,199,350
10006,"St. John's East/St. John's-Est"," 98","St. John's",0,153,26,4,4,20,0,207,312
10006,"St. John's East/St. John's-Est"," 99","St. John's",1,156,28,0,3,20,0,208,382
10006,"St. John's East/St. John's-Est"," 100","St. John's",2,155,24,3,1,15,0,200,376
