Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carlos Santos Almeida,Chester Brown,Olivia Chow,Val Illie,Christine Innes,Stephen La Frenie,Christine McGirr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35095,"Trinity--Spadina/Trinity--Spadina"," 1","Toronto",0,4,65,0,42,7,4,0,122,238
35095,"Trinity--Spadina/Trinity--Spadina"," 2","Toronto",2,1,58,1,70,14,13,2,161,318
35095,"Trinity--Spadina/Trinity--Spadina"," 3","Toronto",0,1,85,1,91,13,19,0,210,405
35095,"Trinity--Spadina/Trinity--Spadina"," 4","Toronto",0,2,85,0,71,16,9,1,184,321
35095,"Trinity--Spadina/Trinity--Spadina"," 5","Toronto",0,1,111,0,78,32,17,0,239,404
35095,"Trinity--Spadina/Trinity--Spadina"," 6","Toronto",0,0,125,1,105,14,18,0,263,403
35095,"Trinity--Spadina/Trinity--Spadina"," 7","Toronto",2,1,94,0,63,24,17,0,201,372
35095,"Trinity--Spadina/Trinity--Spadina"," 8","Toronto",1,4,106,1,92,18,9,4,235,408
35095,"Trinity--Spadina/Trinity--Spadina"," 9","Toronto",0,5,107,1,64,17,18,4,216,344
35095,"Trinity--Spadina/Trinity--Spadina"," 10","Toronto",0,2,130,0,76,22,23,1,254,449
35095,"Trinity--Spadina/Trinity--Spadina"," 11","Toronto",1,1,130,0,67,19,13,2,233,423
35095,"Trinity--Spadina/Trinity--Spadina"," 12","Toronto",2,1,68,0,31,18,6,1,127,248
35095,"Trinity--Spadina/Trinity--Spadina"," 13","Toronto",2,1,69,0,58,15,14,2,161,305
35095,"Trinity--Spadina/Trinity--Spadina"," 14","Toronto",1,3,122,3,127,16,23,2,297,496
35095,"Trinity--Spadina/Trinity--Spadina"," 15","Toronto",1,2,133,1,88,17,11,3,256,423
35095,"Trinity--Spadina/Trinity--Spadina"," 16","Toronto",1,1,108,0,61,18,6,1,196,323
35095,"Trinity--Spadina/Trinity--Spadina"," 17","Toronto",1,5,106,1,76,28,17,2,236,443
35095,"Trinity--Spadina/Trinity--Spadina"," 18","Toronto",0,0,74,1,86,18,16,1,196,375
35095,"Trinity--Spadina/Trinity--Spadina"," 19","Toronto",0,1,60,0,61,17,8,0,147,266
