Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Linda Duncan,Kevan Hunter,Rahim Jaffer,Claudette Roy,Jane Thrall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 1","Edmonton",129,0,122,18,11,0,280,407
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 2","Edmonton",109,0,79,17,7,0,212,299
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 3","Edmonton",99,0,76,14,8,0,197,295
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 4","Edmonton",44,0,51,12,13,0,120,234
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 5","Edmonton",144,9,232,81,88,0,554,586
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 5-1","Edmonton",92,1,33,10,11,1,148,343
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 6","Edmonton",113,0,63,18,13,0,207,387
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 7","Edmonton",96,0,33,9,12,0,150,248
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 8","Edmonton",103,0,45,13,14,1,176,295
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 9","Edmonton",131,1,92,30,21,1,276,457
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 10","Edmonton",181,1,83,30,15,0,310,343
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 11","Edmonton",151,0,37,14,11,1,214,313
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 12","Edmonton",119,0,84,19,14,0,236,467
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 13","Edmonton",147,1,73,26,11,1,259,441
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 14","Edmonton",100,2,38,13,13,0,166,322
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 15","Edmonton",117,0,68,19,16,0,220,417
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 16","Edmonton",131,0,51,12,23,2,219,463
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 17","Edmonton",95,1,52,10,10,0,168,336
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 18","Edmonton",114,0,66,13,13,0,206,334
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 19","Edmonton",159,1,40,14,13,0,227,403
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 20","Edmonton",99,0,35,16,12,0,162,357
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 21","Edmonton",99,0,41,11,23,0,174,330
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 22","Edmonton",126,2,53,16,11,0,208,460
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 23","Edmonton",137,1,69,19,21,2,249,384
48018,"Edmonton--Strathcona/Edmonton--Strathcona"," 24","Edmonton",106,0,76,22,14,0,218,479
