Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steve Armstrong,Gord Brown,Marjory Loveys,John McCrea,Jeanie Warnock,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35041,"Leeds--Grenville/Leeds--Grenville"," 1","Rideau Lakes",30,137,40,1,35,0,243,387
35041,"Leeds--Grenville/Leeds--Grenville"," 2","Westport",23,123,44,1,36,0,227,314
35041,"Leeds--Grenville/Leeds--Grenville"," 3","Westport",27,111,41,1,17,0,197,297
35041,"Leeds--Grenville/Leeds--Grenville"," 4A","Rideau Lakes",15,83,24,1,14,0,137,276
35041,"Leeds--Grenville/Leeds--Grenville"," 4B","Rideau Lakes",11,96,30,1,17,2,157,275
35041,"Leeds--Grenville/Leeds--Grenville"," 5","Rideau Lakes",28,74,17,1,11,0,131,203
35041,"Leeds--Grenville/Leeds--Grenville"," 6","Rideau Lakes",32,111,42,1,14,1,201,347
35041,"Leeds--Grenville/Leeds--Grenville"," 7A","Rideau Lakes",28,87,36,0,16,1,168,267
35041,"Leeds--Grenville/Leeds--Grenville"," 7B","Rideau Lakes",25,82,36,0,13,0,156,283
35041,"Leeds--Grenville/Leeds--Grenville"," 8","Rideau Lakes",16,60,28,0,13,0,117,239
35041,"Leeds--Grenville/Leeds--Grenville"," 9","Rideau Lakes",29,104,25,1,20,1,180,359
35041,"Leeds--Grenville/Leeds--Grenville"," 10","Rideau Lakes",23,176,47,1,30,0,277,494
35041,"Leeds--Grenville/Leeds--Grenville"," 11","Rideau Lakes",20,162,29,1,37,0,249,462
35041,"Leeds--Grenville/Leeds--Grenville"," 12","Rideau Lakes",23,103,32,1,21,0,180,351
35041,"Leeds--Grenville/Leeds--Grenville"," 13","Rideau Lakes",46,149,39,1,29,3,267,475
35041,"Leeds--Grenville/Leeds--Grenville"," 14","Rideau Lakes",25,107,28,0,21,0,181,319
35041,"Leeds--Grenville/Leeds--Grenville"," 15","Rideau Lakes",19,157,40,4,37,1,258,418
35041,"Leeds--Grenville/Leeds--Grenville"," 16","Rideau Lakes",37,183,46,2,21,0,289,512
35041,"Leeds--Grenville/Leeds--Grenville"," 17","Rideau Lakes",26,138,36,0,18,1,219,387
35041,"Leeds--Grenville/Leeds--Grenville"," 18","Rideau Lakes",16,79,30,0,13,0,138,229
35041,"Leeds--Grenville/Leeds--Grenville"," 19","Rideau Lakes",20,114,51,1,13,0,199,306
35041,"Leeds--Grenville/Leeds--Grenville"," 20","Rideau Lakes",25,170,29,2,12,1,239,377
35041,"Leeds--Grenville/Leeds--Grenville"," 21","Rideau Lakes",28,198,21,0,13,1,261,410
35041,"Leeds--Grenville/Leeds--Grenville"," 22","Rideau Lakes",30,104,29,2,6,0,171,321
35041,"Leeds--Grenville/Leeds--Grenville"," 23","Leeds and the Thousand Islands",37,123,61,2,45,0,268,463
35041,"Leeds--Grenville/Leeds--Grenville"," 24","Leeds and the Thousand Islands",12,80,23,2,27,1,145,289
35041,"Leeds--Grenville/Leeds--Grenville"," 25","Leeds and the Thousand Islands",31,97,28,1,27,1,185,352
35041,"Leeds--Grenville/Leeds--Grenville"," 26","Leeds and the Thousand Islands",34,143,33,0,26,2,238,408
35041,"Leeds--Grenville/Leeds--Grenville"," 27","Leeds and the Thousand Islands",25,112,18,0,18,1,174,309
35041,"Leeds--Grenville/Leeds--Grenville"," 28","Leeds and the Thousand Islands",31,84,52,1,46,0,214,398
35041,"Leeds--Grenville/Leeds--Grenville"," 29","Leeds and the Thousand Islands",54,132,67,2,22,1,278,489
35041,"Leeds--Grenville/Leeds--Grenville"," 30","Leeds and the Thousand Islands",33,141,43,3,20,1,241,450
35041,"Leeds--Grenville/Leeds--Grenville"," 31","Leeds and the Thousand Islands",18,83,15,0,28,0,144,281
35041,"Leeds--Grenville/Leeds--Grenville"," 32","Leeds and the Thousand Islands",51,138,30,4,18,0,241,453
