Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dick Hibma,Joel Kidd,Jill McIllwraith,Larry Miller,Thom Noble,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 1","Tobermory",68,1,29,116,26,1,241,417
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 2","St. Edmunds",67,2,32,106,47,1,255,440
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 3","Miller Lake West",77,0,26,164,53,2,322,494
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 4","Stokes Bay",68,1,30,108,34,1,242,492
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 5","Lion's Head",63,5,17,108,21,1,215,392
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 6","Lion's Head",Void/Supprimé,,,,,,,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 7","Pike Bay",61,3,24,132,52,2,274,510
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 8","Barrow Bay",46,4,8,101,20,0,179,342
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 9","South Bruce Peninsula",57,1,20,98,39,0,215,448
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 10","South Bruce Peninsula",Void/Supprimé,,,,,,,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 11","South Bruce Peninsula",24,1,16,117,21,1,180,320
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 12","South Bruce Peninsula",41,2,8,116,16,0,183,352
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 13","South Bruce Peninsula",82,0,28,16,48,1,175,392
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 14A","South Bruce Peninsula",43,0,16,91,52,0,202,384
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 14B","South Bruce Peninsula",41,3,14,88,40,0,186,351
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 15","South Bruce Peninsula",49,2,11,102,24,0,188,410
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 16","South Bruce Peninsula",51,1,14,80,23,1,170,369
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 17","South Bruce Peninsula",36,1,11,42,12,2,104,302
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 18","South Bruce Peninsula",55,6,13,99,34,2,209,412
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 19","South Bruce Peninsula",47,1,7,69,17,1,142,322
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 20","South Bruce Peninsula",28,0,16,81,21,3,149,299
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 21","Oxenden",75,1,8,121,27,0,232,461
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 22","Zion",76,6,20,112,21,0,235,471
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 23","Big Bay",66,7,7,59,16,0,155,239
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 24","South Bruce Peninsula",55,0,7,84,34,0,180,307
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 25","South Bruce Peninsula",42,3,15,103,41,0,204,383
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 26","South Bruce Peninsula",52,8,15,119,32,0,226,477
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 27","South Bruce Peninsula",47,2,20,101,20,0,190,342
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 28","South Bruce Peninsula",51,4,16,106,10,2,189,365
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 29","Cruickshank",70,2,23,163,24,1,283,463
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 30","Shallow Lake",53,3,23,126,24,0,229,500
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 31","Keppel",59,3,13,147,17,1,240,422
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 32","Keppel",76,4,19,142,23,0,264,467
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 33","Lindenwood",102,1,15,122,26,0,266,428
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 34","Hogg",Void/Supprimé,,,,,,,
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 35","East Linton",104,2,15,88,20,1,230,382
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 36","Balmy Beach",113,0,13,100,36,1,263,482
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 37","Sarawak",49,3,7,54,12,1,126,236
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 38","Sarawak",91,4,26,136,18,1,276,446
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 39","Sarawak",74,0,19,79,15,1,188,313
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 40","Sarawak",92,3,11,83,19,1,209,402
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 41","Derby",52,3,7,91,5,0,158,248
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 42","Derby",75,0,20,78,25,0,198,331
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 43","Derby",135,1,9,88,22,0,255,402
35026,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 44","Derby",62,3,26,123,23,2,239,406
