Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sébastien Dhavernas,Lulzim Laloshi,Thomas Mulcair,F. Monsieur Corde à Linge Pilon,Marcela Valdivia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Outremont/Outremont"," 1","Montréal",73,33,53,6,17,4,186,442
24047,"Outremont/Outremont"," 1-1","Montréal",98,19,112,10,41,4,284,458
24047,"Outremont/Outremont"," 2","Montréal",16,8,80,14,39,2,159,333
24047,"Outremont/Outremont"," 3","Montréal",54,11,159,13,29,1,267,469
24047,"Outremont/Outremont"," 4","Montréal",70,10,95,13,32,0,220,391
24047,"Outremont/Outremont"," 5","Montréal",76,19,101,12,39,3,250,461
24047,"Outremont/Outremont"," 6","Montréal",29,9,109,7,22,1,177,355
24047,"Outremont/Outremont"," 7","Montréal",73,10,112,9,34,0,238,415
24047,"Outremont/Outremont"," 8","Montréal",67,4,109,11,24,3,218,404
24047,"Outremont/Outremont"," 9","Montréal",76,6,151,15,32,4,284,487
24047,"Outremont/Outremont"," 10","Montréal",62,12,164,24,44,1,307,497
24047,"Outremont/Outremont"," 11","Montréal",62,7,128,19,38,1,255,439
24047,"Outremont/Outremont"," 12","Montréal",55,13,104,10,25,0,207,345
24047,"Outremont/Outremont"," 13","Montréal",68,8,121,17,34,0,248,444
24047,"Outremont/Outremont"," 14","Montréal",31,2,98,8,24,0,163,517
24047,"Outremont/Outremont"," 15","Montréal",71,8,113,14,27,1,234,476
24047,"Outremont/Outremont"," 16","Montréal",71,5,145,20,24,1,266,541
24047,"Outremont/Outremont"," 17","Montréal",57,10,73,16,21,0,177,463
24047,"Outremont/Outremont"," 18","Montréal",54,13,142,23,23,3,258,561
24047,"Outremont/Outremont"," 19","Montréal",58,8,106,19,41,0,232,533
24047,"Outremont/Outremont"," 20","Montréal",63,10,156,14,42,0,285,537
24047,"Outremont/Outremont"," 21","Montréal",30,5,75,6,39,2,157,327
24047,"Outremont/Outremont"," 22","Montréal",91,14,135,23,31,0,294,544
24047,"Outremont/Outremont"," 23","Montréal",99,18,121,14,22,2,276,485
24047,"Outremont/Outremont"," 24","Montréal",60,17,145,18,40,3,283,477
24047,"Outremont/Outremont"," 25","Montréal",48,6,113,15,27,2,211,397
24047,"Outremont/Outremont"," 26","Montréal",67,9,147,10,31,4,268,457
24047,"Outremont/Outremont"," 27","Montréal",30,11,38,7,18,0,104,215
24047,"Outremont/Outremont"," 28","Montréal",64,10,99,22,27,1,223,397
24047,"Outremont/Outremont"," 29","Montréal",55,14,124,11,14,2,220,412
24047,"Outremont/Outremont"," 30","Montréal",51,7,117,27,25,1,228,372
24047,"Outremont/Outremont"," 31","Montréal",77,25,113,27,43,9,294,548
24047,"Outremont/Outremont"," 32","Montréal",102,10,154,29,31,2,328,584
24047,"Outremont/Outremont"," 33","Montréal",69,15,139,24,25,0,272,485
24047,"Outremont/Outremont"," 34","Montréal",67,14,115,22,20,1,239,426
24047,"Outremont/Outremont"," 35","Montréal",88,13,88,22,37,4,252,470
24047,"Outremont/Outremont"," 36","Montréal",103,24,61,21,5,0,214,363
24047,"Outremont/Outremont"," 37","Montréal",105,29,65,6,13,3,221,451
24047,"Outremont/Outremont"," 38","Outremont",55,3,63,9,13,1,144,376
24047,"Outremont/Outremont"," 39","Outremont",40,12,67,2,8,0,129,494
24047,"Outremont/Outremont"," 40","Outremont",36,6,82,8,29,0,161,510
24047,"Outremont/Outremont"," 41","Outremont",56,2,94,6,30,4,192,363
24047,"Outremont/Outremont"," 42","Outremont",63,13,91,9,34,0,210,375
24047,"Outremont/Outremont"," 43","Outremont",106,19,107,9,56,3,300,525
24047,"Outremont/Outremont"," 44","Outremont",97,24,41,1,26,2,191,315
24047,"Outremont/Outremont"," 45","Outremont",96,20,51,10,36,0,213,405
24047,"Outremont/Outremont"," 46","Outremont",68,17,49,3,23,0,160,272
24047,"Outremont/Outremont"," 47","Outremont",65,20,95,7,32,1,220,396
24047,"Outremont/Outremont"," 48","Outremont",53,10,84,10,20,1,178,433
24047,"Outremont/Outremont"," 49","Outremont",41,9,55,9,21,1,136,468
24047,"Outremont/Outremont"," 50","Outremont",38,6,84,5,23,0,156,352
24047,"Outremont/Outremont"," 51","Montréal",103,20,59,5,17,4,208,380
24047,"Outremont/Outremont"," 52","Montréal",131,30,62,10,14,1,248,540
24047,"Outremont/Outremont"," 53","Outremont",78,6,122,21,49,1,277,514
24047,"Outremont/Outremont"," 54","Outremont",80,11,135,11,53,0,290,541
24047,"Outremont/Outremont"," 55","Outremont",54,5,139,11,63,0,272,444
24047,"Outremont/Outremont"," 56","Outremont",40,10,121,6,35,1,213,342
24047,"Outremont/Outremont"," 57","Outremont",69,6,93,9,47,1,225,442
24047,"Outremont/Outremont"," 58","Outremont",68,9,49,6,35,3,170,342
24047,"Outremont/Outremont"," 59","Outremont",59,15,78,4,49,0,205,377
24047,"Outremont/Outremont"," 60","Outremont",50,4,110,7,49,1,221,355
24047,"Outremont/Outremont"," 61","Outremont",52,10,101,4,38,0,205,388
24047,"Outremont/Outremont"," 62","Outremont",72,10,156,9,55,2,304,487
24047,"Outremont/Outremont"," 63","Montréal",122,16,52,5,2,1,198,449
24047,"Outremont/Outremont"," 63-1","Montréal",94,19,25,5,8,0,151,306
24047,"Outremont/Outremont"," 64","Outremont",57,9,100,11,52,1,230,378
24047,"Outremont/Outremont"," 65","Outremont",58,6,112,16,38,2,232,359
24047,"Outremont/Outremont"," 66","Outremont",64,11,106,7,40,2,230,366
24047,"Outremont/Outremont"," 67","Outremont",79,13,114,9,46,1,262,436
24047,"Outremont/Outremont"," 68","Outremont",66,17,120,8,38,0,249,374
24047,"Outremont/Outremont"," 69","Outremont",76,21,133,10,42,1,283,480
24047,"Outremont/Outremont"," 70","Outremont",Void/Supprimé,,,,,,,
24047,"Outremont/Outremont"," 71","Outremont",116,29,120,7,61,1,334,536
24047,"Outremont/Outremont"," 72","Outremont",73,17,92,6,36,1,225,556
24047,"Outremont/Outremont"," 73","Outremont",79,22,126,2,41,1,271,516
24047,"Outremont/Outremont"," 74","Outremont",82,30,84,2,33,0,231,424
