Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hondo Arendt,Nathan Cullen,Mary-Etta Goodacre,Corinna Morhart,Sharon Smith,Rod Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 105","Kitimat",11,86,1,9,67,4,0,178,381
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 106","Kitimat",2,65,0,9,42,8,1,127,248
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 107","Kitimat",10,108,2,13,72,2,3,210,391
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 108","Kitimat",6,102,0,10,64,8,1,191,363
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 109","Kitimat",3,100,1,14,68,8,0,194,337
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 110","Kitimat",6,122,0,10,47,5,2,192,344
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 111","Kitimat",6,115,2,5,59,7,0,194,371
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 112","Kitimat",10,78,0,12,67,5,1,173,311
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 113","Kitimat",5,68,0,4,44,5,3,129,312
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 114","Kitimat",14,129,0,10,70,7,1,231,444
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 115","Kitimat",7,72,0,5,53,6,0,143,257
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 116","Kitimat",7,85,0,7,45,4,0,148,286
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 117","Kitimat",5,73,0,5,45,3,1,132,275
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 118","Kitimat",8,92,0,6,68,5,1,180,352
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 119A","Kitimat",3,79,0,7,47,3,1,140,338
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 119B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,1
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 120","Kitimat",7,51,0,7,28,3,0,96,197
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 121","Kitimat Village",6,131,0,11,12,1,1,162,396
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 122","Usk",3,114,1,12,39,5,0,174,298
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 123","Thornhill",8,82,0,11,70,4,0,175,378
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 124","Thornhill",2,53,0,6,28,1,0,90,181
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 125","Thornhill",11,108,0,16,71,2,0,208,438
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 126","Thornhill",10,89,2,18,79,6,0,204,427
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 127","Thornhill",6,61,1,13,78,3,1,163,357
