Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hondo Arendt,Nathan Cullen,Mary-Etta Goodacre,Corinna Morhart,Sharon Smith,Rod Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 168B","Burns Lake",4,98,1,6,22,0,0,131,322
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 169","Burns Lake",6,77,2,8,93,1,0,187,308
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 170A","Burns Lake",5,46,0,5,48,3,0,107,272
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 170B","Burns Lake",10,40,0,3,37,1,0,91,292
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 171","Burns Lake",2,18,0,0,21,3,0,44,106
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 172","Burns Lake",2,22,0,1,22,0,0,47,110
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 173","Burns Lake",5,29,0,5,73,3,0,115,214
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 174","Burns Lake",10,21,2,4,72,0,0,109,200
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 175","Burns Lake",2,22,1,2,30,0,0,57,78
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 176","François Lake",4,74,0,4,113,6,0,201,369
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 177","Wistaria",2,0,0,0,18,2,0,22,34
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 178","Southbank",5,47,0,3,55,1,0,111,229
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 179","Grassy Plains",10,37,0,7,54,4,0,112,219
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 180A","Tachie",0,3,1,1,1,1,0,7,48
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 180B","Tachie",1,72,0,10,13,0,0,96,152
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 181","Fort St. James",7,20,0,2,55,2,0,86,171
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 182","Fort St. James",17,63,1,16,118,0,1,216,417
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 183","Fort St. James",6,69,0,12,79,1,0,167,401
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 184","Fort St. James",12,91,1,16,89,4,0,213,457
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 185A","Fort St. James",5,40,1,2,61,1,1,111,375
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 185B","Fort St. James",6,63,1,14,44,3,0,131,390
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 186","Fort St. James",5,58,0,5,10,0,1,79,266
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 187","Fort St. James",2,19,0,3,32,3,0,59,91
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 188","Fort St. James",8,12,0,3,33,0,0,56,122
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 189","Endako",5,19,1,2,42,1,1,71,136
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 190","Fraser Lake",7,67,0,6,47,0,0,127,223
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 191A","Fraser Lake",4,40,1,13,71,8,1,138,267
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 191B","Fraser Lake",4,40,0,11,53,3,0,111,285
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 192","Fraser Lake",2,66,1,13,108,5,2,197,405
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 193","François Lake",6,31,0,4,33,0,0,74,120
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 194","Fort Fraser",10,54,2,7,80,2,1,156,298
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 195","Fort Fraser",6,14,0,3,69,5,0,97,160
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 196","Fort Fraser",7,42,0,6,31,3,0,89,211
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 197","Ocean Falls",1,12,0,0,7,0,0,20,38
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 198","Bella Bella 1",6,98,1,3,3,1,0,112,344
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 199","Bella Bella 1",7,95,0,6,4,0,0,112,320
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 200","Shearwater",10,23,0,5,10,0,0,48,68
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 201","Bella Coola 1",5,110,0,4,11,5,1,136,436
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 202","Oweekeno",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 203","Bella Coola",6,65,1,2,24,5,1,104,241
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 204","Bella Coola",4,44,0,11,46,3,0,108,177
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 500","Mobile poll/Bureau itinérant",0,18,1,6,5,0,0,30,71
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 501","Mobile poll/Bureau itinérant",1,43,0,19,18,3,4,88,133
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 502","Mobile poll/Bureau itinérant",2,14,1,2,9,8,2,38,64
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 600","Dease Lake",2,3,0,5,12,0,0,22,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 601","Stewart",1,16,0,1,30,0,0,48,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 602","Aiyansh",0,18,0,2,2,0,0,22,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 603","Hazelton",4,54,0,1,44,3,0,106,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 604","Masset",3,41,0,3,18,0,0,65,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 605","Queen Charlotte",11,37,0,3,19,1,0,71,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 606","Port Edward--Lax Kw'alaams",0,4,0,0,4,0,0,8,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 607","Prince Rupert",10,172,2,23,90,6,1,304,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 608","Terrace",10,156,0,9,84,6,0,265,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 609","Kitimat",11,230,0,25,223,13,0,502,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 610","Terrace",12,204,2,21,148,5,1,393,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 611","Smithers",7,75,0,7,65,0,0,154,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 612","Houston",20,270,2,27,269,40,0,628,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 613","Burns Lake",8,76,3,7,124,15,0,233,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 614","Fort St. James",11,102,0,9,138,3,0,263,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 615","Fraser Lake",8,68,0,17,114,0,0,207,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 616","Bella Bella 1",10,37,0,9,47,2,0,105,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 617","Central Coast--Bella Coola 1",1,6,0,1,2,0,0,10,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 618","Pleasant Camp",2,8,0,3,13,2,0,28,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 1/Groupe 1,16,29,0,12,29,1,5,92,160
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 2/Groupe 2,35,419,2,46,373,29,8,912,

