Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy Dufort,Marc Garneau,Claude William Genest,Anne Lagacé Dowson,Charles Larivée,David Sommer Rovins,Bill Sloan,Linda Sullivan,Judith Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 32","Montréal",71,117,18,42,7,0,0,0,0,1,256,677
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 33A","Montréal",34,81,7,24,2,0,0,0,0,3,151,540
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 33B","Montréal",28,78,9,35,8,0,0,0,0,1,159,560
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 34","Montréal",28,64,7,8,2,0,0,0,0,0,109,304
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 35","Montréal",39,81,12,20,4,0,0,0,0,0,156,458
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 36","Montréal",41,90,14,12,17,0,0,0,0,1,175,482
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 37","Montréal",63,106,11,20,5,2,0,0,0,0,207,573
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 38","Montréal",34,99,11,18,8,0,0,0,0,0,170,403
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 39","Montréal",12,71,8,14,5,0,0,0,0,0,110,353
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 40","Montréal",34,56,3,9,3,0,0,0,0,1,106,358
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 41","Montréal",25,72,11,54,2,0,1,0,1,0,166,467
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 42","Montréal",25,59,4,19,5,0,0,0,0,0,112,362
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 43","Montréal",35,113,16,53,14,0,0,0,0,1,232,848
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 44","Montréal",18,37,10,29,16,1,0,0,0,2,113,303
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 45","Montréal",13,48,7,14,6,0,0,0,0,0,88,261
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 46","Montréal",19,87,9,20,9,0,0,1,0,0,145,730
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 47","Montréal",15,49,6,25,6,0,1,0,0,0,102,477
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 48","Montréal",13,32,4,13,5,0,0,1,1,2,71,510
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 49","Montréal",21,50,5,20,4,0,0,0,1,2,103,363
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 50","Montréal",9,38,8,27,5,0,0,0,0,0,87,368
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 51","Montréal",13,49,6,42,7,0,1,0,1,0,119,291
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 52","Montréal",23,53,8,46,15,0,0,1,0,0,146,531
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 53","Montréal",22,43,14,39,4,0,1,0,0,0,123,600
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 54","Montréal",11,38,6,16,3,0,0,0,0,0,74,283
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 55","Montréal",20,62,9,36,6,0,0,0,0,0,133,691
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 56","Montréal",20,70,9,41,8,0,0,0,1,1,150,563
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 57","Montréal",24,56,5,13,10,0,0,1,0,1,110,304
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 58","Montréal",29,78,11,31,10,0,1,2,1,1,164,442
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 59","Montréal",44,92,7,50,19,1,0,1,1,5,220,590
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 60","Montréal",10,54,24,47,3,0,0,0,2,0,140,524
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 61","Montréal",11,40,10,33,3,0,0,0,1,0,98,343
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 62","Montréal",31,91,11,40,8,0,0,0,1,3,185,483
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 63","Montréal",39,34,3,15,2,0,0,0,1,0,94,267
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 64","Montréal",17,51,14,20,6,1,0,0,0,2,111,284
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 65","Montréal",44,99,8,23,0,0,0,0,0,4,178,500
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 66","Montréal",15,39,2,12,1,0,0,0,0,0,69,158
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 67","Montréal",22,52,12,21,5,0,0,0,0,3,115,448
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 68A","Montréal",15,60,11,32,6,0,0,0,0,0,124,466
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 68B","Montréal",12,57,8,26,7,0,0,0,2,0,112,429
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 69","Westmount",50,130,6,31,6,0,0,0,0,1,224,446
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 70","Westmount",60,130,9,31,9,0,2,0,0,4,245,675
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 71","Westmount",25,106,16,55,6,0,0,0,0,1,209,435
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 72","Westmount",24,102,18,49,3,0,0,0,0,0,196,408
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 73","Westmount",87,87,11,16,3,0,0,0,0,0,204,532
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 74","Westmount",26,114,11,22,3,0,0,0,0,1,177,415
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 75","Westmount",50,99,7,16,5,0,0,1,0,3,181,357
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 76","Westmount",40,102,12,42,2,0,0,0,0,0,198,411
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 77","Westmount",22,87,11,29,1,1,1,0,0,1,153,350
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 78","Westmount",38,84,6,27,0,0,0,0,0,1,156,387
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 79","Westmount",Merged with No. 81/Fusionné avec le nº 81,,,,,,,,,,,68
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 80","Westmount",33,110,22,60,6,0,0,0,0,1,232,512
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 81","Westmount",26,61,7,31,4,0,0,0,1,0,130,224
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 82","Westmount",45,85,17,12,1,0,0,1,0,0,161,295
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 83","Westmount",25,77,14,22,1,0,1,1,0,2,143,355
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 84","Westmount",36,94,20,56,9,0,0,0,0,1,216,397
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 85","Westmount",Merged with No. 87/Fusionné avec le nº 87,,,,,,,,,,,83
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 86","Westmount",20,101,0,15,39,2,0,0,0,1,178,400
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 87","Westmount",38,143,25,52,5,1,0,1,0,0,265,356
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 88","Westmount",20,65,20,44,1,1,0,0,0,0,151,303
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 89","Westmount",25,106,44,112,6,0,0,1,0,1,295,602
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 90","Westmount",29,110,10,50,6,0,0,0,3,2,210,478
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 91","Westmount",42,122,32,62,1,0,0,0,0,0,259,494
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 92","Westmount",88,126,11,18,4,0,0,0,0,2,249,584
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 93","Westmount",31,86,9,12,1,0,0,0,0,0,139,301
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 94","Westmount",50,127,15,28,3,1,0,0,0,2,226,406
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 95","Westmount",35,102,14,22,3,1,0,0,0,1,178,356
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 96","Westmount",35,99,12,24,4,0,0,0,0,0,174,341
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 97","Westmount",62,98,8,6,2,0,0,0,1,1,178,408
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 98","Westmount",74,109,16,18,1,2,0,0,0,1,221,420
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 99","Westmount",76,109,20,14,2,0,0,0,0,0,221,482
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 100","Westmount",56,128,16,23,6,0,0,0,0,0,229,460
