Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Donovan Grube Cavers,Michael Crawford,Cathy McLeod,Ken Sommerfeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 1A,Valemount ,20,50,86,19,0,175,363
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 1B,Valemount ,23,71,94,22,2,212,412
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 1C,Valemount ,29,61,91,18,1,200,406
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,2,Blue River,10,25,42,10,1,88,166
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 3A,Clearwater ,34,74,108,23,1,240,427
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 3B,Clearwater ,14,49,62,10,0,135,308
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 3C,Clearwater ,21,57,97,18,0,193,397
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 3D,Clearwater ,27,77,116,14,0,234,472
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 3E,Clearwater ,25,71,102,26,0,224,459
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 3F,Clearwater ,8,32,44,4,0,88,198
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,4,Birch Island,13,26,66,9,0,114,204
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,5,Vavenby,31,70,118,17,0,236,326
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,6,Avola,6,9,9,1,0,25,46
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 7A,Lac la Hache ,12,79,163,24,0,278,468
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 7B,Lac la Hache ,24,60,140,30,2,256,415
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 8A,108 Mile Ranch,14,73,137,23,1,248,419
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 8B,108 Mile Ranch,13,59,107,23,0,202,377
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 8C,108 Mile Ranch,15,57,131,41,0,244,433
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 8D,108 Mile Ranch,24,72,164,42,1,303,472
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 9A,93 Mile,16,53,113,12,0,194,399
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 9B,93 Mile,14,75,124,21,2,236,441
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 9C,93 Mile,23,63,112,14,1,213,399
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 9D,93 Mile,7,57,100,15,0,179,383
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 9E,93 Mile,20,65,106,24,0,215,411
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 9F,93 Mile,13,60,95,15,4,187,372
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 9G,93 Mile,11,50,104,18,0,183,361
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 9H,93 Mile,12,73,123,20,0,228,405
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 9I,93 Mile,11,68,142,20,2,243,477
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 10A,Forest Grove,16,55,73,13,0,157,335
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 10B,Forest Grove,19,41,59,7,0,126,251
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,11,Canim Lake,18,91,85,27,0,221,412
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 12A,Horse Lake,7,53,92,10,1,163,182
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 12B,Horse Lake,15,48,90,13,0,166,226
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 13A,Lone Butte,17,57,149,16,1,240,432
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 13B,Lone Butte,17,59,126,12,1,215,408
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,14,Lone Butte,12,77,114,21,0,224,399
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,15,Interlakes,35,69,185,38,0,327,480
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 16A,Clinton ,17,62,135,22,0,236,462
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 16B,Clinton ,12,55,137,21,0,225,427
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 17A,70 Mile House,14,41,88,14,0,157,279
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 17B,70 Mile House,9,26,102,13,0,150,247
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,18,Loon Lake,4,21,70,1,0,96,148
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,19,Little Fort,15,36,76,13,0,140,201
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,20,Chu Chua,4,41,2,6,0,53,61
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 21A,Barrière ,17,56,127,18,0,218,427
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 21B,Barrière ,11,53,107,16,1,188,357
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 21C,Barrière ,19,35,111,10,0,175,334
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 21D,Barrière ,7,70,132,23,0,232,372
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 21E,Barrière ,15,55,160,10,1,241,433
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 21F,Barrière ,13,39,81,3,1,137,256
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,22,McLure,7,43,76,10,0,136,245
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,23,Cahilty,Void/Supprimé,,,,,,
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,24,Kamloops 5,40,71,152,35,1,299,493
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 25A,Kamloops ,17,54,95,18,0,184,293
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 25B,Kamloops ,27,47,77,12,1,164,312
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,26,Kamloops ,17,109,162,37,0,325,504
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,27,Kamloops ,22,95,115,18,0,250,452
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 28A,Kamloops ,8,40,96,23,0,167,280
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 28B,Kamloops ,5,27,89,17,0,138,268
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,29,Kamloops ,21,63,121,25,0,230,385
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,30,Kamloops ,12,61,75,9,0,157,309
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,31,Kamloops 1,25,54,70,7,0,156,346
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 32A,Kamloops 1,7,55,17,1,0,80,243
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 32B,Kamloops 1,10,43,22,11,0,86,211
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 32-1A,Kamloops 1,14,85,136,30,0,265,459
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 32-1B,Kamloops 1,26,87,139,20,1,273,464
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,33,Campbell Creek,13,35,124,34,0,206,393
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,34,Pinantan Lake,56,100,88,19,1,264,464
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,35,Black Pines,0,33,50,7,1,91,141
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,36,Kamloops ,14,69,90,26,0,199,345
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 37A,Kamloops ,13,63,78,26,0,180,292
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 37B,Kamloops ,12,57,62,8,0,139,249
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,38,Kamloops ,18,102,82,17,1,220,344
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 39A,Kamloops ,30,89,107,21,0,247,450
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 39B,Mobile poll/Bureau itinérant,Merged with No. 505/Fusionné avec le nº 505,,,,,,82
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 40A,Kamloops ,10,74,61,13,1,159,293
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 40B,Kamloops ,15,55,71,7,0,148,281
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 41A,Kamloops ,18,59,63,15,1,156,297
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 41B,Kamloops ,18,48,58,10,0,134,265
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,42,Kamloops ,20,44,105,17,0,186,353
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,43,Kamloops ,12,73,70,10,0,165,318
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,44,Kamloops ,14,91,114,29,1,249,435
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 45A,Kamloops ,10,60,62,10,1,143,273
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 45B,Kamloops ,11,60,64,12,0,147,288
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,46,Kamloops ,19,93,78,18,0,208,343
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 47A,Kamloops ,15,68,48,14,1,146,280
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 47B,Kamloops ,9,64,61,4,0,138,258
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,48,Kamloops ,9,71,94,22,0,196,367
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,49,Kamloops ,19,96,79,17,0,211,421
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 49-1A,Kamloops ,9,62,87,16,0,174,400
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 49-1B,Kamloops ,9,86,106,25,0,226,417
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 50A,Kamloops ,9,88,71,23,0,191,315
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 50B,Kamloops ,11,59,71,12,0,153,288
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,51,Kamloops ,6,83,79,7,0,175,325
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,52,Kamloops ,15,98,79,25,0,217,430
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,53,Red Lake,8,10,12,1,0,31,43
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,54,Kamloops ,14,77,109,9,0,209,424
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,55,Kamloops ,10,98,112,17,1,238,491
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,56,Kamloops ,15,87,73,15,1,191,363
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,57,Kamloops ,22,98,71,13,1,205,345
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,58,Kamloops ,10,66,80,10,0,166,382
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,59,Kamloops ,22,90,111,35,1,259,434
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,60,Kamloops ,7,77,60,16,1,161,286
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,61,Kamloops ,12,112,99,18,0,241,468
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,62,Kamloops ,13,70,88,10,1,182,344
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 63A,Kamloops ,11,57,60,10,0,138,246
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 63B,Kamloops ,9,65,48,11,0,133,274
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 64A,Kamloops ,17,57,70,9,0,153,294
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 64B,Kamloops ,11,71,35,9,1,127,273
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 65A,Kamloops ,14,57,66,18,0,155,293
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 65B,Kamloops ,6,57,75,22,0,160,317
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,66,Kamloops ,20,89,76,13,9,207,348
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,67,Kamloops ,22,85,60,22,1,190,467
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 68A,Kamloops ,6,46,49,12,1,114,244
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo, 68B,Kamloops ,4,54,59,12,0,129,254
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,69,Kamloops ,16,88,75,19,0,198,443
59010,Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo,70,Kamloops ,24,102,86,20,0,232,476
