Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,John Fryer,James Lunney,Zeni Maartman,Richard Pesik,Frank Wagner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 1","Hot Springs Cove",1,1,0,24,1,0,0,27,52
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 1-1","Meares Island",1,0,2,14,1,0,0,18,50
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 1-2","Ahousat",1,1,5,65,12,0,0,84,288
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 2","Tofino",0,38,43,94,13,1,0,189,385
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 2-1","Alberni-Clayoquot C",0,32,50,43,24,0,0,149,268
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 2-2","Alberni-Clayoquot C",0,45,35,66,12,0,0,158,283
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 3A","Tofino",0,18,32,61,14,0,0,125,275
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 3B","Tofino",0,32,12,51,11,1,0,107,240
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 4","Ucluelet",0,14,20,40,6,1,1,82,172
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 5","Port Albion",1,7,12,32,0,0,1,53,127
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 6","Ucluelet",0,40,43,61,15,0,2,161,329
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 7","Ucluelet",0,36,58,73,11,0,0,178,395
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 8","Ucluelet",2,38,91,87,25,1,0,244,435
59014,"Nanaimo--Alberni/Nanaimo--Alberni"," 8-1","Ucluelet",0,13,14,18,5,0,0,50,99
