Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Phyllis Artiss,Lacey Lewis,Nyssa Christine McLeod,Todd Russell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10004,"Labrador/Labrador"," 1","Nain",32,9,4,90,0,135,324
10004,"Labrador/Labrador"," 2","Nain",56,9,11,106,3,185,464
10004,"Labrador/Labrador"," 3","Natuashish",20,7,4,52,1,84,337
10004,"Labrador/Labrador"," 4","Hopedale",16,11,5,135,2,169,391
10004,"Labrador/Labrador"," 5","Postville",7,2,1,57,1,68,150
10004,"Labrador/Labrador"," 6","Makkovik",12,4,6,107,0,129,275
10004,"Labrador/Labrador"," 7","Wabush",26,10,6,66,2,110,338
10004,"Labrador/Labrador"," 8","Labrador City",18,16,3,89,2,128,319
10004,"Labrador/Labrador"," 9","Labrador City",34,13,5,67,0,119,393
10004,"Labrador/Labrador"," 10","Labrador City",38,24,8,83,1,154,405
10004,"Labrador/Labrador"," 11","Labrador City",23,10,2,68,1,104,282
10004,"Labrador/Labrador"," 12","Labrador City",40,16,7,66,0,129,312
10004,"Labrador/Labrador"," 13","Labrador City",69,14,7,101,2,193,578
10004,"Labrador/Labrador"," 14","Labrador City",30,9,3,59,1,102,269
10004,"Labrador/Labrador"," 15","Labrador City",33,11,1,53,0,98,322
10004,"Labrador/Labrador"," 16","Labrador City",24,13,5,62,0,104,288
10004,"Labrador/Labrador"," 17","Labrador City",24,13,9,44,1,91,266
10004,"Labrador/Labrador"," 18","Labrador City",17,12,5,41,0,75,285
10004,"Labrador/Labrador"," 19","Labrador City",17,7,5,72,1,102,338
10004,"Labrador/Labrador"," 20","Labrador City",39,11,8,75,0,133,333
10004,"Labrador/Labrador"," 21","Labrador City",30,12,5,65,0,112,483
10004,"Labrador/Labrador"," 22","Labrador City",29,11,3,44,1,88,230
10004,"Labrador/Labrador"," 23","Labrador City",26,10,4,31,2,73,231
10004,"Labrador/Labrador"," 24","Labrador City",29,12,3,66,0,110,380
10004,"Labrador/Labrador"," 25","Wabush",32,11,6,73,1,123,312
10004,"Labrador/Labrador"," 26","Wabush",27,11,8,78,2,126,330
10004,"Labrador/Labrador"," 27","Wabush",47,18,8,84,4,161,423
10004,"Labrador/Labrador"," 28","Churchill Falls",28,10,4,54,0,96,207
10004,"Labrador/Labrador"," 29","Churchill Falls",32,7,3,64,1,107,249
10004,"Labrador/Labrador"," 30","Rigolet",13,3,1,75,0,92,230
10004,"Labrador/Labrador"," 31A","North West River",18,6,7,102,0,133,318
10004,"Labrador/Labrador"," 31B","North West River",12,3,3,43,0,61,217
10004,"Labrador/Labrador"," 32","Sheshatsheits",15,7,3,39,0,64,558
10004,"Labrador/Labrador"," 33","Mud Lake",0,1,1,22,0,24,32
10004,"Labrador/Labrador"," 34","Happy Valley-Goose Bay",10,22,7,41,0,80,260
10004,"Labrador/Labrador"," 35","Happy Valley-Goose Bay",10,2,7,60,0,79,237
10004,"Labrador/Labrador"," 36","Happy Valley-Goose Bay",32,21,13,141,2,209,436
10004,"Labrador/Labrador"," 37","Happy Valley-Goose Bay",28,25,7,139,2,201,555
10004,"Labrador/Labrador"," 38","Happy Valley-Goose Bay",15,10,6,113,0,144,472
10004,"Labrador/Labrador"," 39","Happy Valley-Goose Bay",37,15,9,146,3,210,529
10004,"Labrador/Labrador"," 40","Happy Valley-Goose Bay",23,8,3,113,3,150,403
10004,"Labrador/Labrador"," 41","Happy Valley-Goose Bay",10,6,8,106,0,130,295
10004,"Labrador/Labrador"," 42","Happy Valley-Goose Bay",18,6,10,105,0,139,334
10004,"Labrador/Labrador"," 43","Happy Valley-Goose Bay",13,4,4,61,2,84,349
10004,"Labrador/Labrador"," 44","Happy Valley-Goose Bay",15,2,0,57,0,74,395
10004,"Labrador/Labrador"," 45","Happy Valley-Goose Bay",12,3,4,82,1,102,340
10004,"Labrador/Labrador"," 46","Happy Valley-Goose Bay",31,10,9,114,3,167,411
10004,"Labrador/Labrador"," 47","Happy Valley-Goose Bay",41,11,8,102,3,165,360
10004,"Labrador/Labrador"," 48","Happy Valley-Goose Bay",13,3,0,50,1,67,310
10004,"Labrador/Labrador"," 49","Cartwright",8,5,3,149,0,165,447
10004,"Labrador/Labrador"," 50","Paradise River",Void/Supprimé,,,,,,
10004,"Labrador/Labrador"," 51","Black Tickle",4,1,0,65,0,70,157
10004,"Labrador/Labrador"," 52","Norman's Bay",2,0,1,6,0,9,15
10004,"Labrador/Labrador"," 53","Charlottetown",2,3,0,76,0,81,273
10004,"Labrador/Labrador"," 54","Pinsent Arm",1,0,0,23,0,24,27
10004,"Labrador/Labrador"," 55","Williams Harbour",0,3,0,12,2,17,39
10004,"Labrador/Labrador"," 56","St. Lewis",0,3,0,67,0,70,179
10004,"Labrador/Labrador"," 57","Port Hope Simpson",3,3,1,111,0,118,375
10004,"Labrador/Labrador"," 58A","Mary's Harbour",5,2,1,124,0,132,298
10004,"Labrador/Labrador"," 58B","Mobile poll/Bureau itinérant",1,1,0,14,0,16,13
10004,"Labrador/Labrador"," 59","Lodge Bay",0,1,0,37,0,38,69
10004,"Labrador/Labrador"," 60","Red Bay",12,9,2,61,0,84,189
10004,"Labrador/Labrador"," 61","Pinware",Void/Supprimé,,,,,,
10004,"Labrador/Labrador"," 62A","West St. Modeste",6,0,2,36,0,44,79
10004,"Labrador/Labrador"," 62B","West St. Modeste",3,2,0,57,2,64,169
10004,"Labrador/Labrador"," 63","L'Anse-au-Loup",25,17,4,121,1,168,465
10004,"Labrador/Labrador"," 64A","Forteau",11,6,1,135,1,154,346
10004,"Labrador/Labrador"," 64B","Mobile poll/Bureau itinérant",Merged with No. 58B/Fusionné avec le nº 58B,,,,,,13
10004,"Labrador/Labrador"," 65","L'Anse-au-Clair",4,5,1,78,1,89,175
10004,"Labrador/Labrador"," 500","Mobile poll/Bureau itinérant",2,3,1,24,3,33,49
10004,"Labrador/Labrador"," 600","Nain",2,0,0,1,0,3,
10004,"Labrador/Labrador"," 601","Natuashish",0,0,0,0,0,0,
10004,"Labrador/Labrador"," 602","Hopedale",Combined with No. 608/Jumelé avec le nº 608,,,,,,
10004,"Labrador/Labrador"," 603","Postville",Combined with No. 608/Jumelé avec le nº 608,,,,,,
10004,"Labrador/Labrador"," 604","Makkovik",1,0,0,2,0,3,
10004,"Labrador/Labrador"," 605","Rigolet",1,0,0,3,0,4,
10004,"Labrador/Labrador"," 606","Labrador City",20,9,5,68,0,102,
10004,"Labrador/Labrador"," 607","Churchill Falls",2,0,1,5,0,8,
10004,"Labrador/Labrador"," 608","Happy Valley-Goose Bay",13,8,6,104,0,131,
10004,"Labrador/Labrador"," 609","Cartwright",1,0,0,25,0,26,
10004,"Labrador/Labrador"," 610","Black Tickle",0,0,1,20,0,21,
10004,"Labrador/Labrador"," 611","Norman Bay",Combined with No. 612/Jumelé avec le nº 612,,,,,,
10004,"Labrador/Labrador"," 612","Charlottetown",1,0,0,58,0,59,
10004,"Labrador/Labrador"," 613","Williams Harbour",Combined with No. 612/Jumelé avec le nº 612,,,,,,
10004,"Labrador/Labrador"," 614","Mary's Harbour",Combined with No. 612/Jumelé avec le nº 612,,,,,,
10004,"Labrador/Labrador"," 615","Port Hope Simpson",Combined with No. 612/Jumelé avec le nº 612,,,,,,
10004,"Labrador/Labrador"," 616","L'Anse-au-Loup",2,1,0,28,0,31,
10004,"Labrador/Labrador"," 617","North West River",1,1,0,9,0,11,
10004,"Labrador/Labrador"," 618","Red Bay",0,1,0,1,0,2,
10004,"Labrador/Labrador",,Group 1/Groupe 1,7,29,6,55,5,102,243
10004,"Labrador/Labrador",,Group 2/Groupe 2,17,11,7,88,2,125,

