Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Andrews,Dave Aylward,Randy Wayne Dawe,Fabian Manning,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 1","Grates Cove",38,0,15,16,1,70,148
10001,"Avalon/Avalon"," 2","Red Head Cove",9,0,5,17,0,31,66
10001,"Avalon/Avalon"," 3","Old Perlican",60,2,18,91,0,171,338
10001,"Avalon/Avalon"," 4","Bay de Verde",39,0,23,62,1,125,267
10001,"Avalon/Avalon"," 5","Bay de Verde",17,0,14,37,3,71,124
10001,"Avalon/Avalon"," 6","Old Perlican",26,0,9,42,0,77,136
10001,"Avalon/Avalon"," 7","Low Point--Lower Island Cove--Caplin Cove",82,0,19,49,6,156,394
10001,"Avalon/Avalon"," 8","Sibleys Cove--Lead Cove",41,4,14,45,1,105,218
10001,"Avalon/Avalon"," 9","Burnt Point--Job's Cove",37,0,19,51,0,107,283
10001,"Avalon/Avalon"," 10","Brownsdale--New Melbourne",41,1,29,22,1,94,199
10001,"Avalon/Avalon"," 11","Gull Island",26,0,16,33,0,75,151
10001,"Avalon/Avalon"," 12","Hant's Harbour",68,2,36,58,4,168,333
10001,"Avalon/Avalon"," 13","New Chelsea",20,1,15,17,2,55,81
10001,"Avalon/Avalon"," 14","Northern Bay--Ochre Pit Cove",41,1,18,47,0,107,278
10001,"Avalon/Avalon"," 15","Winterton--Turks Cove",29,1,10,18,0,58,105
10001,"Avalon/Avalon"," 16","Winterton",104,2,23,60,0,189,305
10001,"Avalon/Avalon"," 17","Western Bay",52,5,28,86,2,173,341
10001,"Avalon/Avalon"," 18","New Perlican",32,0,16,40,1,89,141
10001,"Avalon/Avalon"," 19","Blackhead--Broad Cove--Adams Cove",59,3,27,30,3,122,268
10001,"Avalon/Avalon"," 20","Heart's Content",68,2,33,69,0,172,346
10001,"Avalon/Avalon"," 21","Small Point--Kingston--Spout Cove",26,4,14,32,0,76,116
10001,"Avalon/Avalon"," 22","Salmon Cove--Perry's Cove",104,3,20,46,2,175,446
10001,"Avalon/Avalon"," 23","Come By Chance",60,0,22,31,2,115,232
10001,"Avalon/Avalon"," 24","Sunnyside",96,4,41,44,0,185,373
10001,"Avalon/Avalon"," 25","Arnold's Cove",112,2,32,33,0,179,338
10001,"Avalon/Avalon"," 26","Arnold's Cove",75,2,23,21,0,121,235
10001,"Avalon/Avalon"," 27","Arnold's Cove",101,1,19,28,0,149,267
10001,"Avalon/Avalon"," 28","Southern Harbour",76,2,19,80,0,177,360
10001,"Avalon/Avalon"," 29","Southern Harbour",6,1,0,3,0,10,29
10001,"Avalon/Avalon"," 30","Chance Cove",123,2,11,27,2,165,264
10001,"Avalon/Avalon"," 31","Bellevue",44,1,30,34,1,110,164
10001,"Avalon/Avalon"," 32","Thornlea",36,0,6,10,1,53,108
10001,"Avalon/Avalon"," 33","Long Cove",31,2,16,11,0,60,122
10001,"Avalon/Avalon"," 34","Norman's Cove",37,1,20,27,0,85,137
10001,"Avalon/Avalon"," 35","Norman's Cove",116,3,53,47,1,220,419
10001,"Avalon/Avalon"," 36","Chapel Arm",101,4,42,23,2,172,287
10001,"Avalon/Avalon"," 37","Chapel Arm",32,1,16,14,0,63,107
10001,"Avalon/Avalon"," 38","Little Harbour East",21,0,4,25,0,50,100
10001,"Avalon/Avalon"," 39","Fair Haven",26,1,8,7,1,43,91
10001,"Avalon/Avalon"," 40","Long Harbour",57,2,32,73,2,166,254
10001,"Avalon/Avalon"," 41","Heart's Desire",36,2,21,41,0,100,188
10001,"Avalon/Avalon"," 42","Heart's Delight",66,1,16,42,1,126,267
10001,"Avalon/Avalon"," 43","Heart's Delight",64,1,17,24,0,106,163
10001,"Avalon/Avalon"," 44","Islington",61,1,9,23,0,94,162
10001,"Avalon/Avalon"," 45","Cavendish",90,4,23,23,0,140,259
10001,"Avalon/Avalon"," 46","Whiteway",68,4,23,31,0,126,254
10001,"Avalon/Avalon"," 47","Green's Harbour",120,9,71,65,6,271,500
10001,"Avalon/Avalon"," 48","Green's Harbour",7,0,5,0,1,13,26
10001,"Avalon/Avalon"," 49","Hopeall",28,0,28,23,0,79,166
10001,"Avalon/Avalon"," 50A","New Harbour",66,5,33,20,2,126,252
10001,"Avalon/Avalon"," 50B","New Harbour",63,5,18,25,2,113,235
10001,"Avalon/Avalon"," 51","New Harbour",62,2,29,19,0,112,212
10001,"Avalon/Avalon"," 52","Old Shop",50,4,34,19,0,107,233
10001,"Avalon/Avalon"," 53","Dildo",30,1,7,4,0,42,92
10001,"Avalon/Avalon"," 54A","Dildo",80,8,31,38,0,157,310
10001,"Avalon/Avalon"," 54B","Dildo",86,5,23,15,0,129,226
10001,"Avalon/Avalon"," 54C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,9
10001,"Avalon/Avalon"," 55","South Dildo",42,0,15,24,0,81,166
10001,"Avalon/Avalon"," 56","Blaketown",102,5,31,43,1,182,367
10001,"Avalon/Avalon"," 57","Whitbourne",71,2,36,43,4,156,343
10001,"Avalon/Avalon"," 58","Whitbourne",58,3,39,32,3,135,308
10001,"Avalon/Avalon"," 59","Whitbourne",33,0,18,20,0,71,146
10001,"Avalon/Avalon"," 60","Markland",58,5,17,31,1,112,221
10001,"Avalon/Avalon"," 61","Salmon Cove--Perry's Cove",68,0,30,50,3,151,285
10001,"Avalon/Avalon"," 62","Victoria",43,2,16,38,0,99,236
10001,"Avalon/Avalon"," 63","Victoria",38,1,10,24,0,73,160
10001,"Avalon/Avalon"," 64A","Victoria",64,0,17,32,0,113,230
10001,"Avalon/Avalon"," 64B","Victoria",73,0,23,40,1,137,277
10001,"Avalon/Avalon"," 65","Freshwater",35,1,15,35,0,86,138
10001,"Avalon/Avalon"," 66A","Victoria",47,1,20,31,0,99,235
10001,"Avalon/Avalon"," 66B","Victoria",36,4,20,50,0,110,244
10001,"Avalon/Avalon"," 67","Carbonear",86,1,36,72,0,195,395
10001,"Avalon/Avalon"," 68","Carbonear",78,1,29,31,0,139,358
10001,"Avalon/Avalon"," 69","Carbonear",88,4,30,39,0,161,398
10001,"Avalon/Avalon"," 70","Carbonear",90,2,36,38,0,166,398
10001,"Avalon/Avalon"," 71","Carbonear",89,1,28,49,0,167,323
10001,"Avalon/Avalon"," 72","Carbonear",67,3,22,47,0,139,282
10001,"Avalon/Avalon"," 73A","Carbonear",67,0,20,34,0,121,254
10001,"Avalon/Avalon"," 73B","Carbonear",62,0,17,34,0,113,243
10001,"Avalon/Avalon"," 74A","Carbonear",67,3,24,41,0,135,242
10001,"Avalon/Avalon"," 74B","Carbonear",78,3,33,45,0,159,307
10001,"Avalon/Avalon"," 75","Carbonear",78,3,23,37,4,145,327
10001,"Avalon/Avalon"," 76A","Carbonear",73,1,31,52,5,162,378
10001,"Avalon/Avalon"," 76B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,78
10001,"Avalon/Avalon"," 77","Harbour Grace",65,4,37,72,3,181,417
10001,"Avalon/Avalon"," 78","Harbour Grace",28,2,13,31,1,75,178
10001,"Avalon/Avalon"," 79","Harbour Grace--Bristol's Hope",97,4,32,80,0,213,377
10001,"Avalon/Avalon"," 80","Harbour Grace",33,4,12,35,1,85,220
10001,"Avalon/Avalon"," 81","Harbour Grace",40,3,23,55,1,122,269
10001,"Avalon/Avalon"," 82","Harbour Grace",48,1,15,55,5,124,247
10001,"Avalon/Avalon"," 83A","Harbour Grace",38,1,21,29,0,89,225
10001,"Avalon/Avalon"," 83B","Harbour Grace",32,0,15,38,0,85,183
10001,"Avalon/Avalon"," 84","Harbour Grace South",61,2,14,52,0,129,229
10001,"Avalon/Avalon"," 85","Bryant's Cove",61,0,24,49,0,134,292
10001,"Avalon/Avalon"," 86","Riverhead--Harbour Grace",19,1,18,36,0,74,204
10001,"Avalon/Avalon"," 87","Riverhead--Harbour Grace",50,1,18,41,1,111,274
10001,"Avalon/Avalon"," 88","Tilton",55,5,26,43,3,132,256
10001,"Avalon/Avalon"," 89","Spaniard's Bay",85,1,22,26,0,134,267
10001,"Avalon/Avalon"," 90","Spaniard's Bay",87,5,26,33,0,151,339
10001,"Avalon/Avalon"," 91","Spaniard's Bay",59,3,12,33,0,107,251
10001,"Avalon/Avalon"," 92A","Spaniard's Bay",71,2,30,26,1,130,372
10001,"Avalon/Avalon"," 92B","Spaniard's Bay",70,1,31,31,2,135,365
10001,"Avalon/Avalon"," 93","Spaniard's Bay",65,1,16,21,2,105,209
10001,"Avalon/Avalon"," 94A","Upper Island Cove",95,3,25,30,0,153,386
10001,"Avalon/Avalon"," 94B","Upper Island Cove",81,2,31,34,0,148,349
10001,"Avalon/Avalon"," 95","Bishop's Cove",55,0,17,26,1,99,153
10001,"Avalon/Avalon"," 96","Upper Island Cove",44,1,11,20,2,78,211
10001,"Avalon/Avalon"," 97","Upper Island Cove",13,1,4,7,0,25,65
10001,"Avalon/Avalon"," 98","Upper Island Cove",70,1,9,22,0,102,223
10001,"Avalon/Avalon"," 99","Upper Island Cove",42,0,12,8,1,63,153
10001,"Avalon/Avalon"," 100","Bay Roberts",60,1,19,22,4,106,265
10001,"Avalon/Avalon"," 101","Blow Me Down--Port de Grave",50,0,14,48,2,114,178
10001,"Avalon/Avalon"," 102","Port de Grave",36,2,8,43,0,89,171
10001,"Avalon/Avalon"," 103","Cupids",17,1,4,16,1,39,126
10001,"Avalon/Avalon"," 104","Brigus",97,3,26,50,0,176,371
10001,"Avalon/Avalon"," 105","Bay Roberts",100,3,25,35,3,166,304
10001,"Avalon/Avalon"," 106","Bay Roberts",61,5,17,31,0,114,238
10001,"Avalon/Avalon"," 107A","Bay Roberts",65,0,16,38,1,120,257
10001,"Avalon/Avalon"," 107B","Bay Roberts",44,4,18,45,0,111,245
10001,"Avalon/Avalon"," 108A","Bay Roberts",70,2,15,35,0,122,251
10001,"Avalon/Avalon"," 108B","Bay Roberts",74,0,19,29,0,122,291
10001,"Avalon/Avalon"," 109","Bay Roberts",76,3,16,41,0,136,275
10001,"Avalon/Avalon"," 110","Bay Roberts",91,2,11,15,2,121,281
10001,"Avalon/Avalon"," 111","Bay Roberts",111,1,15,28,1,156,365
10001,"Avalon/Avalon"," 112","Bay Roberts",134,3,28,49,0,214,461
10001,"Avalon/Avalon"," 113","Bay Roberts",63,1,17,29,2,112,244
10001,"Avalon/Avalon"," 114","Bay Roberts",35,1,13,19,0,68,138
10001,"Avalon/Avalon"," 115","Bareneed--The Dock--Black Duck",92,2,18,58,1,171,264
10001,"Avalon/Avalon"," 116A","South River",49,1,21,49,2,122,266
10001,"Avalon/Avalon"," 116B","South River",84,3,29,35,0,151,277
10001,"Avalon/Avalon"," 117","Cupids",104,5,25,95,0,229,429
10001,"Avalon/Avalon"," 118","Georgetown",42,0,25,46,0,113,280
10001,"Avalon/Avalon"," 119A","Brigus",30,1,10,10,0,51,93
10001,"Avalon/Avalon"," 119B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,7
10001,"Avalon/Avalon"," 120A","Butlerville",64,2,9,12,1,88,255
10001,"Avalon/Avalon"," 120B","Butlerville",55,1,14,27,2,99,259
10001,"Avalon/Avalon"," 121","North River",23,1,6,10,0,40,87
10001,"Avalon/Avalon"," 122","North River--Otterbury--Birch Hills",113,3,35,42,4,197,466
10001,"Avalon/Avalon"," 123A","Clarke's Beach",67,2,27,43,0,139,344
10001,"Avalon/Avalon"," 123B","Clarke's Beach",60,4,35,30,1,130,332
10001,"Avalon/Avalon"," 124A","Clarke's Beach",46,3,36,46,0,131,307
10001,"Avalon/Avalon"," 124B","Clarke's Beach",49,1,28,28,1,107,293
10001,"Avalon/Avalon"," 125A","Makinsons",46,6,18,21,0,91,266
10001,"Avalon/Avalon"," 125B","Makinsons",45,1,19,20,0,85,215
10001,"Avalon/Avalon"," 126","Marysvale",28,0,12,35,1,76,180
10001,"Avalon/Avalon"," 127","Colliers",36,2,6,25,2,71,111
10001,"Avalon/Avalon"," 128A","Marysvale",43,3,16,35,0,97,242
10001,"Avalon/Avalon"," 128B","Marysvale",63,3,13,51,0,130,289
10001,"Avalon/Avalon"," 129","Colliers",82,3,23,58,0,166,396
10001,"Avalon/Avalon"," 130","Conception Harbour",90,4,54,86,0,234,511
10001,"Avalon/Avalon"," 131A","Avondale",55,4,38,60,1,158,291
10001,"Avalon/Avalon"," 131B","Avondale",60,6,35,39,0,140,285
10001,"Avalon/Avalon"," 132","Harbour Main--Chapel Cove--Lakeview",95,4,34,69,2,204,338
10001,"Avalon/Avalon"," 133","Harbour Main--Chapel Cove--Lakeview",27,1,23,33,0,84,156
10001,"Avalon/Avalon"," 134","Harbour Main--Chapel Cove--Lakeview",108,2,27,63,0,200,398
10001,"Avalon/Avalon"," 135","Holyrood",79,4,31,63,4,181,322
10001,"Avalon/Avalon"," 136A","Holyrood",86,7,50,60,2,205,383
10001,"Avalon/Avalon"," 136B","Holyrood",113,3,40,62,3,221,387
10001,"Avalon/Avalon"," 137","Holyrood",75,3,33,46,1,158,337
10001,"Avalon/Avalon"," 138","Holyrood",64,1,13,61,0,139,248
10001,"Avalon/Avalon"," 139A","Conception Bay South",59,3,42,25,1,130,252
10001,"Avalon/Avalon"," 139B","Conception Bay South",76,2,32,25,0,135,261
10001,"Avalon/Avalon"," 140","Conception Bay South",89,2,46,62,0,199,428
10001,"Avalon/Avalon"," 141A","Conception Bay South",62,3,35,39,2,141,313
10001,"Avalon/Avalon"," 141B","Conception Bay South",51,1,29,30,4,115,323
10001,"Avalon/Avalon"," 142","Conception Bay South",7,3,12,11,0,33,87
10001,"Avalon/Avalon"," 143","Conception Bay South",68,1,27,30,0,126,296
10001,"Avalon/Avalon"," 144","Conception Bay South",95,3,48,36,0,182,441
10001,"Avalon/Avalon"," 145","Conception Bay South",74,1,38,26,0,139,350
10001,"Avalon/Avalon"," 146A","Conception Bay South",52,5,20,16,0,93,241
10001,"Avalon/Avalon"," 146B","Conception Bay South",34,2,26,15,0,77,213
10001,"Avalon/Avalon"," 147A","Conception Bay South",95,4,41,23,0,163,328
10001,"Avalon/Avalon"," 147B","Conception Bay South",80,2,39,14,0,135,282
10001,"Avalon/Avalon"," 147C","Conception Bay South",85,2,50,33,1,171,368
10001,"Avalon/Avalon"," 148","Conception Bay South",26,1,25,29,0,81,186
10001,"Avalon/Avalon"," 149","Conception Bay South",92,7,51,62,0,212,485
10001,"Avalon/Avalon"," 150A","Conception Bay South",44,3,45,21,0,113,249
10001,"Avalon/Avalon"," 150B","Conception Bay South",65,4,48,39,0,156,317
10001,"Avalon/Avalon"," 150C","Conception Bay South",55,5,33,25,2,120,278
10001,"Avalon/Avalon"," 151A","Conception Bay South",58,1,30,23,1,113,243
10001,"Avalon/Avalon"," 151B","Conception Bay South",63,6,37,24,1,131,288
10001,"Avalon/Avalon"," 152A","Conception Bay South",97,0,32,23,1,153,339
10001,"Avalon/Avalon"," 152B","Conception Bay South",108,4,45,50,0,207,411
10001,"Avalon/Avalon"," 152C","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,16
10001,"Avalon/Avalon"," 153A","Conception Bay South",92,2,60,42,0,196,414
10001,"Avalon/Avalon"," 153B","Mobile poll/Bureau itinérant",Merged with No. 509/Fusionné avec le nº 509,,,,,,63
