Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Boudria,Jean-Sébastien Caron,Pierre Lemieux,Sylvie Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 50","Wendover",95,24,76,30,0,225,310
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 50-1","Alfred and Plantagenet",41,16,35,17,2,111,202
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 51","Wendover",133,60,116,23,4,336,571
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 52","Treadwell",67,21,50,5,0,143,242
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 52-1","Alfred and Plantagenet",69,19,54,8,1,151,232
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 53","Coins Gratton",92,27,109,13,0,241,438
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 53-1","Coins Gratton",84,21,73,8,5,191,322
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 54","Lefaivre",129,47,106,7,4,293,507
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 55","Alfred Station",24,7,33,3,2,69,142
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 55-1","Alfred and Plantagenet",124,36,108,13,5,286,559
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 56","Alfred",118,39,71,10,3,241,390
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 57","Alfred",167,27,129,30,5,358,546
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 58","Plantagenet Station",60,23,57,8,1,149,353
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 59","Plantagenet",75,19,77,12,1,184,345
