Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rod Brindamour,Rob Gillespie,Ron McKinnon,James Moore,Zoë Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 1","Indian Arm",17,1,14,90,22,0,144,259
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 2","Anmore",20,3,38,146,59,0,266,471
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 3","Anmore",25,2,35,190,40,2,294,520
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 4","Belcarra",15,0,28,93,25,1,162,251
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 5","Port Moody",16,4,31,108,41,0,200,309
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 6","Port Moody",24,1,31,155,42,0,253,431
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 7","Port Moody",21,1,21,105,42,0,190,295
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 8","Port Moody",24,1,28,126,44,0,223,357
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 9","Port Moody",13,0,20,105,23,0,161,285
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 10","Port Moody",16,3,45,175,27,1,267,444
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 10-1","Port Moody",10,3,35,121,9,0,178,383
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 11","Port Moody",16,3,22,175,56,0,272,427
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 12","Port Moody",29,2,39,96,43,0,209,345
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 13","Port Moody",44,1,39,126,52,0,262,435
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 14","Port Moody",15,1,27,112,47,0,202,319
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 15","Port Moody",20,0,30,108,29,1,188,326
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 16A","Port Moody",17,0,50,160,24,0,251,458
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 16B","Port Moody",19,0,53,143,30,0,245,450
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 16-1","Port Moody",29,1,62,150,43,1,286,522
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 17","Port Moody",9,2,26,120,25,1,183,346
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 17-1","Port Moody",13,3,54,158,25,1,254,536
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 18","Port Moody",19,1,15,127,26,1,189,365
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 19","Port Moody",10,2,50,142,26,2,232,377
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 20","Port Moody",9,1,37,109,12,0,168,287
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 21","Port Moody",25,2,27,190,42,0,286,451
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 22","Port Moody",28,4,50,119,57,0,258,473
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 23A","Port Moody",26,0,29,91,84,0,230,394
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 23B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,28
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 24","Port Moody",Void/Supprimé,,,,,,,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 25A","Port Moody",27,2,42,123,41,0,235,438
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 25B","Port Moody",18,1,48,124,38,1,230,419
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 25-1","Port Moody",11,1,14,59,14,1,100,169
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 26","Port Moody",24,0,22,72,57,1,176,318
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 27","Port Moody",32,2,25,68,76,1,204,381
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 28","Coquitlam",16,3,48,106,63,0,236,446
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 29","Coquitlam",22,1,43,161,79,0,306,518
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 30","Coquitlam",21,1,31,99,47,0,199,333
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 31","Coquitlam",11,3,40,113,56,0,223,429
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 32","Coquitlam",15,3,27,120,42,2,209,313
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 33","Coquitlam",25,3,30,104,73,1,236,365
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 34A","Coquitlam",4,1,24,53,34,0,116,288
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 34B","Coquitlam",6,4,40,62,30,1,143,366
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 35","Coquitlam",11,0,12,28,18,0,69,226
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 36","Coquitlam",14,3,19,58,51,0,145,313
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 37","Coquitlam",18,2,38,125,70,1,254,465
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 38","Coquitlam",21,1,16,75,59,0,172,406
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 39","Coquitlam",11,1,33,113,21,0,179,359
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 40","Coquitlam",10,2,34,181,43,0,270,470
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 41","Coquitlam",24,2,29,77,38,0,170,367
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 42","Coquitlam",28,1,41,137,95,3,305,483
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 43","Coquitlam",31,2,51,130,79,4,297,510
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 44","Coquitlam",13,2,35,100,49,0,199,391
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 45","Coquitlam",17,1,30,108,45,0,201,337
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 46A","Coquitlam",7,1,31,81,36,0,156,414
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 46B","Coquitlam",10,1,32,67,24,3,137,370
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 46-1","Coquitlam",11,1,52,126,58,3,251,568
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 47","Coquitlam",16,0,43,127,64,1,251,530
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 48","Coquitlam",21,1,34,136,63,2,257,522
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 49","Coquitlam",Void/Supprimé,,,,,,,
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 50","Coquitlam",12,1,35,75,39,0,162,333
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 51","Coquitlam",9,2,47,115,57,0,230,531
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 52","Coquitlam",24,2,23,105,63,2,219,434
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 53","Coquitlam",14,0,30,57,37,0,138,352
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 54","Coquitlam",12,3,30,121,31,0,197,316
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 55","Coquitlam",28,3,38,153,54,1,277,529
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 56","Coquitlam",13,0,32,70,36,0,151,267
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 57","Coquitlam",18,3,47,141,27,3,239,468
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 58","Coquitlam",14,3,61,175,39,4,296,545
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 59","Coquitlam",21,6,52,149,59,0,287,570
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 60","Coquitlam",22,3,39,148,48,0,260,537
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 61","Coquitlam",14,4,45,157,48,1,269,574
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 62","Coquitlam",15,0,14,112,35,0,176,357
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 63","Coquitlam",16,2,41,140,71,2,272,453
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 64","Coquitlam",19,2,41,127,39,0,228,414
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 65","Coquitlam",29,0,53,204,37,2,325,529
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 66","Coquitlam",18,1,44,160,37,0,260,510
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 67","Coquitlam",12,1,40,149,28,0,230,412
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 68","Coquitlam",5,0,27,67,17,0,116,287
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 68-1","Coquitlam",5,1,20,107,18,1,152,306
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 69","Coquitlam",11,1,33,114,19,0,178,432
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 69-1","Coquitlam",11,1,28,124,23,0,187,340
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 70","Coquitlam",3,6,38,130,25,0,202,473
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 70-1","Coquitlam",10,0,27,161,20,0,218,445
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 71","Coquitlam",19,1,61,157,27,1,266,516
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 72","Coquitlam",13,1,45,130,54,0,243,572
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 73","Coquitlam",12,1,27,162,20,0,222,456
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 74","Coquitlam",8,1,13,86,13,1,122,243
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 75A","Coquitlam",6,1,22,68,20,0,117,304
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 75B","Coquitlam",10,1,21,59,24,1,116,286
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 76","Coquitlam",10,2,54,163,35,0,264,526
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 76-1","Coquitlam",7,3,23,107,8,0,148,297
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 77","Coquitlam",7,0,25,86,9,0,127,309
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 77-1","Coquitlam",3,0,24,77,6,0,110,305
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 78","Coquitlam",8,1,40,156,30,0,235,529
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 79","Coquitlam",10,4,42,134,19,0,209,536
59021,"Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam"," 80","Coquitlam",10,3,60,132,26,0,231,492
