Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Avery,Emma Daughton,Lawrence MacAulay,Larry McGuire,Sid McMullin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 1","North Lake",11,6,132,2,43,2,196,289
11001,"Cardigan/Cardigan"," 2","Red Point",12,4,123,8,57,2,206,308
11001,"Cardigan/Cardigan"," 3","Chepstow",18,1,98,9,54,2,182,340
11001,"Cardigan/Cardigan"," 4","Souris East",19,4,110,10,34,5,182,377
11001,"Cardigan/Cardigan"," 5","Souris",9,0,84,4,39,2,138,303
11001,"Cardigan/Cardigan"," 6","Souris River",17,2,110,7,35,1,172,335
11001,"Cardigan/Cardigan"," 7","New Zealand",11,4,111,9,35,0,170,337
11001,"Cardigan/Cardigan"," 8","Souris West",14,5,111,10,30,0,170,312
11001,"Cardigan/Cardigan"," 9","St. Charles",17,8,124,27,29,0,205,320
11001,"Cardigan/Cardigan"," 10","Cable Head",6,3,153,43,60,3,268,378
11001,"Cardigan/Cardigan"," 11","Five Houses",5,3,120,35,66,0,229,356
11001,"Cardigan/Cardigan"," 12","Fortune",15,7,115,18,68,3,226,333
11001,"Cardigan/Cardigan"," 13","Dundas",9,3,119,10,52,1,194,318
11001,"Cardigan/Cardigan"," 14","Milburn",15,3,109,38,60,2,227,388
11001,"Cardigan/Cardigan"," 15","Morell",15,4,96,45,74,1,235,341
11001,"Cardigan/Cardigan"," 16","Green Meadows",7,7,81,62,68,2,227,342
11001,"Cardigan/Cardigan"," 17","Glenfanning",7,3,104,6,61,0,181,354
11001,"Cardigan/Cardigan"," 18","Launching",12,8,127,8,86,1,242,360
11001,"Cardigan/Cardigan"," 19","Georgetown South",4,6,84,2,179,2,277,429
11001,"Cardigan/Cardigan"," 20","Georgetown North",12,5,90,11,132,1,251,394
11001,"Cardigan/Cardigan"," 21","Head of Cardigan",26,6,149,10,70,2,263,405
11001,"Cardigan/Cardigan"," 22","Brudenell",14,3,110,6,59,0,192,299
11001,"Cardigan/Cardigan"," 23","Victoria Cross",17,6,118,11,66,1,219,389
11001,"Cardigan/Cardigan"," 24","North Montague",18,3,98,5,44,0,168,403
11001,"Cardigan/Cardigan"," 25","West Montague",9,1,86,7,54,0,157,355
11001,"Cardigan/Cardigan"," 26","Central Montague",13,13,71,9,41,1,148,354
11001,"Cardigan/Cardigan"," 27","South Montague",14,12,123,10,41,1,201,378
11001,"Cardigan/Cardigan"," 28","Valleyfield",18,6,116,7,72,2,221,410
11001,"Cardigan/Cardigan"," 29","Lower Montague",13,7,131,6,48,2,207,386
11001,"Cardigan/Cardigan"," 30","Brooklyn",18,7,127,10,77,3,242,387
11001,"Cardigan/Cardigan"," 31","Sturgeon",13,5,127,19,55,0,219,385
11001,"Cardigan/Cardigan"," 32","Murray Harbour North",12,2,105,5,65,1,190,327
11001,"Cardigan/Cardigan"," 33","Murray River North",10,3,102,10,43,0,168,326
11001,"Cardigan/Cardigan"," 34","Murray River South",19,10,95,12,52,3,191,333
11001,"Cardigan/Cardigan"," 35","Beach Point",12,9,99,8,83,1,212,377
11001,"Cardigan/Cardigan"," 36","Abney",14,7,101,13,43,4,182,346
11001,"Cardigan/Cardigan"," 37","Wood Islands",8,12,77,5,62,0,164,311
11001,"Cardigan/Cardigan"," 38","Lewes",15,8,89,7,64,0,183,319
11001,"Cardigan/Cardigan"," 39","Flat River",23,19,118,6,71,1,238,373
11001,"Cardigan/Cardigan"," 40","Mount Buchanan",14,9,123,6,49,1,202,353
11001,"Cardigan/Cardigan"," 41","Iona",15,4,106,6,55,0,186,294
