Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Moffat,Tony Mowery,Mike Richardson,Rodney Weston,Paul Zed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John/Saint John"," 1","Quispamsis",1,39,4,84,85,3,216,445
13009,"Saint John/Saint John"," 2","Quispamsis",1,31,11,81,82,1,207,392
13009,"Saint John/Saint John"," 3","Quispamsis",3,26,8,147,127,0,311,602
13009,"Saint John/Saint John"," 4","Quispamsis",1,34,8,78,77,0,198,410
13009,"Saint John/Saint John"," 5","Rothesay",0,28,17,125,142,1,313,560
13009,"Saint John/Saint John"," 6","Rothesay",1,37,13,130,91,3,275,496
13009,"Saint John/Saint John"," 7","Rothesay",1,27,8,111,85,1,233,504
13009,"Saint John/Saint John"," 8","Rothesay",0,16,17,58,58,1,150,361
13009,"Saint John/Saint John"," 9","Rothesay",2,36,23,116,84,2,263,450
13009,"Saint John/Saint John"," 10","Rothesay",0,29,6,82,75,1,193,447
13009,"Saint John/Saint John"," 11","Rothesay",1,28,8,52,63,0,152,300
13009,"Saint John/Saint John"," 12","Rothesay",0,19,11,52,48,0,130,254
13009,"Saint John/Saint John"," 13","Rothesay",2,23,15,90,108,2,240,455
13009,"Saint John/Saint John"," 14","Rothesay",3,57,19,120,75,1,275,567
13009,"Saint John/Saint John"," 15","Rothesay",4,57,9,141,67,1,279,555
13009,"Saint John/Saint John"," 16","Rothesay",1,45,9,80,58,0,193,343
13009,"Saint John/Saint John"," 17","Rothesay",5,17,18,82,92,2,216,378
13009,"Saint John/Saint John"," 18","Rothesay",0,15,12,111,123,0,261,521
13009,"Saint John/Saint John"," 19","Rothesay",0,23,4,55,31,0,113,256
13009,"Saint John/Saint John"," 20","Rothesay",0,5,8,68,129,0,210,396
13009,"Saint John/Saint John"," 21","Rothesay",0,8,12,89,117,0,226,414
13009,"Saint John/Saint John"," 22","Rothesay",0,7,11,82,122,1,223,367
13009,"Saint John/Saint John"," 23","Rothesay",0,9,9,98,138,1,255,404
13009,"Saint John/Saint John"," 24","Rothesay",0,14,12,78,119,0,223,389
13009,"Saint John/Saint John"," 25","Rothesay",3,20,12,88,110,1,234,387
13009,"Saint John/Saint John"," 26","Saint John",2,39,8,78,56,0,183,449
13009,"Saint John/Saint John"," 27","Saint John",0,22,8,92,55,1,178,356
13009,"Saint John/Saint John"," 28","Saint John",3,40,17,88,40,0,188,423
13009,"Saint John/Saint John"," 29","Saint John",2,41,4,114,87,5,253,529
