Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stan Knowlton,Jared McCollum,Ted Menzies,Isabel Paynter,Marc Slingerland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Macleod/Macleod"," 1","Kovach",28,47,46,12,2,0,135,180
48020,"Macleod/Macleod"," 2","Bragg Creek",Merged with No. 12/Fusionné avec le nº 12,,,,,,,9
48020,"Macleod/Macleod"," 2-1A","Foothills No. 31",5,34,196,17,2,1,255,469
48020,"Macleod/Macleod"," 2-1B","Foothills No. 31",11,22,168,18,1,0,220,427
48020,"Macleod/Macleod"," 3","Jumping Pound",6,33,226,10,2,1,278,437
48020,"Macleod/Macleod"," 4","Jumping Pound",6,18,112,8,0,0,144,239
48020,"Macleod/Macleod"," 5","Glenbow",10,29,245,28,3,3,318,568
48020,"Macleod/Macleod"," 6A","Rocky View No.44",4,14,185,18,1,3,225,407
48020,"Macleod/Macleod"," 6B","Rocky View No.44",10,18,143,16,0,0,187,336
48020,"Macleod/Macleod"," 7","Rocky View No. 44",5,31,152,13,1,2,204,364
48020,"Macleod/Macleod"," 8A","Rocky View No. 44",13,26,191,19,2,1,252,440
48020,"Macleod/Macleod"," 8B","Rocky View No. 44",4,10,164,16,0,1,195,379
48020,"Macleod/Macleod"," 9A","Pirmez Creek",4,20,177,18,0,1,220,331
48020,"Macleod/Macleod"," 9B","Pirmez Creek",3,22,156,16,1,0,198,338
48020,"Macleod/Macleod"," 9C","Pirmez Creek",8,28,205,18,1,0,260,416
48020,"Macleod/Macleod"," 10A","Rocky View No. 44",8,19,149,27,1,0,204,367
48020,"Macleod/Macleod"," 10B","Rocky View No. 44",4,15,177,16,3,1,216,423
48020,"Macleod/Macleod"," 11A","Rocky View No. 44",7,19,235,19,3,0,283,498
48020,"Macleod/Macleod"," 11B","Rocky View No. 44",9,12,187,15,0,0,223,421
48020,"Macleod/Macleod"," 11C","Rocky View No. 44",6,14,209,27,0,0,256,451
48020,"Macleod/Macleod"," 12","Bragg Creek",6,58,153,21,0,0,238,362
48020,"Macleod/Macleod"," 13","Bragg Creek",7,31,116,18,0,1,173,316
48020,"Macleod/Macleod"," 14A","Bragg Creek",14,38,140,19,1,0,212,377
48020,"Macleod/Macleod"," 14B","Bragg Creek",18,50,132,26,0,0,226,379
48020,"Macleod/Macleod"," 15","Sarcee 145",17,40,127,28,0,0,212,363
48020,"Macleod/Macleod"," 16","Sarcee 145",9,33,121,23,0,1,187,336
48020,"Macleod/Macleod"," 17","Sarcee 145",4,4,6,1,0,0,15,188
48020,"Macleod/Macleod"," 18","Bragg Creek",Void/Supprimé,,,,,,,
48020,"Macleod/Macleod"," 19","Priddis",17,32,222,20,0,2,293,422
48020,"Macleod/Macleod"," 20","Priddis",13,40,311,20,4,0,388,561
48020,"Macleod/Macleod"," 21A","Kew",15,30,202,23,1,1,272,428
48020,"Macleod/Macleod"," 21B","Kew",8,19,194,20,3,0,244,365
48020,"Macleod/Macleod"," 22","Turner Valley",8,35,189,8,0,0,240,389
48020,"Macleod/Macleod"," 23","Eden Valley 216",13,22,278,8,3,0,324,592
48020,"Macleod/Macleod"," 24","Academy",14,21,231,10,0,2,278,461
48020,"Macleod/Macleod"," 25","De Winton",4,21,213,10,0,0,248,393
48020,"Macleod/Macleod"," 26","Millarville",3,22,113,5,0,0,143,233
48020,"Macleod/Macleod"," 27","Millarville",4,15,144,11,1,0,175,301
48020,"Macleod/Macleod"," 27-1","Foothills No. 31",10,21,181,4,0,0,216,420
48020,"Macleod/Macleod"," 28A","Black Diamond",9,29,124,9,2,0,173,334
48020,"Macleod/Macleod"," 28B","Black Diamond",3,23,102,4,1,0,133,317
48020,"Macleod/Macleod"," 29A","Black Diamond",8,12,154,1,0,1,176,340
48020,"Macleod/Macleod"," 29B","Black Diamond",8,22,169,4,0,0,203,364
48020,"Macleod/Macleod"," 30","Turner Valley",21,35,192,10,2,0,260,394
48020,"Macleod/Macleod"," 31A","Turner Valley",16,17,113,11,2,0,159,307
48020,"Macleod/Macleod"," 31B","Turner Valley",14,26,142,9,0,0,191,334
48020,"Macleod/Macleod"," 32","Turner Valley",13,27,200,9,0,0,249,452
48020,"Macleod/Macleod"," 33","Black Diamond",11,31,84,7,0,1,134,206
48020,"Macleod/Macleod"," 34A","Black Diamond",3,27,162,5,3,0,200,377
48020,"Macleod/Macleod"," 34B","Black Diamond",5,12,146,6,1,2,172,357
48020,"Macleod/Macleod"," 35","Eden Valley 216",12,3,34,15,4,0,68,215
48020,"Macleod/Macleod"," 36","High River",9,15,202,7,2,0,235,528
48020,"Macleod/Macleod"," 37A","De Winton",5,20,183,13,1,0,222,473
48020,"Macleod/Macleod"," 37B","De Winton",12,13,231,7,4,0,267,502
48020,"Macleod/Macleod"," 37C","De Winton",8,9,215,12,0,0,244,483
48020,"Macleod/Macleod"," 37D","De Winton",6,22,224,18,1,2,273,490
48020,"Macleod/Macleod"," 38A","De Winton",10,15,166,8,2,0,201,441
48020,"Macleod/Macleod"," 38B","De Winton",15,23,163,11,0,0,212,384
48020,"Macleod/Macleod"," 39","Okotoks",9,33,234,15,1,0,292,547
48020,"Macleod/Macleod"," 40A","De Winton",1,14,157,13,1,0,186,299
48020,"Macleod/Macleod"," 40B","De Winton",4,11,154,7,0,0,176,316
48020,"Macleod/Macleod"," 41A","Okotoks",6,20,186,12,1,0,225,356
48020,"Macleod/Macleod"," 41B","Okotoks",5,12,166,12,2,1,198,320
48020,"Macleod/Macleod"," 42","Okotoks",Merged with No. 52/Fusionné avec le nº 52,,,,,,,16
