Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rodger Cuzner,Dwayne MacEachern,Mark MacNeill,Allan Richard Murphy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Cape Breton--Canso/Cape Breton--Canso"," 1","Chéticamp",96,7,30,29,2,164,247
12001,"Cape Breton--Canso/Cape Breton--Canso"," 2","Belle-Marche",44,9,28,30,7,118,191
12001,"Cape Breton--Canso/Cape Breton--Canso"," 3","Chéticamp",59,6,16,25,2,108,178
12001,"Cape Breton--Canso/Cape Breton--Canso"," 4","Chéticamp",113,14,45,51,2,225,323
12001,"Cape Breton--Canso/Cape Breton--Canso"," 5","Belle-Marche",135,28,38,60,3,264,359
12001,"Cape Breton--Canso/Cape Breton--Canso"," 6","Chéticamp",46,7,17,23,0,93,164
12001,"Cape Breton--Canso/Cape Breton--Canso"," 7","Plateau",116,22,29,58,5,230,349
12001,"Cape Breton--Canso/Cape Breton--Canso"," 8","Point Cross",111,23,29,39,2,204,334
12001,"Cape Breton--Canso/Cape Breton--Canso"," 9","St. Joseph du Moine",86,6,19,29,2,142,211
12001,"Cape Breton--Canso/Cape Breton--Canso"," 10","Belle Côte",52,16,21,41,2,132,175
12001,"Cape Breton--Canso/Cape Breton--Canso"," 11","Margaree Harbour",46,21,15,22,0,104,159
12001,"Cape Breton--Canso/Cape Breton--Canso"," 12","Margaree",53,26,22,48,1,150,201
12001,"Cape Breton--Canso/Cape Breton--Canso"," 13","Big Intervale",78,7,19,46,0,150,230
12001,"Cape Breton--Canso/Cape Breton--Canso"," 14","Margaree Forks",49,10,18,36,0,113,180
12001,"Cape Breton--Canso/Cape Breton--Canso"," 15","North East Margaree",126,27,21,118,3,295,418
12001,"Cape Breton--Canso/Cape Breton--Canso"," 16","Dunvegan",62,23,21,32,0,138,217
12001,"Cape Breton--Canso/Cape Breton--Canso"," 17","Scotsville",85,23,11,35,1,155,257
12001,"Cape Breton--Canso/Cape Breton--Canso"," 18","Inverness",84,13,27,59,0,183,292
12001,"Cape Breton--Canso/Cape Breton--Canso"," 19","Inverness",65,21,28,48,0,162,277
12001,"Cape Breton--Canso/Cape Breton--Canso"," 20","Inverness",52,15,24,42,1,134,223
12001,"Cape Breton--Canso/Cape Breton--Canso"," 21","Inverness",101,26,19,63,1,210,380
12001,"Cape Breton--Canso/Cape Breton--Canso"," 22","Strathlorne",103,19,21,57,0,200,374
12001,"Cape Breton--Canso/Cape Breton--Canso"," 23","Mabou",113,29,18,66,1,227,354
12001,"Cape Breton--Canso/Cape Breton--Canso"," 24","Glendyer",36,19,1,28,0,84,132
12001,"Cape Breton--Canso/Cape Breton--Canso"," 25","Brook Village",32,22,12,48,0,114,194
12001,"Cape Breton--Canso/Cape Breton--Canso"," 26","Stewartdale",61,27,14,67,0,169,297
12001,"Cape Breton--Canso/Cape Breton--Canso"," 27","Whycocomagh",86,26,28,72,0,212,349
12001,"Cape Breton--Canso/Cape Breton--Canso"," 28","Whycocomagh Reserve",61,9,18,5,0,93,369
12001,"Cape Breton--Canso/Cape Breton--Canso"," 29","Port Hood",92,50,17,78,0,237,347
12001,"Cape Breton--Canso/Cape Breton--Canso"," 30","Mabou",86,37,9,67,1,200,274
12001,"Cape Breton--Canso/Cape Breton--Canso"," 31","Port Hood",135,42,24,87,2,290,465
12001,"Cape Breton--Canso/Cape Breton--Canso"," 32","Glencoe Station",96,71,13,47,1,228,378
12001,"Cape Breton--Canso/Cape Breton--Canso"," 33","Judique",71,120,6,38,1,236,307
12001,"Cape Breton--Canso/Cape Breton--Canso"," 34","Orangedale",45,14,12,40,3,114,193
12001,"Cape Breton--Canso/Cape Breton--Canso"," 35","Blues Mills",73,2,13,55,0,143,255
12001,"Cape Breton--Canso/Cape Breton--Canso"," 36","Valley Mills",29,12,24,21,0,86,131
12001,"Cape Breton--Canso/Cape Breton--Canso"," 37","Glendale",41,8,9,35,0,93,141
12001,"Cape Breton--Canso/Cape Breton--Canso"," 38","West Bay Road",78,20,30,64,1,193,301
12001,"Cape Breton--Canso/Cape Breton--Canso"," 39","Creignish",93,80,28,69,1,271,393
12001,"Cape Breton--Canso/Cape Breton--Canso"," 40","Port Hastings",79,28,57,69,5,238,388
12001,"Cape Breton--Canso/Cape Breton--Canso"," 41","Port Hastings",103,17,56,79,4,259,428
12001,"Cape Breton--Canso/Cape Breton--Canso"," 42","Port Hawkesbury",124,21,36,90,4,275,467
12001,"Cape Breton--Canso/Cape Breton--Canso"," 43","Port Hawkesbury",66,16,72,65,1,220,368
12001,"Cape Breton--Canso/Cape Breton--Canso"," 44","Port Hawkesbury",59,11,33,35,1,139,240
12001,"Cape Breton--Canso/Cape Breton--Canso"," 45","Port Hawkesbury",130,14,55,59,1,259,404
12001,"Cape Breton--Canso/Cape Breton--Canso"," 46","Port Hawkesbury",73,17,43,58,2,193,359
12001,"Cape Breton--Canso/Cape Breton--Canso"," 47","Port Hawkesbury",61,17,46,45,1,170,345
12001,"Cape Breton--Canso/Cape Breton--Canso"," 48","Port Hawkesbury",77,10,74,44,4,209,525
12001,"Cape Breton--Canso/Cape Breton--Canso"," 49","Cleveland",47,8,35,30,0,120,216
12001,"Cape Breton--Canso/Cape Breton--Canso"," 50","Cleveland",117,36,73,87,3,316,483
12001,"Cape Breton--Canso/Cape Breton--Canso"," 51","St. Georges Channel",78,23,23,60,0,184,298
12001,"Cape Breton--Canso/Cape Breton--Canso"," 52","Sampsonville",107,37,52,124,2,322,462
12001,"Cape Breton--Canso/Cape Breton--Canso"," 53","River Bourgeois",99,19,41,67,0,226,352
12001,"Cape Breton--Canso/Cape Breton--Canso"," 54","Louisdale",120,12,30,55,2,219,307
12001,"Cape Breton--Canso/Cape Breton--Canso"," 55","River Bourgeois",71,20,28,74,2,195,294
12001,"Cape Breton--Canso/Cape Breton--Canso"," 56","St. Peter's",128,21,47,77,1,274,440
12001,"Cape Breton--Canso/Cape Breton--Canso"," 57","Louisdale",62,9,17,55,4,147,214
12001,"Cape Breton--Canso/Cape Breton--Canso"," 58","Louisdale",147,10,26,42,0,225,315
12001,"Cape Breton--Canso/Cape Breton--Canso"," 59","Janvrin Harbour",53,5,36,46,2,142,225
12001,"Cape Breton--Canso/Cape Breton--Canso"," 60","D'Escousse",105,13,38,42,0,198,324
12001,"Cape Breton--Canso/Cape Breton--Canso"," 61","D'Escousse",93,12,32,50,0,187,290
12001,"Cape Breton--Canso/Cape Breton--Canso"," 62","West Arichat",68,17,41,51,1,178,294
12001,"Cape Breton--Canso/Cape Breton--Canso"," 63","Arichat",130,16,45,64,2,257,429
12001,"Cape Breton--Canso/Cape Breton--Canso"," 64","Arichat",128,12,53,54,0,247,396
12001,"Cape Breton--Canso/Cape Breton--Canso"," 65","Petit-de-Grat",154,13,44,57,2,270,389
12001,"Cape Breton--Canso/Cape Breton--Canso"," 66","Petit-de-Grat",83,3,32,35,0,153,238
12001,"Cape Breton--Canso/Cape Breton--Canso"," 67","Sampsons Cove",78,8,19,59,0,164,241
12001,"Cape Breton--Canso/Cape Breton--Canso"," 68","Johnstown",51,3,23,28,0,105,149
12001,"Cape Breton--Canso/Cape Breton--Canso"," 69","Chapel Island 5",59,15,33,27,2,136,352
12001,"Cape Breton--Canso/Cape Breton--Canso"," 70","Rockdale",101,14,40,47,0,202,348
12001,"Cape Breton--Canso/Cape Breton--Canso"," 71","L'Ardoise",78,6,13,26,1,124,234
12001,"Cape Breton--Canso/Cape Breton--Canso"," 72","L'Ardoise",72,10,28,35,0,145,257
12001,"Cape Breton--Canso/Cape Breton--Canso"," 73","Grand River",33,5,21,37,1,97,153
12001,"Cape Breton--Canso/Cape Breton--Canso"," 74","Framboise",21,4,14,11,0,50,88
12001,"Cape Breton--Canso/Cape Breton--Canso"," 75","Mira Road",115,17,59,69,3,263,445
12001,"Cape Breton--Canso/Cape Breton--Canso"," 76","Mira Road",129,11,55,41,1,237,361
12001,"Cape Breton--Canso/Cape Breton--Canso"," 77","Dutch Brook",66,15,67,29,1,178,286
12001,"Cape Breton--Canso/Cape Breton--Canso"," 78A","Hillside",114,9,38,45,0,206,348
12001,"Cape Breton--Canso/Cape Breton--Canso"," 78B","Hillside",56,7,23,25,1,112,186
12001,"Cape Breton--Canso/Cape Breton--Canso"," 79","Sydney River",109,17,38,51,2,217,346
12001,"Cape Breton--Canso/Cape Breton--Canso"," 80","Sydney River",139,15,37,62,1,254,397
12001,"Cape Breton--Canso/Cape Breton--Canso"," 81","Sydney River",137,19,47,63,2,268,401
12001,"Cape Breton--Canso/Cape Breton--Canso"," 82","Sydney River",150,8,38,57,2,255,428
12001,"Cape Breton--Canso/Cape Breton--Canso"," 83","Sydney River",111,18,45,43,3,220,395
12001,"Cape Breton--Canso/Cape Breton--Canso"," 84","Sydney Forks",26,13,31,19,1,90,163
12001,"Cape Breton--Canso/Cape Breton--Canso"," 85","Sydney River",60,15,23,19,1,118,207
12001,"Cape Breton--Canso/Cape Breton--Canso"," 86","Howie Centre",88,9,88,35,2,222,459
12001,"Cape Breton--Canso/Cape Breton--Canso"," 87","Howie Centre",129,18,56,48,1,252,444
12001,"Cape Breton--Canso/Cape Breton--Canso"," 88","Sydney Forks",110,20,56,34,1,221,336
12001,"Cape Breton--Canso/Cape Breton--Canso"," 89","Sydney Forks",98,20,54,35,3,210,346
12001,"Cape Breton--Canso/Cape Breton--Canso"," 90","Sydney Forks",77,7,52,20,0,156,264
12001,"Cape Breton--Canso/Cape Breton--Canso"," 91","Marion Bridge",91,10,48,48,0,197,308
12001,"Cape Breton--Canso/Cape Breton--Canso"," 92","Sydney Forks",95,9,56,38,0,198,394
12001,"Cape Breton--Canso/Cape Breton--Canso"," 93","East Bay",82,19,55,34,0,190,308
12001,"Cape Breton--Canso/Cape Breton--Canso"," 94","Big Pond",133,13,46,44,1,237,370
12001,"Cape Breton--Canso/Cape Breton--Canso"," 95","Huntington",81,20,23,35,1,160,272
12001,"Cape Breton--Canso/Cape Breton--Canso"," 96","Catalone",127,19,59,83,2,290,495
12001,"Cape Breton--Canso/Cape Breton--Canso"," 97","Main-à-Dieu",59,7,37,39,1,143,320
12001,"Cape Breton--Canso/Cape Breton--Canso"," 98","Bateston",128,4,39,44,0,215,359
