Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patti Chmelyk,Andrew Kania,Kyle Seeback,Jagtar Shergill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Brampton West/Brampton-Ouest"," 1","Brampton",9,59,102,8,0,178,388
35008,"Brampton West/Brampton-Ouest"," 2","Brampton",7,63,94,19,0,183,376
35008,"Brampton West/Brampton-Ouest"," 3","Brampton",13,59,88,27,1,188,361
35008,"Brampton West/Brampton-Ouest"," 4","Brampton",11,80,93,27,2,213,443
35008,"Brampton West/Brampton-Ouest"," 5","Brampton",15,57,129,15,1,217,439
35008,"Brampton West/Brampton-Ouest"," 6A","Brampton",18,89,91,35,1,234,465
35008,"Brampton West/Brampton-Ouest"," 6B","Brampton",15,113,121,37,0,286,540
35008,"Brampton West/Brampton-Ouest"," 6C","Brampton",9,113,87,39,2,250,493
35008,"Brampton West/Brampton-Ouest"," 7","Brampton",Void/Supprimé,,,,,,
35008,"Brampton West/Brampton-Ouest"," 8","Brampton",Void/Supprimé,,,,,,
35008,"Brampton West/Brampton-Ouest"," 9","Brampton",10,39,65,16,0,130,309
35008,"Brampton West/Brampton-Ouest"," 10","Brampton",6,37,69,11,0,123,342
35008,"Brampton West/Brampton-Ouest"," 11","Brampton",8,41,87,13,0,149,369
35008,"Brampton West/Brampton-Ouest"," 12","Brampton",5,78,59,22,1,165,426
35008,"Brampton West/Brampton-Ouest"," 13","Brampton",2,60,37,24,0,123,352
35008,"Brampton West/Brampton-Ouest"," 14","Brampton",Void/Supprimé,,,,,,
35008,"Brampton West/Brampton-Ouest"," 15","Brampton",Void/Supprimé,,,,,,
35008,"Brampton West/Brampton-Ouest"," 16","Brampton",10,95,78,27,1,211,470
35008,"Brampton West/Brampton-Ouest"," 16-1","Brampton",12,63,74,33,1,183,394
35008,"Brampton West/Brampton-Ouest"," 17","Brampton",10,65,52,30,1,158,296
35008,"Brampton West/Brampton-Ouest"," 18","Brampton",Void/Supprimé,,,,,,
35008,"Brampton West/Brampton-Ouest"," 19","Brampton",9,55,101,38,1,204,462
35008,"Brampton West/Brampton-Ouest"," 20","Brampton",10,66,68,33,2,179,374
35008,"Brampton West/Brampton-Ouest"," 21","Brampton",10,81,51,44,0,186,379
35008,"Brampton West/Brampton-Ouest"," 21-1","Brampton",10,27,46,17,0,100,250
35008,"Brampton West/Brampton-Ouest"," 22","Brampton",7,48,55,30,0,140,358
35008,"Brampton West/Brampton-Ouest"," 23","Brampton",4,71,57,20,2,154,364
35008,"Brampton West/Brampton-Ouest"," 24","Brampton",15,24,65,6,1,111,231
35008,"Brampton West/Brampton-Ouest"," 25","Brampton",3,64,47,21,3,138,448
35008,"Brampton West/Brampton-Ouest"," 25-1","Brampton",9,62,36,16,3,126,337
35008,"Brampton West/Brampton-Ouest"," 26","Brampton",19,87,65,29,1,201,543
35008,"Brampton West/Brampton-Ouest"," 27","Brampton",6,52,42,16,1,117,313
35008,"Brampton West/Brampton-Ouest"," 28","Brampton",4,72,51,24,2,153,404
35008,"Brampton West/Brampton-Ouest"," 29","Brampton",8,78,37,24,1,148,386
35008,"Brampton West/Brampton-Ouest"," 30","Brampton",11,125,82,47,2,267,604
35008,"Brampton West/Brampton-Ouest"," 31","Brampton",9,121,63,40,4,237,589
35008,"Brampton West/Brampton-Ouest"," 32A","Brampton",13,64,54,25,0,156,349
35008,"Brampton West/Brampton-Ouest"," 32B","Brampton",8,57,49,22,1,137,336
