Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Trey Capnerhurst,Peter Goldring,Stephanie Laskoski,Ray Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Edmonton East/Edmonton-Est"," 1A","Edmonton",8,89,26,29,1,153,377
48013,"Edmonton East/Edmonton-Est"," 1B","Edmonton",3,70,14,28,1,116,368
48013,"Edmonton East/Edmonton-Est"," 1-1","Edmonton",2,14,7,15,0,38,115
48013,"Edmonton East/Edmonton-Est"," 2","Edmonton",6,67,14,20,1,108,350
48013,"Edmonton East/Edmonton-Est"," 2-1","Edmonton",14,125,37,49,1,226,581
48013,"Edmonton East/Edmonton-Est"," 3","Edmonton",4,89,35,27,2,157,391
48013,"Edmonton East/Edmonton-Est"," 3-1A","Edmonton",3,73,22,21,0,119,363
48013,"Edmonton East/Edmonton-Est"," 3-1B","Edmonton",5,92,21,30,0,148,386
48013,"Edmonton East/Edmonton-Est"," 3-1C","Edmonton",2,57,26,24,0,109,343
48013,"Edmonton East/Edmonton-Est"," 3-2","Edmonton",6,27,7,10,0,50,169
48013,"Edmonton East/Edmonton-Est"," 4","Edmonton",6,112,27,31,3,179,497
48013,"Edmonton East/Edmonton-Est"," 5","Edmonton",13,105,24,52,2,196,497
48013,"Edmonton East/Edmonton-Est"," 6","Edmonton",9,121,16,35,0,181,371
48013,"Edmonton East/Edmonton-Est"," 7","Edmonton",3,72,12,40,0,127,278
48013,"Edmonton East/Edmonton-Est"," 8","Edmonton",3,88,20,49,2,162,380
48013,"Edmonton East/Edmonton-Est"," 9","Edmonton",6,75,16,37,0,134,317
48013,"Edmonton East/Edmonton-Est"," 10","Edmonton",6,97,19,43,0,165,361
48013,"Edmonton East/Edmonton-Est"," 11","Edmonton",12,108,17,55,0,192,366
48013,"Edmonton East/Edmonton-Est"," 12","Edmonton",6,23,12,27,0,68,377
48013,"Edmonton East/Edmonton-Est"," 13","Edmonton",9,37,19,32,0,97,261
48013,"Edmonton East/Edmonton-Est"," 14","Edmonton",5,107,21,50,0,183,354
48013,"Edmonton East/Edmonton-Est"," 15","Edmonton",7,95,35,25,1,163,389
48013,"Edmonton East/Edmonton-Est"," 16","Edmonton",6,122,34,35,0,197,394
48013,"Edmonton East/Edmonton-Est"," 17","Edmonton",4,34,15,27,0,80,335
48013,"Edmonton East/Edmonton-Est"," 18","Edmonton",4,40,17,26,0,87,235
48013,"Edmonton East/Edmonton-Est"," 19","Edmonton",10,100,32,29,0,171,360
48013,"Edmonton East/Edmonton-Est"," 20","Edmonton",10,48,12,27,0,97,227
48013,"Edmonton East/Edmonton-Est"," 21","Edmonton",8,109,16,30,0,163,392
48013,"Edmonton East/Edmonton-Est"," 22","Edmonton",10,79,20,42,0,151,327
48013,"Edmonton East/Edmonton-Est"," 23A","Edmonton",6,66,29,22,0,123,363
48013,"Edmonton East/Edmonton-Est"," 23B","Edmonton",4,87,24,36,0,151,408
48013,"Edmonton East/Edmonton-Est"," 23-1","Edmonton",7,77,29,33,0,146,456
48013,"Edmonton East/Edmonton-Est"," 24","Edmonton",4,99,22,31,0,156,442
48013,"Edmonton East/Edmonton-Est"," 25","Edmonton",0,93,42,33,0,168,536
48013,"Edmonton East/Edmonton-Est"," 26","Edmonton",4,61,24,29,1,119,329
48013,"Edmonton East/Edmonton-Est"," 26-1","Edmonton",2,88,37,36,0,163,429
48013,"Edmonton East/Edmonton-Est"," 27","Edmonton",5,85,18,25,1,134,299
48013,"Edmonton East/Edmonton-Est"," 27-1","Edmonton",10,101,12,34,0,157,397
48013,"Edmonton East/Edmonton-Est"," 28A","Edmonton",9,96,11,14,0,130,301
48013,"Edmonton East/Edmonton-Est"," 28B","Edmonton",4,60,27,15,0,106,295
48013,"Edmonton East/Edmonton-Est"," 28-1","Edmonton",5,95,21,28,0,149,359
48013,"Edmonton East/Edmonton-Est"," 29","Edmonton",3,81,26,38,0,148,332
48013,"Edmonton East/Edmonton-Est"," 30","Edmonton",9,110,29,42,0,190,493
48013,"Edmonton East/Edmonton-Est"," 31","Edmonton",9,45,27,30,0,111,278
48013,"Edmonton East/Edmonton-Est"," 31-1","Edmonton",4,72,21,16,1,114,360
48013,"Edmonton East/Edmonton-Est"," 32","Edmonton",7,126,29,64,0,226,444
48013,"Edmonton East/Edmonton-Est"," 33","Edmonton",9,125,43,63,2,242,550
48013,"Edmonton East/Edmonton-Est"," 34","Edmonton",10,86,10,56,0,162,270
48013,"Edmonton East/Edmonton-Est"," 35","Edmonton",9,92,20,48,0,169,276
48013,"Edmonton East/Edmonton-Est"," 36","Edmonton",5,109,20,39,0,173,338
48013,"Edmonton East/Edmonton-Est"," 37","Edmonton",7,79,19,36,0,141,279
48013,"Edmonton East/Edmonton-Est"," 38","Edmonton",9,122,22,58,0,211,396
