Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Keith Ashfield,Mary Lou Babineau,David Innes,Ben Kelly,Jesse Travis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 62","Fredericton",53,28,121,0,15,1,218,336
13003,"Fredericton/Fredericton"," 63","Fredericton",23,29,74,0,40,1,167,357
13003,"Fredericton/Fredericton"," 64","Fredericton",55,34,135,0,56,1,281,522
13003,"Fredericton/Fredericton"," 65","Fredericton",58,42,111,4,39,3,257,502
13003,"Fredericton/Fredericton"," 66","Fredericton",60,44,103,1,60,2,270,482
13003,"Fredericton/Fredericton"," 67","Fredericton",55,25,96,0,13,3,192,345
13003,"Fredericton/Fredericton"," 68","Fredericton",40,24,67,1,38,2,172,297
13003,"Fredericton/Fredericton"," 69","Fredericton",60,27,86,0,25,0,198,337
13003,"Fredericton/Fredericton"," 70","Fredericton",44,24,61,0,29,1,159,265
13003,"Fredericton/Fredericton"," 71","Fredericton",24,7,36,1,26,0,94,220
13003,"Fredericton/Fredericton"," 71-1","Fredericton",54,27,72,1,37,0,191,415
13003,"Fredericton/Fredericton"," 72A","Fredericton",42,23,63,0,41,0,169,296
13003,"Fredericton/Fredericton"," 72B","Fredericton",42,26,68,0,40,1,177,303
13003,"Fredericton/Fredericton"," 73","Fredericton",52,67,99,2,101,0,321,469
13003,"Fredericton/Fredericton"," 74","Fredericton",55,28,78,0,28,0,189,484
13003,"Fredericton/Fredericton"," 75","Fredericton",41,14,69,0,25,0,149,285
13003,"Fredericton/Fredericton"," 76","Fredericton",55,17,96,0,10,1,179,281
13003,"Fredericton/Fredericton"," 77","Fredericton",72,25,116,2,28,3,246,417
13003,"Fredericton/Fredericton"," 78","Fredericton",72,14,60,1,21,1,169,331
13003,"Fredericton/Fredericton"," 79","Fredericton",34,3,32,0,39,2,110,316
13003,"Fredericton/Fredericton"," 80","Fredericton",15,11,22,0,12,3,63,222
13003,"Fredericton/Fredericton"," 81","Fredericton",34,14,60,1,30,1,140,317
13003,"Fredericton/Fredericton"," 82","Fredericton",53,22,67,0,45,0,187,401
13003,"Fredericton/Fredericton"," 83","Fredericton",114,26,151,0,22,1,314,499
13003,"Fredericton/Fredericton"," 84","Fredericton",59,21,65,1,38,0,184,336
13003,"Fredericton/Fredericton"," 85","Fredericton",58,15,67,0,17,1,158,285
13003,"Fredericton/Fredericton"," 86","Fredericton",66,24,85,4,28,0,207,352
13003,"Fredericton/Fredericton"," 87","Fredericton",40,20,51,0,36,1,148,379
13003,"Fredericton/Fredericton"," 88","Fredericton",28,11,33,0,21,2,95,268
13003,"Fredericton/Fredericton"," 89","Fredericton",40,25,64,1,49,1,180,379
13003,"Fredericton/Fredericton"," 90","Fredericton",78,33,116,1,27,1,256,469
13003,"Fredericton/Fredericton"," 91","Fredericton",82,31,121,3,22,0,259,426
13003,"Fredericton/Fredericton"," 92","Fredericton",62,29,105,1,30,2,229,425
13003,"Fredericton/Fredericton"," 93","Fredericton",57,16,74,1,26,2,176,300
13003,"Fredericton/Fredericton"," 94","Fredericton",60,28,61,3,45,0,197,369
13003,"Fredericton/Fredericton"," 95","Fredericton",97,36,146,0,49,2,330,557
13003,"Fredericton/Fredericton"," 96","Fredericton",131,48,120,0,57,1,357,625
13003,"Fredericton/Fredericton"," 97","Fredericton",109,22,85,2,55,1,274,503
13003,"Fredericton/Fredericton"," 98","Fredericton",43,17,24,0,27,0,111,300
13003,"Fredericton/Fredericton"," 99","Fredericton",82,30,76,0,49,2,239,534
13003,"Fredericton/Fredericton"," 100","Fredericton",124,17,115,0,33,0,289,484
13003,"Fredericton/Fredericton"," 101","New Maryland",106,18,92,1,22,0,239,425
13003,"Fredericton/Fredericton"," 101-1","New Maryland",82,11,85,0,11,1,190,306
13003,"Fredericton/Fredericton"," 102","New Maryland",107,25,100,1,24,1,258,413
13003,"Fredericton/Fredericton"," 103","New Maryland",136,20,108,1,35,1,301,450
13003,"Fredericton/Fredericton"," 104","New Maryland",85,19,47,0,31,0,182,318
13003,"Fredericton/Fredericton"," 105","New Maryland",127,15,124,0,28,1,295,456
13003,"Fredericton/Fredericton"," 106","New Maryland",93,16,74,0,19,0,202,337
13003,"Fredericton/Fredericton"," 107","New Maryland",84,24,64,1,47,0,220,390
13003,"Fredericton/Fredericton"," 108A","Maugerville",119,25,47,1,45,1,238,382
13003,"Fredericton/Fredericton"," 108B","Maugerville",96,17,29,3,61,1,207,335
13003,"Fredericton/Fredericton"," 108-1","Maugerville",147,28,76,2,48,2,303,511
13003,"Fredericton/Fredericton"," 108-2","St. Marys",63,11,23,2,39,3,141,298
13003,"Fredericton/Fredericton"," 108-3","St. Marys",92,28,47,1,41,1,210,334
13003,"Fredericton/Fredericton"," 109","Northfield",45,13,26,0,34,0,118,280
13003,"Fredericton/Fredericton"," 110","Chipman",52,10,23,0,19,4,108,237
13003,"Fredericton/Fredericton"," 111","Chipman",63,19,33,1,29,2,147,312
13003,"Fredericton/Fredericton"," 112","Chipman",63,19,44,2,33,3,164,355
13003,"Fredericton/Fredericton"," 113","Chipman",57,15,28,2,25,1,128,275
13003,"Fredericton/Fredericton"," 114","Chipman",37,7,22,1,25,0,92,211
13003,"Fredericton/Fredericton"," 115","Chipman",43,8,17,0,18,0,86,218
13003,"Fredericton/Fredericton"," 116","Chipman",50,14,23,0,31,2,120,277
13003,"Fredericton/Fredericton"," 117","Minto",55,31,31,0,19,4,140,298
13003,"Fredericton/Fredericton"," 118","Minto",67,21,16,2,15,2,123,269
13003,"Fredericton/Fredericton"," 119","Minto",31,19,33,0,17,1,101,253
13003,"Fredericton/Fredericton"," 120","Minto",50,29,39,1,19,2,140,374
