Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Brison,Carol E. Harris,Jim Hnatiuk,Brendan MacNeill,Rosemary Segado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Kings--Hants/Kings--Hants"," 1","Scots Bay",48,26,1,11,24,0,110,142
12006,"Kings--Hants/Kings--Hants"," 2","Pereaux",76,42,3,20,42,0,183,354
12006,"Kings--Hants/Kings--Hants"," 3","Canning",59,27,3,13,27,1,130,253
12006,"Kings--Hants/Kings--Hants"," 3-1","Canning",54,40,4,15,36,0,149,266
12006,"Kings--Hants/Kings--Hants"," 4","Sheffield Mills",41,42,3,6,36,0,128,233
12006,"Kings--Hants/Kings--Hants"," 5","Canard",101,29,4,26,80,2,242,408
12006,"Kings--Hants/Kings--Hants"," 6","Canning",79,51,3,9,56,1,199,339
12006,"Kings--Hants/Kings--Hants"," 7","Canning",46,36,2,4,40,1,129,268
12006,"Kings--Hants/Kings--Hants"," 8","Kingsport",95,39,2,16,26,1,179,339
12006,"Kings--Hants/Kings--Hants"," 9","Port Williams",102,24,1,22,69,3,221,356
12006,"Kings--Hants/Kings--Hants"," 10","Port Williams",111,43,0,18,48,0,220,344
12006,"Kings--Hants/Kings--Hants"," 10-1","Port Williams",105,22,2,7,45,1,182,262
12006,"Kings--Hants/Kings--Hants"," 11","Port Williams",91,46,1,8,56,1,203,367
12006,"Kings--Hants/Kings--Hants"," 12","Kentville",92,23,3,2,68,0,188,286
12006,"Kings--Hants/Kings--Hants"," 13","Kentville",77,54,0,10,49,2,192,433
12006,"Kings--Hants/Kings--Hants"," 14","Kentville",54,62,3,8,48,2,177,413
12006,"Kings--Hants/Kings--Hants"," 15","Kentville",44,42,1,3,40,1,131,247
12006,"Kings--Hants/Kings--Hants"," 15-1","Kentville",28,23,4,4,30,0,89,206
12006,"Kings--Hants/Kings--Hants"," 16","Aldershot",38,32,1,10,24,1,106,218
12006,"Kings--Hants/Kings--Hants"," 17","Kentville",58,57,1,12,62,1,191,363
12006,"Kings--Hants/Kings--Hants"," 18","Kentville",31,55,2,5,35,0,128,266
12006,"Kings--Hants/Kings--Hants"," 19","Aldershot",88,61,3,10,82,3,247,391
12006,"Kings--Hants/Kings--Hants"," 20","Centreville",55,50,3,12,78,0,198,405
12006,"Kings--Hants/Kings--Hants"," 21","Centreville",65,39,0,16,67,0,187,377
12006,"Kings--Hants/Kings--Hants"," 22","Centreville",47,25,0,5,41,2,120,294
12006,"Kings--Hants/Kings--Hants"," 22-1","Centreville",24,20,2,6,48,0,100,199
12006,"Kings--Hants/Kings--Hants"," 23","Centreville",72,33,5,15,50,3,178,306
12006,"Kings--Hants/Kings--Hants"," 24","Glenmont",60,63,0,18,26,1,168,365
12006,"Kings--Hants/Kings--Hants"," 25","Halls Harbour",76,42,0,13,46,2,179,306
12006,"Kings--Hants/Kings--Hants"," 26","Canada Creek",20,22,0,10,24,0,76,133
12006,"Kings--Hants/Kings--Hants"," 27","Lakeville",103,39,2,23,82,3,252,420
12006,"Kings--Hants/Kings--Hants"," 28","Kinsmans Corner",63,48,0,12,58,2,183,371
12006,"Kings--Hants/Kings--Hants"," 28-1","Kinsmans Corner",38,12,1,9,34,1,95,178
12006,"Kings--Hants/Kings--Hants"," 29","Cambridge",70,71,3,10,88,0,242,387
12006,"Kings--Hants/Kings--Hants"," 30","Cambridge",31,26,0,9,33,0,99,207
12006,"Kings--Hants/Kings--Hants"," 30-1","Cambridge",75,31,6,14,40,0,166,267
12006,"Kings--Hants/Kings--Hants"," 31","Lakeville",78,63,1,13,74,1,230,388
12006,"Kings--Hants/Kings--Hants"," 32","Coldbrook",87,37,3,9,59,1,196,369
12006,"Kings--Hants/Kings--Hants"," 33","Coldbrook",70,22,1,6,28,0,127,214
12006,"Kings--Hants/Kings--Hants"," 34","Coldbrook",141,56,2,20,64,1,284,446
12006,"Kings--Hants/Kings--Hants"," 35","Coldbrook",57,30,1,10,43,1,142,285
12006,"Kings--Hants/Kings--Hants"," 36","Coldbrook",132,43,1,22,74,1,273,422
12006,"Kings--Hants/Kings--Hants"," 37","Coldbrook",87,33,2,7,60,0,189,312
12006,"Kings--Hants/Kings--Hants"," 38","Kentville",114,52,1,21,81,1,270,474
12006,"Kings--Hants/Kings--Hants"," 39","Kentville",137,38,5,14,77,1,272,461
12006,"Kings--Hants/Kings--Hants"," 40","Kentville",134,43,0,27,82,2,288,440
12006,"Kings--Hants/Kings--Hants"," 41","Kentville",94,29,0,16,47,1,187,407
12006,"Kings--Hants/Kings--Hants"," 42","Kentville",103,58,2,9,69,3,244,471
12006,"Kings--Hants/Kings--Hants"," 43","Kentville",56,36,4,15,35,2,148,365
12006,"Kings--Hants/Kings--Hants"," 44","Kentville",60,27,2,9,26,0,124,305
12006,"Kings--Hants/Kings--Hants"," 45","Kentville",78,37,1,10,58,1,185,538
12006,"Kings--Hants/Kings--Hants"," 46","Kentville",106,31,4,6,41,0,188,319
12006,"Kings--Hants/Kings--Hants"," 47","Kentville",69,25,2,19,38,0,153,402
12006,"Kings--Hants/Kings--Hants"," 48","Kentville",129,36,2,27,52,0,246,466
12006,"Kings--Hants/Kings--Hants"," 49","New Minas",53,26,4,13,56,0,152,375
12006,"Kings--Hants/Kings--Hants"," 50","New Minas",33,32,2,3,34,0,104,227
12006,"Kings--Hants/Kings--Hants"," 51","New Minas",40,16,0,4,33,0,93,198
12006,"Kings--Hants/Kings--Hants"," 52","New Minas",90,43,2,7,68,0,210,495
12006,"Kings--Hants/Kings--Hants"," 53","New Minas",57,36,2,8,48,0,151,378
12006,"Kings--Hants/Kings--Hants"," 54","New Minas",90,27,0,7,61,1,186,332
12006,"Kings--Hants/Kings--Hants"," 55","New Minas",49,27,1,10,45,0,132,302
12006,"Kings--Hants/Kings--Hants"," 56","New Minas",35,33,0,6,35,0,109,298
12006,"Kings--Hants/Kings--Hants"," 57","New Minas",72,44,0,8,51,0,175,432
12006,"Kings--Hants/Kings--Hants"," 58","New Minas",46,19,2,8,34,0,109,280
12006,"Kings--Hants/Kings--Hants"," 58-1","New Minas",44,33,0,4,33,1,115,237
12006,"Kings--Hants/Kings--Hants"," 59","White Rock",77,46,1,18,72,0,214,345
12006,"Kings--Hants/Kings--Hants"," 60","North Alton",65,54,4,16,63,0,202,362
12006,"Kings--Hants/Kings--Hants"," 61","North Alton",53,19,1,10,42,1,126,197
12006,"Kings--Hants/Kings--Hants"," 61-1","North Alton",77,31,5,11,86,5,215,352
12006,"Kings--Hants/Kings--Hants"," 62","North Alton",65,57,3,11,78,0,214,417
12006,"Kings--Hants/Kings--Hants"," 63","South Alton",67,57,2,4,67,1,198,336
12006,"Kings--Hants/Kings--Hants"," 64","Hortonville",123,34,3,13,33,1,207,338
12006,"Kings--Hants/Kings--Hants"," 65","Avonport",81,61,2,18,44,0,206,360
12006,"Kings--Hants/Kings--Hants"," 66","Avonport",63,50,2,9,67,0,191,360
12006,"Kings--Hants/Kings--Hants"," 67","Gaspereau",72,43,4,21,57,0,197,343
12006,"Kings--Hants/Kings--Hants"," 68","White Rock",112,53,5,24,62,3,259,408
12006,"Kings--Hants/Kings--Hants"," 69","Grand Pré",80,44,2,17,45,1,189,324
12006,"Kings--Hants/Kings--Hants"," 70","Gaspereau",79,33,3,14,42,2,173,318
12006,"Kings--Hants/Kings--Hants"," 71","Greenwich",113,50,2,15,59,1,240,365
12006,"Kings--Hants/Kings--Hants"," 72","White Rock",68,80,6,35,70,3,262,473
12006,"Kings--Hants/Kings--Hants"," 73","Wolfville",112,37,4,24,41,0,218,347
12006,"Kings--Hants/Kings--Hants"," 74","Wolfville",137,28,3,35,35,0,238,364
12006,"Kings--Hants/Kings--Hants"," 75","Wolfville",120,49,1,16,39,1,226,383
12006,"Kings--Hants/Kings--Hants"," 76","Wolfville",88,43,1,17,37,1,187,435
12006,"Kings--Hants/Kings--Hants"," 77","Wolfville",41,23,0,18,20,0,102,132
12006,"Kings--Hants/Kings--Hants"," 78","Wolfville",Void/Supprimé,,,,,,,
12006,"Kings--Hants/Kings--Hants"," 79","Wolfville",93,37,0,21,45,2,198,224
12006,"Kings--Hants/Kings--Hants"," 80","Wolfville",30,16,0,14,16,1,77,79
12006,"Kings--Hants/Kings--Hants"," 81","Wolfville",67,29,0,17,13,1,127,330
12006,"Kings--Hants/Kings--Hants"," 82","Wolfville",108,35,0,43,31,0,217,455
12006,"Kings--Hants/Kings--Hants"," 83","Wolfville",89,26,0,9,30,2,156,287
12006,"Kings--Hants/Kings--Hants"," 84","Wolfville",87,57,0,19,27,1,191,429
12006,"Kings--Hants/Kings--Hants"," 85","Wolfville",177,70,0,30,46,1,324,523
12006,"Kings--Hants/Kings--Hants"," 86","Hants Border",99,49,1,13,62,0,224,400
12006,"Kings--Hants/Kings--Hants"," 87","Hants Border",130,66,7,6,63,1,273,538
12006,"Kings--Hants/Kings--Hants"," 88","Hantsport",105,38,0,8,28,0,179,319
12006,"Kings--Hants/Kings--Hants"," 89","Hantsport",106,45,3,22,51,0,227,389
12006,"Kings--Hants/Kings--Hants"," 90","Hantsport",77,37,1,12,29,0,156,282
12006,"Kings--Hants/Kings--Hants"," 91","Mount Denson",70,29,1,4,18,0,122,220
12006,"Kings--Hants/Kings--Hants"," 92","Falmouth",106,30,1,10,36,0,183,345
12006,"Kings--Hants/Kings--Hants"," 93","Falmouth",24,10,0,4,12,0,50,103
12006,"Kings--Hants/Kings--Hants"," 93-1","Falmouth",180,40,0,11,72,3,306,496
12006,"Kings--Hants/Kings--Hants"," 94","Falmouth",135,33,1,16,51,1,237,377
12006,"Kings--Hants/Kings--Hants"," 95","Falmouth",139,44,1,14,60,0,258,438
12006,"Kings--Hants/Kings--Hants"," 96","Upper Falmouth",113,53,1,20,56,0,243,396
12006,"Kings--Hants/Kings--Hants"," 97","Upper Vaughan",123,34,1,10,89,0,257,501
12006,"Kings--Hants/Kings--Hants"," 98","Windsor Forks",40,12,2,8,17,1,80,177
12006,"Kings--Hants/Kings--Hants"," 98-1","Windsor Forks",87,27,1,8,38,0,161,312
12006,"Kings--Hants/Kings--Hants"," 99","Three Mile Plains",58,25,1,3,38,0,125,235
12006,"Kings--Hants/Kings--Hants"," 100","Three Mile Plains",90,16,0,6,27,1,140,273
12006,"Kings--Hants/Kings--Hants"," 101","Three Mile Plains",89,26,3,6,30,3,157,249
12006,"Kings--Hants/Kings--Hants"," 102","Three Mile Plains",71,32,3,5,53,2,166,431
12006,"Kings--Hants/Kings--Hants"," 103","Three Mile Plains",101,47,1,12,51,2,214,377
12006,"Kings--Hants/Kings--Hants"," 104","Sweets Corners",74,18,3,3,28,2,128,197
12006,"Kings--Hants/Kings--Hants"," 105","Newport Station",51,14,0,6,34,0,105,223
12006,"Kings--Hants/Kings--Hants"," 106","St. Croix",93,39,0,12,39,1,184,316
12006,"Kings--Hants/Kings--Hants"," 107","St. Croix",102,31,0,7,53,0,193,305
12006,"Kings--Hants/Kings--Hants"," 108","Windsor",81,34,2,12,27,1,157,422
12006,"Kings--Hants/Kings--Hants"," 109","Windsor",72,23,2,10,24,1,132,311
12006,"Kings--Hants/Kings--Hants"," 110","Windsor",85,20,2,11,36,0,154,319
12006,"Kings--Hants/Kings--Hants"," 111","Windsor",109,27,1,6,43,3,189,293
12006,"Kings--Hants/Kings--Hants"," 112","Windsor",124,25,3,12,47,0,211,375
12006,"Kings--Hants/Kings--Hants"," 113","Windsor",79,19,0,10,13,0,121,272
12006,"Kings--Hants/Kings--Hants"," 114","Windsor",95,25,1,8,41,2,172,309
12006,"Kings--Hants/Kings--Hants"," 114-1","Windsor",34,21,0,7,20,0,82,178
12006,"Kings--Hants/Kings--Hants"," 115","Windsor",118,34,4,14,38,1,209,429
12006,"Kings--Hants/Kings--Hants"," 116","Summerville",101,15,3,10,40,0,169,280
12006,"Kings--Hants/Kings--Hants"," 117","Bramber",85,27,0,4,22,1,139,294
12006,"Kings--Hants/Kings--Hants"," 118","Pembroke",59,14,5,1,21,0,100,214
12006,"Kings--Hants/Kings--Hants"," 119","Summerville",85,30,3,11,32,0,161,283
12006,"Kings--Hants/Kings--Hants"," 120","Centre Burlington",125,48,3,16,31,0,223,410
12006,"Kings--Hants/Kings--Hants"," 121","Scotch Village",97,38,3,11,55,0,204,396
12006,"Kings--Hants/Kings--Hants"," 122","Avondale",109,31,0,23,60,3,226,367
12006,"Kings--Hants/Kings--Hants"," 123","Mantua",107,48,1,13,37,2,208,309
12006,"Kings--Hants/Kings--Hants"," 124","Brooklyn",158,36,3,12,57,0,266,434
12006,"Kings--Hants/Kings--Hants"," 125","Newport Corner",81,35,2,8,35,1,162,315
12006,"Kings--Hants/Kings--Hants"," 126","Ardoise",126,29,3,11,61,2,232,386
12006,"Kings--Hants/Kings--Hants"," 127","Ardoise",109,37,2,8,72,0,228,364
12006,"Kings--Hants/Kings--Hants"," 128","Ellershouse",51,19,1,7,34,0,112,178
12006,"Kings--Hants/Kings--Hants"," 129","Ellershouse",78,58,3,14,52,1,206,339
12006,"Kings--Hants/Kings--Hants"," 130","South Rawdon",68,41,0,12,42,0,163,364
12006,"Kings--Hants/Kings--Hants"," 131","Mount Uniacke",93,44,0,12,61,5,215,369
