Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Ronald Bennett,Gerry Byrne,Mark Kennedy,Lorne Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 94","King's Point",1,7,5,3,0,16,90
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 95","Jackson's Cove--Harry's Harbour",3,30,27,6,1,67,155
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 96","Little Bay",5,59,13,32,0,109,326
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 97","King's Point",2,96,22,22,0,142,542
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 98","Springdale",5,127,29,48,0,209,512
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 99","Springdale",7,79,30,26,0,142,433
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 100","Springdale",8,90,16,29,0,143,447
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 101","Springdale",5,98,20,24,1,148,391
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 102","Springdale",2,85,17,19,0,123,346
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 103","Springdale",2,71,15,36,0,124,436
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 104","Sheppardville",1,23,6,6,0,36,62
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 105","South Brook",7,98,34,49,1,189,433
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 106","Little Bay Islands",1,24,11,10,0,46,116
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 107","Beaumont",3,49,16,11,0,79,211
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 108","Port Anson",0,46,19,27,0,92,246
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 109","Robert's Arm",1,20,3,9,0,33,135
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 110","Pilley's Island",11,51,17,9,0,88,262
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 111","Brighton",4,52,17,15,0,88,163
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 112","Triton",1,47,15,23,0,86,325
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 113","Triton",5,93,24,43,3,168,524
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 114","Robert's Arm",2,85,43,36,0,166,558
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 115","Cox's Cove",3,94,8,19,1,125,309
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 116","Humber Village--Little Rapids",7,101,40,6,1,155,239
