Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Ronald Bennett,Gerry Byrne,Mark Kennedy,Lorne Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 33","Port Saunders",7,139,17,15,1,179,502
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 34","Port au Choix",6,42,9,5,0,62,176
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 35","Port au Choix",7,109,17,5,1,139,415
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 36","Port au Choix",3,34,5,3,0,45,150
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 37","Port Saunders",2,37,11,0,1,51,107
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 38","Hawke's Bay",1,105,8,12,0,126,299
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 39","River of Ponds",2,80,12,5,0,99,211
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 40","Bellburns",1,22,4,3,0,30,66
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 40-1","Daniel's Harbour",3,96,11,5,1,116,246
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 41","Portland Creek",4,28,4,2,0,38,73
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 41-1","Parson's Pond",10,125,13,11,1,160,412
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 42","Jackson's Arm",3,102,22,13,0,140,290
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 43","Cow Head",0,52,7,2,1,62,130
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 44","Cow Head",5,89,22,10,1,127,270
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 45","St. Paul's",4,65,10,10,2,91,238
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 46","Rocky Harbour",3,91,14,31,1,140,296
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 46-1","Sally's Cove",1,13,0,0,0,14,22
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 47","Hampden",1,49,10,12,1,73,155
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 48","Sop's Arm",2,51,19,8,2,82,178
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 49","Pollards Point",3,82,22,10,2,119,243
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 50","Hampden",1,55,15,8,1,80,321
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 51","Trout River",4,83,11,13,0,111,287
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 52","Rocky Harbour",10,147,22,16,0,195,502
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 53","Woody Point",7,92,15,17,4,135,293
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 54","Norris Point",6,153,31,14,0,204,468
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 55","Norris Point",2,34,7,3,0,46,126
