Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Stéphane Asselin,Richard Côté,Jean Paradis,André Turgeon,Nathan John Weatherdon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 1","Stoneham-et-Tewkesbury",63,24,81,2,25,16,2,213,416
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 2","Stoneham-et-Tewkesbury",74,7,66,3,21,11,7,189,410
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 3A","Stoneham-et-Tewkesbury",58,26,44,4,27,7,3,169,388
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 3B","Stoneham-et-Tewkesbury",71,28,44,2,27,7,6,185,392
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 4","Stoneham-et-Tewkesbury",86,26,82,4,39,10,4,251,484
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 5","Stoneham-et-Tewkesbury",106,34,87,3,37,4,3,274,531
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 6","Stoneham-et-Tewkesbury",118,40,107,5,60,14,4,348,647
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 7","Stoneham-et-Tewkesbury",40,32,47,6,22,5,8,160,302
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 8","Stoneham-et-Tewkesbury",75,58,131,5,34,13,11,327,597
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 9","Stoneham-et-Tewkesbury",56,13,43,5,33,7,3,160,369
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 10","Lac-Delage",68,33,97,0,43,7,4,252,407
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 11","Stoneham-et-Tewkesbury",96,34,82,1,38,5,1,257,557
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 12","Saint-Gabriel-de-Valcartier",86,50,73,4,30,11,8,262,489
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 13","Saint-Gabriel-de-Valcartier",154,51,41,6,42,15,16,325,599
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 14","Saint-Gabriel-de-Valcartier",83,43,45,3,32,15,3,224,418
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 15","Sainte-Brigitte-de-Laval",90,30,102,3,34,12,6,277,555
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 16","Sainte-Brigitte-de-Laval",113,34,66,3,40,14,9,279,577
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 17","Sainte-Brigitte-de-Laval",126,32,79,10,23,4,7,281,577
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 18","Sainte-Brigitte-de-Laval",87,40,62,0,22,10,7,228,440
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 19","Sainte-Brigitte-de-Laval",77,15,65,2,43,11,5,218,497
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 20","Sainte-Brigitte-de-Laval",102,21,84,1,31,5,6,250,475
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 21","Lac-Beauport",75,35,80,3,36,8,7,244,499
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 22","Lac-Beauport",79,37,90,4,35,7,4,256,493
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 23","Lac-Beauport",86,85,112,3,45,18,8,357,667
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 24","Lac-Beauport",54,41,84,4,41,21,5,250,446
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 25","Lac-Beauport",74,45,65,4,40,12,5,245,411
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 26","Lac-Beauport",63,67,89,7,41,14,5,286,542
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 27","Lac-Beauport",52,48,94,3,43,10,5,255,450
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 28","Lac-Beauport",117,67,78,1,47,17,7,334,611
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 29","Lac-Beauport",75,56,97,4,51,5,0,288,495
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 30","Lac-Beauport",110,57,71,7,51,12,13,321,534
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 31","Rivière-à-Pierre",44,14,56,1,8,5,0,128,266
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 32","Saint-Raymond",99,39,33,12,22,9,8,222,540
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 33","Saint-Raymond",73,22,35,12,19,6,3,170,388
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 34","Saint-Raymond",66,42,62,6,37,10,3,226,449
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 35","Saint-Raymond",70,19,52,9,25,1,5,181,363
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 36","Lac-Sergent",63,36,63,4,21,3,5,195,299
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 36-1","Saint-Raymond",65,12,45,5,10,1,4,142,303
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 37","Saint-Raymond",77,20,34,14,28,7,11,191,519
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 38","Saint-Raymond",62,33,49,10,17,0,3,174,370
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 39","Saint-Raymond",61,36,71,8,29,2,0,207,449
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 40","Saint-Raymond",83,23,48,14,21,3,8,200,396
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 41","Saint-Raymond",53,30,35,8,15,2,7,150,355
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 42","Saint-Raymond",70,21,39,6,8,3,2,149,266
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 43","Saint-Raymond",64,35,44,20,11,4,3,181,389
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 44","Saint-Raymond",74,37,63,18,22,3,2,219,396
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 45","Saint-Raymond",85,26,61,14,20,1,6,213,455
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 46","Saint-Raymond",72,21,68,10,19,2,8,200,377
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 47","Saint-Raymond",88,30,86,11,24,2,11,252,491
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 48","Saint-Raymond",73,23,42,9,24,2,8,181,348
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 49","Saint-Raymond",99,27,73,6,30,6,6,247,577
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 50","Saint-Léonard-de-Portneuf",54,22,78,3,15,4,8,184,365
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 51","Saint-Léonard-de-Portneuf",70,25,82,12,16,8,7,220,443
