Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ed Ackerman,Joe Chan,Kenny Daodu,Dan Hurley,Jessie Klassen,Pat Martin,Lyle Morrisseau,Darrell Rankin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46011,"Winnipeg Centre/Winnipeg-Centre"," 1","Winnipeg",2,0,39,5,3,64,0,1,0,114,302
46011,"Winnipeg Centre/Winnipeg-Centre"," 2","Winnipeg",2,3,21,14,2,35,2,0,0,79,298
46011,"Winnipeg Centre/Winnipeg-Centre"," 3","Winnipeg",1,2,50,24,9,75,0,1,0,162,410
46011,"Winnipeg Centre/Winnipeg-Centre"," 4","Winnipeg",0,6,39,4,5,70,0,0,0,124,323
46011,"Winnipeg Centre/Winnipeg-Centre"," 5","Winnipeg",3,2,28,11,4,66,0,1,1,116,303
46011,"Winnipeg Centre/Winnipeg-Centre"," 6","Winnipeg",0,0,17,5,2,63,1,0,0,88,339
46011,"Winnipeg Centre/Winnipeg-Centre"," 7","Winnipeg",0,0,23,5,6,59,3,0,1,97,414
46011,"Winnipeg Centre/Winnipeg-Centre"," 8","Winnipeg",0,0,22,10,3,39,0,0,2,76,268
46011,"Winnipeg Centre/Winnipeg-Centre"," 9","Winnipeg",0,0,45,15,7,60,1,0,0,128,374
46011,"Winnipeg Centre/Winnipeg-Centre"," 10","Winnipeg",0,4,26,7,4,84,1,0,2,128,405
46011,"Winnipeg Centre/Winnipeg-Centre"," 11","Winnipeg",1,0,18,15,5,83,0,0,4,126,328
46011,"Winnipeg Centre/Winnipeg-Centre"," 12","Winnipeg",1,1,48,17,13,66,2,0,0,148,379
46011,"Winnipeg Centre/Winnipeg-Centre"," 13","Winnipeg",1,1,22,11,5,69,1,0,1,111,392
46011,"Winnipeg Centre/Winnipeg-Centre"," 14","Winnipeg",3,3,25,13,6,82,1,0,2,135,423
46011,"Winnipeg Centre/Winnipeg-Centre"," 15","Winnipeg",1,1,31,8,9,76,3,0,2,131,394
46011,"Winnipeg Centre/Winnipeg-Centre"," 16","Winnipeg",0,0,78,15,16,77,0,0,2,188,428
46011,"Winnipeg Centre/Winnipeg-Centre"," 17","Winnipeg",1,0,39,7,3,52,0,0,0,102,214
46011,"Winnipeg Centre/Winnipeg-Centre"," 18","Winnipeg",1,0,73,20,10,88,0,2,3,197,405
46011,"Winnipeg Centre/Winnipeg-Centre"," 19","Winnipeg",0,0,77,17,22,54,0,0,0,170,359
46011,"Winnipeg Centre/Winnipeg-Centre"," 20","Winnipeg",2,2,66,20,19,95,0,1,3,208,415
46011,"Winnipeg Centre/Winnipeg-Centre"," 21","Winnipeg",0,2,61,28,15,56,1,1,0,164,453
46011,"Winnipeg Centre/Winnipeg-Centre"," 22","Winnipeg",0,0,52,32,22,68,0,0,0,174,426
46011,"Winnipeg Centre/Winnipeg-Centre"," 23","Winnipeg",0,0,44,15,15,75,0,1,3,153,380
46011,"Winnipeg Centre/Winnipeg-Centre"," 24","Winnipeg",1,0,44,17,5,64,2,0,0,133,351
46011,"Winnipeg Centre/Winnipeg-Centre"," 25","Winnipeg",0,0,55,33,29,79,0,1,0,197,331
46011,"Winnipeg Centre/Winnipeg-Centre"," 26","Winnipeg",1,1,57,38,19,90,1,0,1,208,350
