Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Anderson,Jim Flaherty,Yvonne Forbes,Brent Fullard,David Purdy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Whitby--Oshawa/Whitby--Oshawa"," 1","Whitby",32,138,7,42,24,1,244,419
35099,"Whitby--Oshawa/Whitby--Oshawa"," 2","Whitby",24,108,0,58,22,0,212,358
35099,"Whitby--Oshawa/Whitby--Oshawa"," 3","Whitby",14,104,3,38,27,0,186,378
35099,"Whitby--Oshawa/Whitby--Oshawa"," 4","Whitby",17,90,1,48,23,0,179,351
35099,"Whitby--Oshawa/Whitby--Oshawa"," 5","Whitby",19,104,1,45,22,0,191,344
35099,"Whitby--Oshawa/Whitby--Oshawa"," 6","Whitby",14,115,3,34,21,0,187,336
35099,"Whitby--Oshawa/Whitby--Oshawa"," 7","Whitby",24,216,0,59,27,0,326,496
35099,"Whitby--Oshawa/Whitby--Oshawa"," 8","Whitby",20,162,0,54,26,1,263,450
35099,"Whitby--Oshawa/Whitby--Oshawa"," 9","Whitby",25,104,1,41,44,1,216,413
35099,"Whitby--Oshawa/Whitby--Oshawa"," 10","Whitby",25,135,0,66,38,0,264,495
35099,"Whitby--Oshawa/Whitby--Oshawa"," 11","Whitby",24,125,2,55,26,0,232,388
35099,"Whitby--Oshawa/Whitby--Oshawa"," 12","Whitby",17,149,1,33,16,1,217,357
35099,"Whitby--Oshawa/Whitby--Oshawa"," 13","Whitby",9,125,0,58,20,0,212,395
35099,"Whitby--Oshawa/Whitby--Oshawa"," 14","Whitby",31,124,0,56,31,1,243,403
35099,"Whitby--Oshawa/Whitby--Oshawa"," 15","Whitby",18,158,0,52,26,1,255,469
35099,"Whitby--Oshawa/Whitby--Oshawa"," 16","Whitby",23,141,1,31,37,0,233,383
35099,"Whitby--Oshawa/Whitby--Oshawa"," 17","Whitby",16,112,2,40,24,0,194,355
35099,"Whitby--Oshawa/Whitby--Oshawa"," 18","Whitby",11,138,2,58,22,1,232,380
35099,"Whitby--Oshawa/Whitby--Oshawa"," 19","Whitby",25,97,2,28,29,4,185,357
35099,"Whitby--Oshawa/Whitby--Oshawa"," 20","Whitby",15,80,2,45,20,1,163,304
35099,"Whitby--Oshawa/Whitby--Oshawa"," 21","Whitby",35,149,0,40,20,0,244,419
35099,"Whitby--Oshawa/Whitby--Oshawa"," 22","Whitby",11,119,0,53,11,0,194,340
35099,"Whitby--Oshawa/Whitby--Oshawa"," 23","Whitby",20,115,0,55,22,0,212,395
35099,"Whitby--Oshawa/Whitby--Oshawa"," 24","Whitby",17,139,2,36,36,1,231,405
35099,"Whitby--Oshawa/Whitby--Oshawa"," 25","Whitby",12,162,1,43,18,2,238,423
35099,"Whitby--Oshawa/Whitby--Oshawa"," 26","Whitby",25,125,0,50,16,0,216,415
35099,"Whitby--Oshawa/Whitby--Oshawa"," 27","Whitby",6,101,3,49,23,0,182,319
35099,"Whitby--Oshawa/Whitby--Oshawa"," 28","Whitby",10,136,3,50,31,0,230,417
35099,"Whitby--Oshawa/Whitby--Oshawa"," 29","Whitby",25,157,0,53,27,1,263,475
35099,"Whitby--Oshawa/Whitby--Oshawa"," 30","Whitby",14,44,1,35,9,1,104,294
35099,"Whitby--Oshawa/Whitby--Oshawa"," 31","Whitby",16,118,0,52,30,0,216,407
35099,"Whitby--Oshawa/Whitby--Oshawa"," 32","Whitby",12,93,3,71,18,1,198,348
35099,"Whitby--Oshawa/Whitby--Oshawa"," 33","Whitby",8,112,0,65,25,0,210,369
