Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre-Olivier Brunelle,Marsha Fine,Reny Gagnon,Bernard Patry,Shameem Siddiqui,Ryan Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 1","L'Île-Bizard",59,0,17,66,20,6,0,168,326
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 2","L'Île-Bizard",33,0,48,63,16,10,1,171,355
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 3","L'Île-Bizard",78,0,47,123,19,18,0,285,515
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 4","L'Île-Bizard",95,0,68,161,36,29,2,391,684
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 4-1","L'Île-Bizard",14,0,2,14,3,0,0,33,62
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 5","L'Île-Bizard",47,0,49,83,24,22,0,225,406
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 6","L'Île-Bizard",53,0,39,74,26,16,1,209,376
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 7","L'Île-Bizard",36,1,62,80,20,22,3,224,398
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 8","L'Île-Bizard",35,0,59,93,26,25,0,238,385
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 8-1","L'Île-Bizard",27,0,21,48,15,7,3,121,199
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 9","L'Île-Bizard",32,1,57,82,24,8,3,207,422
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 10","L'Île-Bizard",40,0,70,97,26,24,0,257,428
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 11","L'Île-Bizard",47,0,83,85,37,24,1,277,456
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 12","L'Île-Bizard",57,0,47,90,34,8,0,236,428
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 13","L'Île-Bizard",41,0,60,103,26,11,2,243,418
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 14","L'Île-Bizard",79,0,39,144,26,18,3,309,497
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 15","L'Île-Bizard",44,1,75,87,29,16,4,256,382
24049,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 16","L'Île-Bizard",43,1,65,99,34,18,2,262,456
