Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maurice Brossard,Normand Chouinard,Marcel Lussier,Hoang Mai,Alexandra Mendes,Sonia Ziadé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24011,"Brossard--La Prairie/Brossard--La Prairie"," 1A","Brossard",43,0,53,13,58,2,0,169,376
24011,"Brossard--La Prairie/Brossard--La Prairie"," 1B","Brossard",28,0,21,19,62,6,1,137,250
24011,"Brossard--La Prairie/Brossard--La Prairie"," 2","Brossard",27,0,41,14,79,1,2,164,331
24011,"Brossard--La Prairie/Brossard--La Prairie"," 3","Brossard",26,1,56,31,57,5,0,176,393
24011,"Brossard--La Prairie/Brossard--La Prairie"," 4","Brossard",22,3,27,21,63,6,1,143,328
24011,"Brossard--La Prairie/Brossard--La Prairie"," 5","Brossard",26,1,40,22,66,4,0,159,349
24011,"Brossard--La Prairie/Brossard--La Prairie"," 6","Brossard",17,0,43,27,87,8,4,186,425
24011,"Brossard--La Prairie/Brossard--La Prairie"," 7","Brossard",24,0,20,25,42,1,1,113,320
24011,"Brossard--La Prairie/Brossard--La Prairie"," 8","Brossard",13,0,51,21,33,5,3,126,410
24011,"Brossard--La Prairie/Brossard--La Prairie"," 9","Brossard",37,0,44,21,46,4,3,155,327
24011,"Brossard--La Prairie/Brossard--La Prairie"," 10","Brossard",38,0,50,8,65,7,3,171,379
24011,"Brossard--La Prairie/Brossard--La Prairie"," 11A","Brossard",42,0,54,17,61,8,4,186,395
24011,"Brossard--La Prairie/Brossard--La Prairie"," 11B","Brossard",11,0,35,21,49,6,3,125,283
24011,"Brossard--La Prairie/Brossard--La Prairie"," 12","Brossard",19,0,51,21,50,5,0,146,334
24011,"Brossard--La Prairie/Brossard--La Prairie"," 13","Brossard",25,0,29,13,78,7,0,152,365
24011,"Brossard--La Prairie/Brossard--La Prairie"," 14","Brossard",37,0,48,27,60,6,1,179,313
24011,"Brossard--La Prairie/Brossard--La Prairie"," 15","Brossard",30,1,50,19,77,7,1,185,351
24011,"Brossard--La Prairie/Brossard--La Prairie"," 16","Brossard",25,0,42,20,49,6,1,143,265
