Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Kemp,Mary Louise Lorefice,Michael Harris MacKay,Peter Gordon MacKay,Elizabeth May,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 1","River John",1,26,6,75,59,1,168,300
12002,"Central Nova/Nova-Centre"," 2","Cape John",1,39,3,123,89,1,256,431
12002,"Central Nova/Nova-Centre"," 3","Toney River",1,39,0,68,76,0,184,243
12002,"Central Nova/Nova-Centre"," 4","Caribou",1,50,1,103,112,0,267,427
12002,"Central Nova/Nova-Centre"," 5","Pictou Island",0,1,0,3,10,0,14,22
12002,"Central Nova/Nova-Centre"," 6","Bay View",0,28,0,81,74,0,183,278
12002,"Central Nova/Nova-Centre"," 6-1","Pictou, Subd. A",2,19,0,66,63,0,150,228
12002,"Central Nova/Nova-Centre"," 7","Pictou",0,40,0,92,71,1,204,294
12002,"Central Nova/Nova-Centre"," 8","Pictou",1,76,5,79,50,1,212,319
12002,"Central Nova/Nova-Centre"," 9","Pictou",0,42,1,53,54,2,152,278
12002,"Central Nova/Nova-Centre"," 10","Pictou",1,69,1,86,47,0,204,339
12002,"Central Nova/Nova-Centre"," 11","Pictou",0,52,2,77,72,0,203,328
12002,"Central Nova/Nova-Centre"," 12","Pictou",0,40,2,67,51,1,161,315
12002,"Central Nova/Nova-Centre"," 13","Pictou",0,31,3,67,45,0,146,223
12002,"Central Nova/Nova-Centre"," 14","Pictou",1,41,0,89,70,0,201,382
12002,"Central Nova/Nova-Centre"," 15","Pictou",2,68,0,90,85,3,248,392
12002,"Central Nova/Nova-Centre"," 16A","Lyons Brook",2,32,3,82,55,1,175,282
12002,"Central Nova/Nova-Centre"," 16B","Lyons Brook",1,20,1,63,33,1,119,211
12002,"Central Nova/Nova-Centre"," 17","Lyons Brook",1,45,2,83,72,0,203,317
12002,"Central Nova/Nova-Centre"," 18","Meadowville",1,36,2,122,80,0,241,352
12002,"Central Nova/Nova-Centre"," 19","Durham",2,70,2,116,83,2,275,437
12002,"Central Nova/Nova-Centre"," 19-1","Pictou, Subd. A",0,45,0,62,41,0,148,235
12002,"Central Nova/Nova-Centre"," 20","Welsford",3,20,4,71,49,1,148,296
12002,"Central Nova/Nova-Centre"," 21","West Branch",1,35,1,54,66,1,158,262
12002,"Central Nova/Nova-Centre"," 22","Scotsburn",2,25,0,64,57,1,149,208
12002,"Central Nova/Nova-Centre"," 23","Salt Springs",5,40,3,45,37,1,131,265
12002,"Central Nova/Nova-Centre"," 24","Mount Thom",1,56,2,42,54,0,155,268
12002,"Central Nova/Nova-Centre"," 25","Millbrook",1,47,3,89,59,3,202,392
12002,"Central Nova/Nova-Centre"," 26","Greenhill",1,52,4,82,50,0,189,309
12002,"Central Nova/Nova-Centre"," 27","Loch Broom",1,27,1,62,27,2,120,236
12002,"Central Nova/Nova-Centre"," 28A","Alma",1,39,2,64,39,0,145,260
12002,"Central Nova/Nova-Centre"," 28B","Alma",1,30,0,82,50,1,164,283
12002,"Central Nova/Nova-Centre"," 29","White Hill",1,98,3,130,59,1,292,404
12002,"Central Nova/Nova-Centre"," 30","Riverton",0,39,1,119,68,1,228,350
12002,"Central Nova/Nova-Centre"," 31","Hopewell",1,64,1,121,70,1,258,395
12002,"Central Nova/Nova-Centre"," 32","Eureka",0,33,0,99,60,1,193,345
12002,"Central Nova/Nova-Centre"," 33","Middle River",1,20,1,45,24,0,91,133
12002,"Central Nova/Nova-Centre"," 34","Lorne",1,19,2,90,29,0,141,197
12002,"Central Nova/Nova-Centre"," 35","Abercrombie",0,30,0,55,49,0,134,182
12002,"Central Nova/Nova-Centre"," 36","Abercrombie",0,29,0,113,58,2,202,298
12002,"Central Nova/Nova-Centre"," 37","Mount William",3,28,1,62,44,1,139,191
12002,"Central Nova/Nova-Centre"," 38","Mount William",1,34,0,77,37,0,149,222
12002,"Central Nova/Nova-Centre"," 39","Pictou Landing Reserve",0,15,0,37,82,0,134,171
12002,"Central Nova/Nova-Centre"," 40","Pictou Landing",0,43,2,91,74,3,213,296
12002,"Central Nova/Nova-Centre"," 41","Trenton",0,56,1,65,44,3,169,273
12002,"Central Nova/Nova-Centre"," 42","Trenton",3,37,1,127,67,2,237,375
12002,"Central Nova/Nova-Centre"," 43","Trenton",1,55,4,85,58,2,205,347
12002,"Central Nova/Nova-Centre"," 44","Trenton",2,68,0,98,76,0,244,403
12002,"Central Nova/Nova-Centre"," 45","Trenton",2,42,3,97,71,2,217,372
12002,"Central Nova/Nova-Centre"," 46","Trenton",3,46,2,102,77,2,232,426
12002,"Central Nova/Nova-Centre"," 47","Westville",1,63,2,146,65,3,280,443
12002,"Central Nova/Nova-Centre"," 48","Westville",1,70,1,91,44,0,207,378
12002,"Central Nova/Nova-Centre"," 49","Westville",1,56,2,77,28,0,164,294
12002,"Central Nova/Nova-Centre"," 50","Westville",1,43,0,94,49,1,188,281
