Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles Boylan,Ann Chambers,Ujjal Dosanjh,Csaba Gulyas,Wai Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59034,"Vancouver South/Vancouver-Sud"," 1","Vancouver",0,6,117,9,124,1,257,548
59034,"Vancouver South/Vancouver-Sud"," 2","Vancouver",0,4,105,5,93,0,207,522
59034,"Vancouver South/Vancouver-Sud"," 3","Vancouver",2,13,88,5,121,4,233,551
59034,"Vancouver South/Vancouver-Sud"," 4","Vancouver",1,15,102,2,118,0,238,590
59034,"Vancouver South/Vancouver-Sud"," 5","Vancouver",2,29,95,15,118,1,260,548
59034,"Vancouver South/Vancouver-Sud"," 6","Vancouver",0,13,95,9,89,0,206,427
59034,"Vancouver South/Vancouver-Sud"," 7","Vancouver",3,27,93,8,96,2,229,552
59034,"Vancouver South/Vancouver-Sud"," 8","Vancouver",0,25,81,3,113,0,222,419
59034,"Vancouver South/Vancouver-Sud"," 9","Vancouver",0,19,70,3,84,0,176,483
59034,"Vancouver South/Vancouver-Sud"," 10","Vancouver",0,9,67,5,62,1,144,425
59034,"Vancouver South/Vancouver-Sud"," 11","Vancouver",1,15,93,10,113,0,232,513
59034,"Vancouver South/Vancouver-Sud"," 12","Vancouver",0,20,90,7,113,2,232,453
59034,"Vancouver South/Vancouver-Sud"," 13","Vancouver",1,11,70,7,104,0,193,408
59034,"Vancouver South/Vancouver-Sud"," 14","Vancouver",0,38,97,12,119,1,267,598
59034,"Vancouver South/Vancouver-Sud"," 15","Vancouver",2,25,115,9,108,1,260,533
59034,"Vancouver South/Vancouver-Sud"," 16","Vancouver",0,18,88,9,108,4,227,496
59034,"Vancouver South/Vancouver-Sud"," 16-1","Vancouver",0,16,62,8,72,2,160,384
59034,"Vancouver South/Vancouver-Sud"," 17","Vancouver",1,20,104,20,115,1,261,551
59034,"Vancouver South/Vancouver-Sud"," 18","Vancouver",3,30,119,15,130,0,297,558
59034,"Vancouver South/Vancouver-Sud"," 19","Vancouver",0,29,70,20,84,1,204,473
59034,"Vancouver South/Vancouver-Sud"," 20","Vancouver",0,24,67,13,69,0,173,412
59034,"Vancouver South/Vancouver-Sud"," 21","Vancouver",2,38,81,4,84,1,210,459
59034,"Vancouver South/Vancouver-Sud"," 22","Vancouver",0,22,122,11,107,0,262,511
59034,"Vancouver South/Vancouver-Sud"," 23","Vancouver",1,18,97,8,103,0,227,535
59034,"Vancouver South/Vancouver-Sud"," 24","Vancouver",0,11,89,11,99,4,214,476
59034,"Vancouver South/Vancouver-Sud"," 25","Vancouver",0,18,53,9,75,1,156,322
59034,"Vancouver South/Vancouver-Sud"," 26","Vancouver",0,44,60,11,53,0,168,486
59034,"Vancouver South/Vancouver-Sud"," 27","Vancouver",1,12,37,12,54,1,117,283
59034,"Vancouver South/Vancouver-Sud"," 28","Vancouver",0,30,53,19,72,1,175,435
59034,"Vancouver South/Vancouver-Sud"," 29","Vancouver",3,27,60,9,34,1,134,350
59034,"Vancouver South/Vancouver-Sud"," 30","Vancouver",0,27,60,14,29,1,131,298
59034,"Vancouver South/Vancouver-Sud"," 31","Vancouver",1,51,71,23,51,0,197,366
59034,"Vancouver South/Vancouver-Sud"," 32","Vancouver",1,58,69,30,62,1,221,427
59034,"Vancouver South/Vancouver-Sud"," 33","Vancouver",1,41,67,22,46,0,177,402
59034,"Vancouver South/Vancouver-Sud"," 34","Vancouver",1,53,59,26,51,0,190,387
59034,"Vancouver South/Vancouver-Sud"," 35","Vancouver",0,42,70,25,45,0,182,374
59034,"Vancouver South/Vancouver-Sud"," 36","Vancouver",0,55,85,27,49,1,217,411
59034,"Vancouver South/Vancouver-Sud"," 37","Vancouver",1,61,72,23,63,0,220,423
59034,"Vancouver South/Vancouver-Sud"," 38","Vancouver",2,51,54,21,60,1,189,450
59034,"Vancouver South/Vancouver-Sud"," 39","Vancouver",0,21,31,12,47,1,112,350
59034,"Vancouver South/Vancouver-Sud"," 40","Vancouver",0,26,111,7,103,3,250,526
59034,"Vancouver South/Vancouver-Sud"," 41","Vancouver",2,22,83,17,124,2,250,491
59034,"Vancouver South/Vancouver-Sud"," 42","Vancouver",0,55,109,23,114,2,303,505
59034,"Vancouver South/Vancouver-Sud"," 43","Vancouver",1,32,85,20,92,2,232,470
59034,"Vancouver South/Vancouver-Sud"," 44","Vancouver",2,24,94,13,97,0,230,505
59034,"Vancouver South/Vancouver-Sud"," 45","Vancouver",0,21,101,15,110,0,247,582
59034,"Vancouver South/Vancouver-Sud"," 46","Vancouver",2,42,136,14,93,0,287,553
59034,"Vancouver South/Vancouver-Sud"," 47","Vancouver",3,53,104,15,60,1,236,526
59034,"Vancouver South/Vancouver-Sud"," 48","Vancouver",0,50,114,23,47,2,236,435
59034,"Vancouver South/Vancouver-Sud"," 49","Vancouver",2,60,65,22,51,2,202,330
59034,"Vancouver South/Vancouver-Sud"," 50","Vancouver",1,86,89,28,82,0,286,488
59034,"Vancouver South/Vancouver-Sud"," 51","Vancouver",0,46,102,19,94,5,266,499
59034,"Vancouver South/Vancouver-Sud"," 52","Vancouver",4,51,113,29,53,2,252,478
59034,"Vancouver South/Vancouver-Sud"," 53","Vancouver",1,42,115,5,69,0,232,480
59034,"Vancouver South/Vancouver-Sud"," 54","Vancouver",1,28,102,11,62,0,204,355
59034,"Vancouver South/Vancouver-Sud"," 54-1","Vancouver",1,34,82,7,48,0,172,340
59034,"Vancouver South/Vancouver-Sud"," 55","Vancouver",0,61,135,12,79,4,291,590
59034,"Vancouver South/Vancouver-Sud"," 56","Vancouver",1,28,93,14,88,0,224,426
59034,"Vancouver South/Vancouver-Sud"," 57","Vancouver",1,25,113,10,89,0,238,524
59034,"Vancouver South/Vancouver-Sud"," 58","Vancouver",3,58,113,11,77,3,265,547
59034,"Vancouver South/Vancouver-Sud"," 59","Vancouver",0,30,70,8,97,4,209,484
