Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Evan Bedford,Earl Dreeshen,Garfield Marks,Stuart Somerville,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Red Deer/Red Deer"," 1","Evarts",7,110,0,8,0,125,213
48023,"Red Deer/Red Deer"," 2","Benalto",30,250,6,27,2,315,626
48023,"Red Deer/Red Deer"," 2-1","Red Deer County",3,66,2,4,0,75,175
48023,"Red Deer/Red Deer"," 3","Kevisville",27,228,6,11,0,272,400
48023,"Red Deer/Red Deer"," 4","Markerville",31,353,8,21,0,413,662
48023,"Red Deer/Red Deer"," 5","Sylvan Lake",21,157,13,23,1,215,561
48023,"Red Deer/Red Deer"," 5-1","Sylvan Lake",13,86,6,19,0,124,322
48023,"Red Deer/Red Deer"," 5-2","Sylvan Lake",10,36,10,8,0,64,232
48023,"Red Deer/Red Deer"," 6","Sylvan Lake",18,80,18,18,1,135,378
48023,"Red Deer/Red Deer"," 7","Sylvan Lake",4,91,3,13,0,111,261
48023,"Red Deer/Red Deer"," 7-1","Sylvan Lake",7,62,1,11,1,82,310
48023,"Red Deer/Red Deer"," 7-2","Sylvan Lake",19,115,11,15,0,160,424
48023,"Red Deer/Red Deer"," 7-3","Sylvan Lake",11,100,7,17,0,135,337
48023,"Red Deer/Red Deer"," 7-4","Sylvan Lake",4,32,3,4,0,43,118
48023,"Red Deer/Red Deer"," 8","Sylvan Lake",13,144,9,21,0,187,441
48023,"Red Deer/Red Deer"," 8-1","Sylvan Lake",20,120,6,14,1,161,503
48023,"Red Deer/Red Deer"," 8-2","Sylvan Lake",7,85,4,11,0,107,249
48023,"Red Deer/Red Deer"," 8-3","Sylvan Lake",16,186,8,29,0,239,596
48023,"Red Deer/Red Deer"," 8-4","Sylvan Lake",10,151,10,20,1,192,426
48023,"Red Deer/Red Deer"," 8-5","Sylvan Lake",7,57,6,13,0,83,211
48023,"Red Deer/Red Deer"," 9","Sylvan Lake",22,164,10,21,2,219,442
48023,"Red Deer/Red Deer"," 10","Sylvan Lake",12,105,8,20,2,147,405
48023,"Red Deer/Red Deer"," 11","Sylvan Lake",16,194,9,19,1,239,539
48023,"Red Deer/Red Deer"," 11-1","Sylvan Lake",14,62,4,13,0,93,239
48023,"Red Deer/Red Deer"," 11-2","Sylvan Lake",4,24,0,6,0,34,74
48023,"Red Deer/Red Deer"," 12","Sylvan Lake",17,81,10,21,0,129,335
48023,"Red Deer/Red Deer"," 13","Sylvan Lake",8,147,8,13,0,176,368
48023,"Red Deer/Red Deer"," 13-1","Red Deer County",10,87,0,7,0,104,171
48023,"Red Deer/Red Deer"," 14","Jarvis Bay",15,192,10,18,0,235,404
48023,"Red Deer/Red Deer"," 14-1","Red Deer County",11,113,6,10,0,140,327
48023,"Red Deer/Red Deer"," 15","Red Deer",8,40,7,14,0,69,170
48023,"Red Deer/Red Deer"," 16","Red Deer County",8,107,4,15,0,134,307
48023,"Red Deer/Red Deer"," 17","Red Deer County",31,255,11,21,0,318,594
48023,"Red Deer/Red Deer"," 18","Mintlaw",27,173,6,16,0,222,391
48023,"Red Deer/Red Deer"," 19","Red Deer County",8,151,5,7,0,171,373
48023,"Red Deer/Red Deer"," 20","Red Deer County",4,167,9,14,0,194,321
48023,"Red Deer/Red Deer"," 20-1","Red Deer County",4,84,8,5,1,102,235
48023,"Red Deer/Red Deer"," 21","Red Deer",32,269,11,28,1,341,647
48023,"Red Deer/Red Deer"," 22","Red Deer County",10,109,7,18,0,144,394
48023,"Red Deer/Red Deer"," 23","Springbrook",6,31,1,8,0,46,80
48023,"Red Deer/Red Deer"," 23-1","Red Deer County",24,136,5,34,2,201,557
48023,"Red Deer/Red Deer"," 24","Penhold",19,173,3,28,0,223,502
48023,"Red Deer/Red Deer"," 25","Penhold",8,71,8,15,0,102,193
48023,"Red Deer/Red Deer"," 26","Penhold",25,218,17,36,1,297,553
48023,"Red Deer/Red Deer"," 27","Penhold",22,216,3,20,0,261,451
