Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abeed Monty Ahmad,Daniel Blanchard,Vinay Dey,Sanam S. Kang,Roger Richard,Devinder Shory,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Northeast/Calgary-Nord-Est"," 1","Calgary",9,1,9,10,16,79,0,124,279
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-1","Calgary",5,0,19,29,51,192,0,296,556
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-2","Calgary",17,2,13,31,15,84,1,163,407
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-3","Calgary",10,0,17,16,25,78,2,148,360
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-4","Calgary",6,0,16,20,34,92,1,169,371
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-5","Calgary",12,1,23,18,24,83,0,161,379
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-6","Calgary",41,0,38,36,17,154,0,286,685
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-7","Calgary",6,0,18,18,24,108,1,175,468
48004,"Calgary Northeast/Calgary-Nord-Est"," 2","Calgary",24,2,39,19,24,115,1,224,497
48004,"Calgary Northeast/Calgary-Nord-Est"," 3","Calgary",10,1,11,12,22,153,0,209,444
48004,"Calgary Northeast/Calgary-Nord-Est"," 4","Calgary",18,1,22,23,31,117,1,213,480
48004,"Calgary Northeast/Calgary-Nord-Est"," 4-1","Calgary",12,1,18,14,12,105,0,162,415
48004,"Calgary Northeast/Calgary-Nord-Est"," 4-2","Calgary",16,2,28,23,23,154,0,246,473
48004,"Calgary Northeast/Calgary-Nord-Est"," 4-3","Calgary",11,1,17,22,17,106,0,174,443
48004,"Calgary Northeast/Calgary-Nord-Est"," 5","Calgary",4,2,15,25,48,134,2,230,504
48004,"Calgary Northeast/Calgary-Nord-Est"," 6","Calgary",8,1,13,11,23,110,1,167,357
48004,"Calgary Northeast/Calgary-Nord-Est"," 6-1","Calgary",9,1,11,10,15,61,1,108,268
48004,"Calgary Northeast/Calgary-Nord-Est"," 6-2","Calgary",12,0,16,12,10,47,0,97,256
48004,"Calgary Northeast/Calgary-Nord-Est"," 6-3","Calgary",4,1,8,10,5,70,1,99,233
48004,"Calgary Northeast/Calgary-Nord-Est"," 7","Calgary",12,0,23,26,29,153,0,243,561
48004,"Calgary Northeast/Calgary-Nord-Est"," 8","Calgary",17,0,19,17,48,143,0,244,513
48004,"Calgary Northeast/Calgary-Nord-Est"," 9","Calgary",22,0,31,19,28,104,0,204,415
48004,"Calgary Northeast/Calgary-Nord-Est"," 10","Calgary",20,5,25,19,21,121,2,213,453
48004,"Calgary Northeast/Calgary-Nord-Est"," 11","Calgary",21,2,19,16,30,98,1,187,456
48004,"Calgary Northeast/Calgary-Nord-Est"," 12","Calgary",11,0,16,13,17,115,0,172,396
48004,"Calgary Northeast/Calgary-Nord-Est"," 13","Calgary",13,2,19,32,39,140,0,245,509
48004,"Calgary Northeast/Calgary-Nord-Est"," 14","Calgary",12,3,19,19,57,145,0,255,491
48004,"Calgary Northeast/Calgary-Nord-Est"," 15","Calgary",12,1,25,39,32,145,0,254,435
48004,"Calgary Northeast/Calgary-Nord-Est"," 16","Calgary",6,1,3,12,35,95,2,154,327
48004,"Calgary Northeast/Calgary-Nord-Est"," 16-1","Calgary",10,2,10,16,37,93,1,169,283
48004,"Calgary Northeast/Calgary-Nord-Est"," 17","Calgary",11,0,17,21,53,141,0,243,435
48004,"Calgary Northeast/Calgary-Nord-Est"," 18","Calgary",17,0,22,32,34,109,2,216,448
48004,"Calgary Northeast/Calgary-Nord-Est"," 19","Calgary",12,1,22,17,31,172,0,255,480
48004,"Calgary Northeast/Calgary-Nord-Est"," 20","Calgary",14,0,22,20,28,127,1,212,399
48004,"Calgary Northeast/Calgary-Nord-Est"," 21","Calgary",14,0,17,20,10,105,0,166,318
48004,"Calgary Northeast/Calgary-Nord-Est"," 21-1","Calgary",7,1,10,10,24,62,2,116,258
48004,"Calgary Northeast/Calgary-Nord-Est"," 22","Calgary",17,0,21,17,9,73,0,137,304
48004,"Calgary Northeast/Calgary-Nord-Est"," 23","Calgary",11,1,14,13,13,59,0,111,292
48004,"Calgary Northeast/Calgary-Nord-Est"," 24","Calgary",4,0,3,80,21,75,1,184,418
48004,"Calgary Northeast/Calgary-Nord-Est"," 24-1","Calgary",7,0,14,16,17,61,0,115,299
48004,"Calgary Northeast/Calgary-Nord-Est"," 24-2","Calgary",4,0,8,39,15,38,0,104,339
48004,"Calgary Northeast/Calgary-Nord-Est"," 25","Calgary",5,0,3,16,8,16,0,48,217
48004,"Calgary Northeast/Calgary-Nord-Est"," 25-1","Calgary",4,0,18,42,8,57,1,130,423
48004,"Calgary Northeast/Calgary-Nord-Est"," 25-2A","Calgary",0,0,4,68,7,43,1,123,445
