Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Eyking,Collin Harker,Wayne McKay,Kristen Rudderham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"Sydney--Victoria/Sydney--Victoria"," 1","St. Margaret Village",92,10,15,40,0,157,353
12010,"Sydney--Victoria/Sydney--Victoria"," 2","Pleasant Bay",49,8,21,22,0,100,154
12010,"Sydney--Victoria/Sydney--Victoria"," 3","Cape North",120,15,28,41,0,204,445
12010,"Sydney--Victoria/Sydney--Victoria"," 4","White Point",46,5,8,17,0,76,142
12010,"Sydney--Victoria/Sydney--Victoria"," 5","Neils Harbour",90,7,24,63,0,184,266
12010,"Sydney--Victoria/Sydney--Victoria"," 6","Ingonish",157,8,52,72,0,289,514
12010,"Sydney--Victoria/Sydney--Victoria"," 7","Ingonish Beach",164,17,47,47,2,277,415
12010,"Sydney--Victoria/Sydney--Victoria"," 8","Little River",79,29,25,44,1,178,316
12010,"Sydney--Victoria/Sydney--Victoria"," 9","Englishtown",85,8,19,20,0,132,171
12010,"Sydney--Victoria/Sydney--Victoria"," 10","South Haven",64,21,17,40,3,145,227
12010,"Sydney--Victoria/Sydney--Victoria"," 11","Baddeck",110,17,25,50,0,202,468
12010,"Sydney--Victoria/Sydney--Victoria"," 12","Middle River",113,29,36,59,2,239,340
12010,"Sydney--Victoria/Sydney--Victoria"," 13","Wagmatcook 1",65,5,26,13,1,110,271
12010,"Sydney--Victoria/Sydney--Victoria"," 14","Little Narrows",83,10,15,23,1,132,159
12010,"Sydney--Victoria/Sydney--Victoria"," 15","Baddeck",62,7,12,29,0,110,182
12010,"Sydney--Victoria/Sydney--Victoria"," 16","Baddeck",71,5,17,39,1,133,244
12010,"Sydney--Victoria/Sydney--Victoria"," 17","Baddeck",60,7,15,38,2,122,195
12010,"Sydney--Victoria/Sydney--Victoria"," 18","Baddeck",45,12,14,35,0,106,233
12010,"Sydney--Victoria/Sydney--Victoria"," 19","Iona",105,5,19,55,2,186,279
12010,"Sydney--Victoria/Sydney--Victoria"," 20","Point Aconi",56,10,36,20,2,124,274
12010,"Sydney--Victoria/Sydney--Victoria"," 21","Big Bras d'Or",133,16,49,62,1,261,419
12010,"Sydney--Victoria/Sydney--Victoria"," 22","Boularderie",92,16,36,53,4,201,286
12010,"Sydney--Victoria/Sydney--Victoria"," 23","Millville Boularderie",152,17,52,46,1,268,429
12010,"Sydney--Victoria/Sydney--Victoria"," 24","New Dominion",76,8,38,40,0,162,265
12010,"Sydney--Victoria/Sydney--Victoria"," 25","Hillside Boularderie",119,15,40,76,2,252,401
12010,"Sydney--Victoria/Sydney--Victoria"," 26","Alder Point",80,8,52,23,0,163,325
12010,"Sydney--Victoria/Sydney--Victoria"," 27","Little Bras d'Or South Side",65,7,70,44,0,186,341
12010,"Sydney--Victoria/Sydney--Victoria"," 28","Mill Creek",86,8,40,42,2,178,303
12010,"Sydney--Victoria/Sydney--Victoria"," 29","Florence",74,4,29,23,0,130,279
12010,"Sydney--Victoria/Sydney--Victoria"," 30","Florence",55,4,38,12,0,109,230
12010,"Sydney--Victoria/Sydney--Victoria"," 31","Florence",67,3,49,34,0,153,336
12010,"Sydney--Victoria/Sydney--Victoria"," 32","Bras d'Or",81,6,48,13,0,148,267
12010,"Sydney--Victoria/Sydney--Victoria"," 33","Florence",110,6,56,42,0,214,432
12010,"Sydney--Victoria/Sydney--Victoria"," 34","Bras d'Or",95,13,45,35,3,191,333
12010,"Sydney--Victoria/Sydney--Victoria"," 34-1","Cape Breton",63,10,39,53,4,169,275
12010,"Sydney--Victoria/Sydney--Victoria"," 35","Gannon Road",67,9,54,43,3,176,384
12010,"Sydney--Victoria/Sydney--Victoria"," 36","Gannon Road",55,7,53,22,0,137,303
12010,"Sydney--Victoria/Sydney--Victoria"," 37","Georges River",90,6,53,64,1,214,371
12010,"Sydney--Victoria/Sydney--Victoria"," 38","Scotch Lake",79,7,24,24,0,134,254
12010,"Sydney--Victoria/Sydney--Victoria"," 39","Boisdale",75,6,29,31,1,142,196
12010,"Sydney--Victoria/Sydney--Victoria"," 40","Grand Narrows",70,23,32,36,2,163,250
12010,"Sydney--Victoria/Sydney--Victoria"," 41","Upper North Sydney",95,12,36,54,2,199,306
12010,"Sydney--Victoria/Sydney--Victoria"," 42","Leitches Creek",119,17,34,34,0,204,355
12010,"Sydney--Victoria/Sydney--Victoria"," 43","Sydney Mines",48,10,26,19,0,103,258
12010,"Sydney--Victoria/Sydney--Victoria"," 44","Sydney Mines",39,3,36,28,1,107,285
12010,"Sydney--Victoria/Sydney--Victoria"," 45","Sydney Mines",74,6,35,24,0,139,359
12010,"Sydney--Victoria/Sydney--Victoria"," 45-1","Sydney Mines",55,2,16,14,0,87,218
12010,"Sydney--Victoria/Sydney--Victoria"," 46","Sydney Mines",64,1,21,9,1,96,302
12010,"Sydney--Victoria/Sydney--Victoria"," 47","Sydney Mines",77,3,45,27,0,152,350
12010,"Sydney--Victoria/Sydney--Victoria"," 48","Sydney Mines",91,16,48,48,1,204,499
12010,"Sydney--Victoria/Sydney--Victoria"," 49","Sydney Mines",45,3,28,29,0,105,264
12010,"Sydney--Victoria/Sydney--Victoria"," 50","Sydney Mines",91,10,43,33,3,180,387
12010,"Sydney--Victoria/Sydney--Victoria"," 51","Sydney Mines",72,6,34,51,5,168,379
12010,"Sydney--Victoria/Sydney--Victoria"," 52","Sydney Mines",78,9,24,48,0,159,270
12010,"Sydney--Victoria/Sydney--Victoria"," 53","Sydney Mines",89,3,45,38,3,178,372
12010,"Sydney--Victoria/Sydney--Victoria"," 54","Sydney Mines",95,8,48,68,1,220,411
12010,"Sydney--Victoria/Sydney--Victoria"," 55","Sydney Mines",24,3,10,15,1,53,89
12010,"Sydney--Victoria/Sydney--Victoria"," 55-1","Sydney Mines",100,7,77,46,3,233,498
12010,"Sydney--Victoria/Sydney--Victoria"," 56","Cape Breton",66,5,49,30,2,152,334
12010,"Sydney--Victoria/Sydney--Victoria"," 57","North Sydney",75,5,31,31,0,142,303
12010,"Sydney--Victoria/Sydney--Victoria"," 58","North Sydney",53,7,30,45,2,137,267
12010,"Sydney--Victoria/Sydney--Victoria"," 59","North Sydney",53,11,39,28,0,131,192
12010,"Sydney--Victoria/Sydney--Victoria"," 60","North Sydney",86,7,28,48,2,171,335
12010,"Sydney--Victoria/Sydney--Victoria"," 61","North Sydney",91,6,32,56,0,185,363
12010,"Sydney--Victoria/Sydney--Victoria"," 62","North Sydney",98,5,25,40,0,168,303
12010,"Sydney--Victoria/Sydney--Victoria"," 63","North Sydney",79,13,43,58,2,195,388
12010,"Sydney--Victoria/Sydney--Victoria"," 64","North Sydney",65,11,38,33,2,149,353
12010,"Sydney--Victoria/Sydney--Victoria"," 65","North Sydney",107,10,37,90,0,244,403
12010,"Sydney--Victoria/Sydney--Victoria"," 66","North Sydney",101,8,41,48,3,201,357
12010,"Sydney--Victoria/Sydney--Victoria"," 67","North Sydney",66,4,34,36,3,143,284
12010,"Sydney--Victoria/Sydney--Victoria"," 68","North Sydney",69,5,46,19,0,139,297
12010,"Sydney--Victoria/Sydney--Victoria"," 69","North Sydney",106,11,34,51,2,204,359
12010,"Sydney--Victoria/Sydney--Victoria"," 70","North Sydney",67,10,20,32,0,129,339
12010,"Sydney--Victoria/Sydney--Victoria"," 71","Westmount",87,13,44,42,1,187,293
12010,"Sydney--Victoria/Sydney--Victoria"," 71-1","Cape Breton",70,10,43,50,3,176,285
12010,"Sydney--Victoria/Sydney--Victoria"," 72","Westmount",136,18,39,31,2,226,413
12010,"Sydney--Victoria/Sydney--Victoria"," 73","Westmount",99,6,49,33,1,188,351
12010,"Sydney--Victoria/Sydney--Victoria"," 74","Westmount",97,8,28,29,0,162,271
12010,"Sydney--Victoria/Sydney--Victoria"," 75","Westmount",120,13,39,55,1,228,388
12010,"Sydney--Victoria/Sydney--Victoria"," 76","Westmount",124,27,55,76,0,282,460
12010,"Sydney--Victoria/Sydney--Victoria"," 77","Coxheath",83,8,46,42,0,179,341
12010,"Sydney--Victoria/Sydney--Victoria"," 78","Coxheath",102,22,44,61,2,231,388
12010,"Sydney--Victoria/Sydney--Victoria"," 79","Coxheath",156,15,37,92,2,302,474
12010,"Sydney--Victoria/Sydney--Victoria"," 80","Balls Creek",107,16,30,29,1,183,295
12010,"Sydney--Victoria/Sydney--Victoria"," 81","Coxheath",179,28,70,81,4,362,571
12010,"Sydney--Victoria/Sydney--Victoria"," 82","Blacketts Lake",87,6,30,42,0,165,299
12010,"Sydney--Victoria/Sydney--Victoria"," 83","Blacketts Lake",92,11,19,35,0,157,309
12010,"Sydney--Victoria/Sydney--Victoria"," 84","Frenchvale",125,9,57,50,3,244,450
12010,"Sydney--Victoria/Sydney--Victoria"," 85","Northside East Bay",124,19,56,66,3,268,487
12010,"Sydney--Victoria/Sydney--Victoria"," 86","Eskasoni 3",77,7,20,16,0,120,418
12010,"Sydney--Victoria/Sydney--Victoria"," 86-1","Eskasoni 3",53,6,12,6,0,77,275
12010,"Sydney--Victoria/Sydney--Victoria"," 87","Eskasoni 3",99,10,39,19,2,169,502
12010,"Sydney--Victoria/Sydney--Victoria"," 87-1","Eskasoni 3",130,10,29,15,0,184,499
12010,"Sydney--Victoria/Sydney--Victoria"," 88","Sydney",112,17,35,42,0,206,461
12010,"Sydney--Victoria/Sydney--Victoria"," 89","Sydney",149,12,36,46,0,243,438
12010,"Sydney--Victoria/Sydney--Victoria"," 90","Sydney",91,8,34,50,0,183,358
12010,"Sydney--Victoria/Sydney--Victoria"," 91","Sydney",116,14,31,63,0,224,364
12010,"Sydney--Victoria/Sydney--Victoria"," 92","Sydney",90,17,52,38,4,201,320
12010,"Sydney--Victoria/Sydney--Victoria"," 93","Sydney",110,8,38,39,1,196,371
12010,"Sydney--Victoria/Sydney--Victoria"," 94","Sydney",77,8,58,22,0,165,330
12010,"Sydney--Victoria/Sydney--Victoria"," 95","Sydney",66,15,36,20,1,138,393
12010,"Sydney--Victoria/Sydney--Victoria"," 96","Sydney",94,7,36,42,1,180,370
12010,"Sydney--Victoria/Sydney--Victoria"," 97","Membertou 28B",78,6,53,8,1,146,506
12010,"Sydney--Victoria/Sydney--Victoria"," 98","Sydney",112,11,60,38,0,221,376
12010,"Sydney--Victoria/Sydney--Victoria"," 99","Sydney",126,12,56,45,1,240,442
12010,"Sydney--Victoria/Sydney--Victoria"," 100","Sydney",108,13,49,39,1,210,382
12010,"Sydney--Victoria/Sydney--Victoria"," 101","Sydney",76,24,39,32,2,173,334
12010,"Sydney--Victoria/Sydney--Victoria"," 102","Sydney",75,5,38,34,1,153,338
12010,"Sydney--Victoria/Sydney--Victoria"," 103","Sydney",52,6,28,16,0,102,291
12010,"Sydney--Victoria/Sydney--Victoria"," 104","Sydney",70,8,44,30,1,153,324
12010,"Sydney--Victoria/Sydney--Victoria"," 105","Sydney",70,9,30,34,0,143,257
12010,"Sydney--Victoria/Sydney--Victoria"," 106","Sydney",92,10,28,37,1,168,322
12010,"Sydney--Victoria/Sydney--Victoria"," 107","Sydney",104,12,44,45,0,205,357
12010,"Sydney--Victoria/Sydney--Victoria"," 108","Sydney",127,15,67,52,0,261,417
12010,"Sydney--Victoria/Sydney--Victoria"," 109","Sydney",85,14,35,44,1,179,307
12010,"Sydney--Victoria/Sydney--Victoria"," 109-1","Sydney",93,12,39,22,0,166,293
12010,"Sydney--Victoria/Sydney--Victoria"," 110","Sydney",80,7,46,19,3,155,306
12010,"Sydney--Victoria/Sydney--Victoria"," 111","Sydney",77,14,56,25,2,174,347
12010,"Sydney--Victoria/Sydney--Victoria"," 112","Sydney",95,10,64,23,2,194,475
12010,"Sydney--Victoria/Sydney--Victoria"," 113","Sydney",23,3,18,12,1,57,204
12010,"Sydney--Victoria/Sydney--Victoria"," 114","Sydney",99,10,48,35,0,192,442
12010,"Sydney--Victoria/Sydney--Victoria"," 115","Sydney",68,15,37,25,1,146,357
