Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Bouchard,Aubert Côté,Paul Crête,Claude Gaumond,Gaston Hervieux,Denis Laflamme,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 19","Saint-Georges-de-Cacouna",31,1,74,10,6,49,1,172,310
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 20","Saint-Modeste",36,0,106,2,14,62,4,224,348
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 21","Saint-Modeste",22,0,120,6,19,40,3,210,401
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 22","Rivière-du-Loup",42,1,144,6,20,45,3,261,479
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 23","Rivière-du-Loup",34,0,155,11,18,43,3,264,472
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 24","Rivière-du-Loup",34,0,120,5,20,52,1,232,447
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 25","Rivière-du-Loup",34,0,112,2,23,52,6,229,424
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 26","Rivière-du-Loup",18,0,78,6,6,37,3,148,286
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 27","Rivière-du-Loup",15,0,103,3,13,30,3,167,280
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 28","Rivière-du-Loup",31,1,124,4,24,49,3,236,523
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 29","Rivière-du-Loup",23,1,128,10,29,55,7,253,459
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 30","Rivière-du-Loup",34,0,154,6,33,69,5,301,544
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 31","Rivière-du-Loup",24,0,132,5,17,45,6,229,418
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 32","Rivière-du-Loup",18,0,84,6,8,30,0,146,283
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 33","Rivière-du-Loup",20,0,113,4,14,45,1,197,389
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 34","Rivière-du-Loup",23,0,87,8,10,19,3,150,381
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 35","Rivière-du-Loup",25,0,79,7,17,38,5,171,344
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 36","Rivière-du-Loup",19,1,104,6,14,38,6,188,370
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 37","Saint-Patrice-de-la-Rivière-du-Loup",21,1,123,8,10,54,0,217,414
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 38","Rivière-du-Loup",19,0,140,5,17,28,4,213,490
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 39","Rivière-du-Loup",40,1,140,14,22,45,1,263,518
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 40","Rivière-du-Loup",24,1,66,5,7,31,1,135,267
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 40-1","Rivière-du-Loup",27,3,98,8,11,43,0,190,398
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 41","Rivière-du-Loup",29,0,120,5,18,36,3,211,471
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 42","Rivière-du-Loup",34,1,105,11,3,35,1,190,422
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 43","Rivière-du-Loup",25,0,62,5,11,41,0,144,273
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 44","Rivière-du-Loup",38,1,67,3,7,30,1,147,308
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 45","Rivière-du-Loup",23,0,94,7,17,52,7,200,425
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 46","Rivière-du-Loup",8,0,79,6,17,26,2,138,369
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 47","Rivière-du-Loup",48,0,138,10,16,49,5,266,454
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 48","Rivière-du-Loup",29,0,53,4,8,35,0,129,306
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 49","Rivière-du-Loup",33,0,119,3,27,58,4,244,508
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 50","Rivière-du-Loup",35,0,93,9,7,90,1,235,441
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 51","Rivière-du-Loup",43,0,77,3,13,47,1,184,375
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 52","Saint-Patrice-de-la-Rivière-du-Loup",42,0,132,4,9,52,0,239,400
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 52-1","Saint-Patrice-de-la-Rivière-du-Loup",37,0,167,8,24,73,4,313,537
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 53A","Saint-Patrice-de-la-Rivière-du-Loup",14,1,47,0,9,38,1,110,247
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 53B","Saint-Patrice-de-la-Rivière-du-Loup",23,0,65,2,15,31,1,137,323
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 54A","Rivière-du-Loup",18,0,70,2,3,34,0,127,296
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 54B","Rivière-du-Loup",29,0,72,4,8,49,0,162,311
