Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jacques Bouchard,Jean Dorion,Ryan Hillier,Danielle Moreau,Serge Patenaude,Lise St-Denis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 1","Boucherville",26,63,43,5,0,12,1,150,256
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 2","Boucherville",22,71,28,3,1,29,2,156,233
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 3","Boucherville",32,111,54,11,1,37,3,249,405
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 4","Boucherville",36,129,53,11,1,31,2,263,472
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 5","Boucherville",24,72,30,10,2,26,0,164,313
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 6","Boucherville",35,128,69,9,1,38,4,284,504
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 7","Boucherville",27,80,65,7,0,27,3,209,300
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 8","Boucherville",26,99,76,9,0,44,1,255,369
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 9","Boucherville",41,117,75,6,0,48,0,287,435
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 10","Boucherville",39,127,90,17,0,51,4,328,468
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 11","Boucherville",52,118,56,15,0,50,3,294,393
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 12","Boucherville",45,90,61,9,1,48,2,256,363
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 13","Boucherville",26,100,68,8,0,41,2,245,373
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 14","Boucherville",42,140,84,12,1,43,4,326,468
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 15","Boucherville",37,137,49,5,0,48,0,276,364
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 16","Boucherville",39,73,47,4,0,25,1,189,302
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 17","Boucherville",29,115,48,6,0,51,7,256,419
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 18","Boucherville",43,113,56,13,0,35,2,262,394
