Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Leahy,Andrew McKeever,Bev Oda,Bryan Ransom,Henry Zekveld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Durham/Durham"," 1","Uxbridge",38,28,134,64,2,1,267,398
35014,"Durham/Durham"," 1-1","Uxbridge",23,17,70,28,0,0,138,222
35014,"Durham/Durham"," 2","Uxbridge",41,11,138,42,2,0,234,419
35014,"Durham/Durham"," 3","Uxbridge",43,14,189,53,2,0,301,534
35014,"Durham/Durham"," 4","Uxbridge",26,18,171,53,5,0,273,501
35014,"Durham/Durham"," 5","Uxbridge",29,17,143,46,0,1,236,451
35014,"Durham/Durham"," 6","Uxbridge",39,21,183,56,3,0,302,507
35014,"Durham/Durham"," 7","Uxbridge",32,12,135,53,4,1,237,511
35014,"Durham/Durham"," 8","Uxbridge",27,9,115,45,0,2,198,371
35014,"Durham/Durham"," 9","Uxbridge",33,17,128,45,0,2,225,385
35014,"Durham/Durham"," 10","Uxbridge",45,19,163,69,3,0,299,477
35014,"Durham/Durham"," 11","Uxbridge",37,13,125,44,1,1,221,354
35014,"Durham/Durham"," 12A","Uxbridge",26,10,133,68,0,0,237,385
35014,"Durham/Durham"," 12B","Uxbridge",30,14,142,50,0,0,236,406
35014,"Durham/Durham"," 13","Uxbridge",42,17,128,50,1,1,239,399
35014,"Durham/Durham"," 14A","Uxbridge",20,12,70,40,0,0,142,328
35014,"Durham/Durham"," 14B","Uxbridge",27,9,84,50,2,2,174,338
35014,"Durham/Durham"," 15","Uxbridge",38,17,127,76,1,0,259,477
35014,"Durham/Durham"," 16","Uxbridge",29,19,209,56,2,1,316,534
35014,"Durham/Durham"," 17","Uxbridge",32,14,163,82,0,0,291,491
35014,"Durham/Durham"," 18","Uxbridge",46,14,134,57,0,0,251,504
35014,"Durham/Durham"," 19","Uxbridge",31,11,87,49,2,1,181,320
35014,"Durham/Durham"," 20A","Uxbridge",38,5,75,32,4,0,154,264
35014,"Durham/Durham"," 20B","Uxbridge",0,5,17,9,1,1,33,107
35014,"Durham/Durham"," 21","Uxbridge",24,15,138,61,2,1,241,498
35014,"Durham/Durham"," 22","Uxbridge",22,15,54,28,0,0,119,302
35014,"Durham/Durham"," 23","Uxbridge",27,11,122,54,1,0,215,362
35014,"Durham/Durham"," 24","Uxbridge",18,15,119,53,1,2,208,378
35014,"Durham/Durham"," 25","Uxbridge",28,9,141,55,2,0,235,413
35014,"Durham/Durham"," 25-1","Uxbridge",28,7,105,38,1,0,179,318
35014,"Durham/Durham"," 25-2","Uxbridge",27,14,115,64,4,1,225,401
35014,"Durham/Durham"," 26","Uxbridge",24,12,111,46,1,0,194,332
35014,"Durham/Durham"," 27","Uxbridge",38,17,173,62,2,0,292,476
35014,"Durham/Durham"," 28","Uxbridge",29,24,193,86,1,1,334,555
35014,"Durham/Durham"," 29","Uxbridge",29,8,129,47,0,0,213,405
35014,"Durham/Durham"," 30","Uxbridge",34,6,116,72,3,1,232,433
35014,"Durham/Durham"," 31","Scugog",42,19,142,53,5,4,265,470
35014,"Durham/Durham"," 32","Scugog",21,25,155,50,0,1,252,406
35014,"Durham/Durham"," 33","Scugog",34,14,143,40,1,0,232,531
35014,"Durham/Durham"," 34","Scugog",26,11,143,60,3,1,244,453
35014,"Durham/Durham"," 35","Scugog",23,9,107,39,3,0,181,352
35014,"Durham/Durham"," 36","Scugog",37,11,120,50,2,0,220,388
35014,"Durham/Durham"," 37A","Scugog",27,14,124,36,2,0,203,351
35014,"Durham/Durham"," 37B","Scugog",19,11,100,61,3,0,194,380
35014,"Durham/Durham"," 38","Scugog",45,12,100,56,1,0,214,368
35014,"Durham/Durham"," 39","Scugog",14,9,104,37,1,1,166,376
35014,"Durham/Durham"," 40","Scugog",30,19,140,52,3,2,246,400
35014,"Durham/Durham"," 41","Scugog",18,10,101,41,0,0,170,311
35014,"Durham/Durham"," 41-1","Scugog",35,8,98,35,4,1,181,315
35014,"Durham/Durham"," 42","Scugog",31,17,121,48,2,3,222,433
35014,"Durham/Durham"," 42-1","Scugog",35,11,92,49,2,0,189,314
35014,"Durham/Durham"," 43","Scugog",35,24,101,79,1,2,242,461
35014,"Durham/Durham"," 44","Scugog",30,11,156,76,3,0,276,471
35014,"Durham/Durham"," 45","Scugog",24,8,105,44,4,0,185,363
35014,"Durham/Durham"," 46","Scugog",26,10,111,39,1,0,187,356
35014,"Durham/Durham"," 47","Scugog",27,18,85,63,3,0,196,378
35014,"Durham/Durham"," 48","Scugog",21,20,69,33,2,0,145,302
35014,"Durham/Durham"," 49","Scugog",12,7,207,106,2,1,335,469
35014,"Durham/Durham"," 50A","Scugog",27,10,99,72,1,0,209,400
35014,"Durham/Durham"," 50B","Scugog",4,7,24,16,0,1,52,135
35014,"Durham/Durham"," 51","Scugog",24,17,85,52,0,2,180,330
35014,"Durham/Durham"," 52","Scugog",19,12,54,34,0,0,119,271
35014,"Durham/Durham"," 53","Scugog",20,22,66,26,1,0,135,274
35014,"Durham/Durham"," 54","Scugog",25,15,131,40,2,0,213,384
35014,"Durham/Durham"," 55","Scugog",20,11,64,33,0,1,129,264
35014,"Durham/Durham"," 56","Scugog",26,15,137,65,3,1,247,450
35014,"Durham/Durham"," 57","Scugog",35,11,111,52,1,0,210,454
35014,"Durham/Durham"," 58","Scugog",33,27,146,48,1,1,256,511
