Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Deb Ehmann,Patti Gieni,Imre Pallagi,Lynne Yelich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Blackstrap/Blackstrap"," 1A","Saskatoon",21,65,15,41,1,143,282
47002,"Blackstrap/Blackstrap"," 1B","Saskatoon",18,34,13,52,1,118,231
47002,"Blackstrap/Blackstrap"," 2","Saskatoon",48,88,27,68,1,232,407
47002,"Blackstrap/Blackstrap"," 3","Saskatoon",35,51,20,43,0,149,281
47002,"Blackstrap/Blackstrap"," 4","Saskatoon",39,98,12,59,0,208,358
47002,"Blackstrap/Blackstrap"," 5","Saskatoon",34,64,21,47,1,167,338
47002,"Blackstrap/Blackstrap"," 6","Saskatoon",34,52,27,54,2,169,362
47002,"Blackstrap/Blackstrap"," 7","Saskatoon",30,67,16,56,1,170,336
47002,"Blackstrap/Blackstrap"," 8","Saskatoon",25,83,21,68,2,199,365
47002,"Blackstrap/Blackstrap"," 9","Saskatoon",33,86,39,91,1,250,510
47002,"Blackstrap/Blackstrap"," 10","Saskatoon",20,84,13,73,1,191,345
47002,"Blackstrap/Blackstrap"," 11","Saskatoon",13,49,10,46,0,118,319
47002,"Blackstrap/Blackstrap"," 12","Saskatoon",9,43,6,32,0,90,192
47002,"Blackstrap/Blackstrap"," 13","Saskatoon",20,68,9,57,1,155,323
47002,"Blackstrap/Blackstrap"," 14","Saskatoon",40,82,19,81,1,223,472
47002,"Blackstrap/Blackstrap"," 15","Saskatoon",32,65,29,58,1,185,366
47002,"Blackstrap/Blackstrap"," 16","Saskatoon",22,64,6,58,1,151,299
47002,"Blackstrap/Blackstrap"," 17","Saskatoon",19,55,11,84,0,169,288
47002,"Blackstrap/Blackstrap"," 18","Saskatoon",29,73,29,84,0,215,449
47002,"Blackstrap/Blackstrap"," 19","Saskatoon",15,46,11,47,0,119,213
47002,"Blackstrap/Blackstrap"," 20","Saskatoon",28,80,26,83,0,217,373
47002,"Blackstrap/Blackstrap"," 21","Saskatoon",41,84,23,122,0,270,421
47002,"Blackstrap/Blackstrap"," 22","Saskatoon",37,67,23,89,2,218,355
47002,"Blackstrap/Blackstrap"," 23","Saskatoon",32,74,14,109,0,229,390
47002,"Blackstrap/Blackstrap"," 24","Saskatoon",31,75,12,78,2,198,361
47002,"Blackstrap/Blackstrap"," 25","Saskatoon",21,57,17,87,0,182,352
47002,"Blackstrap/Blackstrap"," 26A","Saskatoon",27,39,10,109,0,185,281
47002,"Blackstrap/Blackstrap"," 26B","Saskatoon",35,39,7,98,1,180,295
47002,"Blackstrap/Blackstrap"," 26-1","Saskatoon",18,8,2,87,0,115,194
47002,"Blackstrap/Blackstrap"," 27","Saskatoon",30,56,11,38,0,135,280
47002,"Blackstrap/Blackstrap"," 28","Saskatoon",33,68,16,56,1,174,346
47002,"Blackstrap/Blackstrap"," 29","Saskatoon",31,56,7,70,0,164,265
47002,"Blackstrap/Blackstrap"," 30","Saskatoon",33,57,5,79,0,174,285
47002,"Blackstrap/Blackstrap"," 31","Saskatoon",16,42,13,49,0,120,240
47002,"Blackstrap/Blackstrap"," 32","Saskatoon",13,56,6,50,1,126,299
47002,"Blackstrap/Blackstrap"," 33","Saskatoon",54,87,21,108,1,271,421
