Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sam Cino,Larry Di Ianni,David William Hart Dyke,Gord Hill,Wayne Marston,Frank Rukavina,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 1","Hamilton ",1,54,18,0,97,63,0,233,426
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 2","Hamilton ",1,47,20,7,97,45,2,219,396
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 3","Hamilton ",2,13,4,4,73,13,2,111,294
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 4","Hamilton ",1,11,8,2,61,23,0,106,270
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 5","Hamilton ",0,22,2,1,87,30,0,142,312
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 6","Hamilton ",0,23,10,3,92,23,1,152,337
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 7","Hamilton ",1,35,6,7,98,54,0,201,411
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 8","Hamilton ",2,39,8,5,112,28,1,195,376
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 9","Hamilton ",2,45,5,0,87,22,4,165,345
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 10","Hamilton ",0,10,1,3,65,14,1,94,417
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 11","Hamilton ",1,23,5,3,67,30,0,129,414
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 12","Hamilton ",2,11,3,2,85,10,2,115,315
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 13","Hamilton ",6,25,7,3,105,43,0,189,348
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 14","Hamilton ",1,22,14,3,94,24,0,158,332
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 15","Hamilton ",2,26,3,0,65,13,2,111,290
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 16","Hamilton ",2,37,2,0,66,39,2,148,293
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 17","Hamilton ",1,25,6,1,97,19,1,150,325
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 18","Hamilton ",0,26,6,4,75,33,0,144,337
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 19","Hamilton ",1,28,9,5,105,29,2,179,402
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 20","Hamilton ",3,38,13,6,82,39,3,184,416
35032,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 21","Hamilton ",0,13,8,3,71,13,1,109,334
