Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,France Bonsant,Gary Caldwell,Michel Gagné,William Hogg,Jean Rousseau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24017,"Compton--Stanstead/Compton--Stanstead"," 1","Saint-Gérard",120,4,71,43,25,8,271,504
24017,"Compton--Stanstead/Compton--Stanstead"," 2","Weedon",90,4,43,43,12,4,196,427
24017,"Compton--Stanstead/Compton--Stanstead"," 3","Weedon",92,4,54,30,30,4,214,429
24017,"Compton--Stanstead/Compton--Stanstead"," 4A","Weedon",82,7,32,25,11,3,160,338
24017,"Compton--Stanstead/Compton--Stanstead"," 4B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,9
24017,"Compton--Stanstead/Compton--Stanstead"," 5","Weedon",102,6,44,37,31,2,222,481
24017,"Compton--Stanstead/Compton--Stanstead"," 6","Gould",70,5,68,37,22,2,204,302
24017,"Compton--Stanstead/Compton--Stanstead"," 7","Hampden",69,19,35,22,14,2,161,277
24017,"Compton--Stanstead/Compton--Stanstead"," 8","Scotstown",84,5,42,39,16,3,189,346
24017,"Compton--Stanstead/Compton--Stanstead"," 9","Ditton",96,13,56,30,25,4,224,401
24017,"Compton--Stanstead/Compton--Stanstead"," 10","La Patrie",53,3,39,24,13,2,134,228
24017,"Compton--Stanstead/Compton--Stanstead"," 11","Chartierville",65,12,53,34,10,1,175,298
24017,"Compton--Stanstead/Compton--Stanstead"," 12","Dudswell",56,13,24,26,21,5,145,235
24017,"Compton--Stanstead/Compton--Stanstead"," 13","Dudswell",126,4,37,44,32,3,246,404
24017,"Compton--Stanstead/Compton--Stanstead"," 14","Dudswell",80,8,48,33,29,4,202,334
24017,"Compton--Stanstead/Compton--Stanstead"," 15","Dudswell",90,5,37,35,27,1,195,384
24017,"Compton--Stanstead/Compton--Stanstead"," 16","Bury",89,19,64,55,36,5,268,504
24017,"Compton--Stanstead/Compton--Stanstead"," 17","Bury",78,14,53,79,32,4,260,467
24017,"Compton--Stanstead/Compton--Stanstead"," 18","Westbury",74,10,37,46,17,2,186,371
24017,"Compton--Stanstead/Compton--Stanstead"," 19","Westbury",99,0,27,30,26,3,185,384
24017,"Compton--Stanstead/Compton--Stanstead"," 20","East Angus",91,7,17,18,20,1,154,383
24017,"Compton--Stanstead/Compton--Stanstead"," 21","East Angus",81,6,30,37,14,6,174,337
24017,"Compton--Stanstead/Compton--Stanstead"," 22","East Angus",82,0,20,14,8,1,125,313
24017,"Compton--Stanstead/Compton--Stanstead"," 23","East Angus",68,4,19,24,15,1,131,308
24017,"Compton--Stanstead/Compton--Stanstead"," 24","East Angus",89,6,41,30,18,3,187,417
24017,"Compton--Stanstead/Compton--Stanstead"," 25","East Angus",86,5,19,16,15,1,142,368
24017,"Compton--Stanstead/Compton--Stanstead"," 26","East Angus",75,4,11,36,11,4,141,339
24017,"Compton--Stanstead/Compton--Stanstead"," 27","East Angus",55,5,20,23,15,1,119,266
24017,"Compton--Stanstead/Compton--Stanstead"," 28","Ascot Corner",158,16,40,33,25,0,272,484
24017,"Compton--Stanstead/Compton--Stanstead"," 29","Ascot Corner",125,10,53,35,44,10,277,510
24017,"Compton--Stanstead/Compton--Stanstead"," 30","Ascot Corner",159,9,52,32,23,4,279,521
24017,"Compton--Stanstead/Compton--Stanstead"," 31","Ascot Corner",133,11,47,49,26,0,266,512
24017,"Compton--Stanstead/Compton--Stanstead"," 32","Stoke",155,10,38,40,37,6,286,469
24017,"Compton--Stanstead/Compton--Stanstead"," 33","Stoke",139,20,40,30,45,7,281,448
24017,"Compton--Stanstead/Compton--Stanstead"," 34","Stoke",73,5,37,18,17,2,152,292
24017,"Compton--Stanstead/Compton--Stanstead"," 35","Stoke",Void/Supprimé,,,,,,,
24017,"Compton--Stanstead/Compton--Stanstead"," 36","Stoke",116,9,35,20,25,5,210,354
24017,"Compton--Stanstead/Compton--Stanstead"," 37","Stoke",135,7,61,36,41,4,284,503
24017,"Compton--Stanstead/Compton--Stanstead"," 38","Cookshire-Eaton",116,17,71,71,20,2,297,529
24017,"Compton--Stanstead/Compton--Stanstead"," 39","Cookshire-Eaton",131,15,48,50,40,5,289,475
24017,"Compton--Stanstead/Compton--Stanstead"," 40","Cookshire-Eaton",80,10,43,39,21,1,194,344
24017,"Compton--Stanstead/Compton--Stanstead"," 41","Cookshire-Eaton",56,15,45,58,12,1,187,342
24017,"Compton--Stanstead/Compton--Stanstead"," 42","Sawyerville",50,13,40,53,29,4,189,326
24017,"Compton--Stanstead/Compton--Stanstead"," 43","Sawyerville",43,7,67,42,15,0,174,290
24017,"Compton--Stanstead/Compton--Stanstead"," 44","Cookshire-Eaton",137,12,33,48,21,1,252,442
24017,"Compton--Stanstead/Compton--Stanstead"," 45","Cookshire",94,9,48,40,22,4,217,403
24017,"Compton--Stanstead/Compton--Stanstead"," 46","Cookshire",62,3,35,12,25,5,142,341
24017,"Compton--Stanstead/Compton--Stanstead"," 47","Cookshire",107,15,40,39,32,3,236,461
24017,"Compton--Stanstead/Compton--Stanstead"," 48","Newport",44,18,59,56,18,0,195,284
