Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ralph Goodale,Michelle Hunter,Stephen Moore,George-Richard Wooldridge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Wascana/Wascana"," 1","Regina",63,41,28,15,0,147,410
47013,"Wascana/Wascana"," 2","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 3","Regina",63,61,58,20,0,202,506
47013,"Wascana/Wascana"," 4","Regina",32,20,27,5,0,84,304
47013,"Wascana/Wascana"," 5","Regina",47,27,30,8,0,112,327
47013,"Wascana/Wascana"," 6","Regina",86,32,43,18,2,181,339
47013,"Wascana/Wascana"," 7","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 8","Regina",108,48,51,23,2,232,518
47013,"Wascana/Wascana"," 9","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 10","Regina",84,39,38,8,1,170,366
47013,"Wascana/Wascana"," 11","Regina",77,32,27,20,0,156,376
47013,"Wascana/Wascana"," 12","Regina",135,55,67,22,0,279,425
47013,"Wascana/Wascana"," 13","Regina",110,41,36,24,1,212,407
47013,"Wascana/Wascana"," 14","Regina",52,30,41,21,2,146,309
47013,"Wascana/Wascana"," 15","Regina",151,92,52,9,1,305,524
47013,"Wascana/Wascana"," 16","Regina",79,46,33,23,1,182,377
47013,"Wascana/Wascana"," 17","Regina",92,17,22,19,2,152,280
47013,"Wascana/Wascana"," 18","Regina",103,40,33,8,0,184,341
47013,"Wascana/Wascana"," 18-1","Regina",80,61,37,13,1,192,382
47013,"Wascana/Wascana"," 18-2","Regina",40,34,15,10,0,99,233
47013,"Wascana/Wascana"," 19","Regina",93,52,20,14,0,179,322
47013,"Wascana/Wascana"," 20","Regina",100,57,33,15,0,205,316
47013,"Wascana/Wascana"," 21","Regina",57,72,31,8,1,169,352
47013,"Wascana/Wascana"," 22","Regina",73,60,46,8,0,187,359
47013,"Wascana/Wascana"," 23","Regina",88,65,47,11,0,211,356
47013,"Wascana/Wascana"," 24","Regina",60,81,38,14,1,194,369
47013,"Wascana/Wascana"," 25","Regina",48,78,51,7,0,184,416
47013,"Wascana/Wascana"," 26","Regina",57,67,45,9,2,180,340
47013,"Wascana/Wascana"," 27","Regina",58,70,36,7,0,171,390
47013,"Wascana/Wascana"," 28","Regina",65,71,38,1,1,176,340
47013,"Wascana/Wascana"," 29","Regina",62,60,47,9,2,180,358
47013,"Wascana/Wascana"," 29-1","Regina",68,46,45,7,1,167,311
47013,"Wascana/Wascana"," 30","Regina",82,75,49,6,0,212,402
47013,"Wascana/Wascana"," 31","Regina",51,54,33,10,1,149,376
47013,"Wascana/Wascana"," 32","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 33","Regina",78,40,51,5,0,174,341
47013,"Wascana/Wascana"," 34","Regina",79,69,28,5,0,181,373
47013,"Wascana/Wascana"," 34-1","Regina",41,42,20,4,0,107,373
47013,"Wascana/Wascana"," 35","Regina",59,64,29,11,0,163,322
47013,"Wascana/Wascana"," 36","Regina",84,99,40,7,0,230,394
47013,"Wascana/Wascana"," 37","Regina",105,93,32,13,0,243,433
47013,"Wascana/Wascana"," 38","Regina",121,98,39,10,1,269,444
47013,"Wascana/Wascana"," 39","Regina",114,104,58,11,0,287,507
47013,"Wascana/Wascana"," 40","Regina",53,77,32,8,0,170,304
47013,"Wascana/Wascana"," 40-1","Regina",59,81,24,3,0,167,300
47013,"Wascana/Wascana"," 41","Regina",68,59,46,12,0,185,362
47013,"Wascana/Wascana"," 42","Regina",71,82,29,17,0,199,366
47013,"Wascana/Wascana"," 43","Regina",102,105,50,5,0,262,429
47013,"Wascana/Wascana"," 44","Regina",86,74,18,4,0,182,298
47013,"Wascana/Wascana"," 44-1","Regina",84,108,25,9,0,226,393
47013,"Wascana/Wascana"," 45","Regina",51,48,41,9,0,149,304
47013,"Wascana/Wascana"," 46","Regina",113,92,59,14,1,279,570
47013,"Wascana/Wascana"," 47","Regina",64,79,30,2,0,175,286
47013,"Wascana/Wascana"," 48","Regina",60,57,56,15,2,190,436
47013,"Wascana/Wascana"," 49","Regina",26,29,22,2,0,79,226
47013,"Wascana/Wascana"," 50","Regina",38,34,49,6,1,128,278
47013,"Wascana/Wascana"," 51","Regina",56,39,36,21,0,152,323
47013,"Wascana/Wascana"," 52","Regina",67,44,64,16,1,192,385
47013,"Wascana/Wascana"," 53","Regina",49,32,37,21,1,140,244
47013,"Wascana/Wascana"," 54","Regina",93,59,53,24,3,232,437
47013,"Wascana/Wascana"," 55","Regina",71,44,48,10,2,175,338
47013,"Wascana/Wascana"," 56","Regina",54,28,29,10,1,122,273
47013,"Wascana/Wascana"," 57","Regina",80,48,30,2,0,160,292
47013,"Wascana/Wascana"," 58","Regina",112,36,43,16,2,209,405
47013,"Wascana/Wascana"," 59","Regina",76,57,51,22,1,207,393
47013,"Wascana/Wascana"," 60","Regina",63,65,32,14,0,174,332
47013,"Wascana/Wascana"," 61","Regina",55,46,38,9,0,148,332
47013,"Wascana/Wascana"," 62","Regina",25,32,8,9,0,74,182
47013,"Wascana/Wascana"," 63","Regina",51,35,43,4,0,133,362
47013,"Wascana/Wascana"," 64","Regina",46,42,17,4,1,110,212
47013,"Wascana/Wascana"," 65","Regina",62,54,35,4,0,155,283
47013,"Wascana/Wascana"," 66","Regina",52,44,22,8,1,127,268
47013,"Wascana/Wascana"," 67","Regina",82,50,24,14,0,170,282
47013,"Wascana/Wascana"," 68","Regina",101,47,28,13,1,190,310
47013,"Wascana/Wascana"," 69","Regina",76,60,37,12,0,185,304
47013,"Wascana/Wascana"," 70","Regina",141,75,38,17,0,271,392
47013,"Wascana/Wascana"," 71","Regina",81,51,31,8,0,171,257
47013,"Wascana/Wascana"," 72","Regina",97,42,27,10,0,176,297
47013,"Wascana/Wascana"," 73","Regina",118,70,19,8,0,215,365
47013,"Wascana/Wascana"," 74","Regina",128,127,38,13,0,306,481
47013,"Wascana/Wascana"," 74-1","Regina",119,104,23,12,0,258,429
47013,"Wascana/Wascana"," 75","Regina",148,119,45,13,0,325,509
47013,"Wascana/Wascana"," 75-1A","Regina",100,148,27,7,1,283,474
47013,"Wascana/Wascana"," 75-1B","Regina",98,133,25,7,0,263,449
47013,"Wascana/Wascana"," 76","Regina",177,105,14,12,1,309,502
47013,"Wascana/Wascana"," 77","Regina",149,109,41,17,0,316,505
47013,"Wascana/Wascana"," 78","Regina",105,106,26,10,1,248,384
47013,"Wascana/Wascana"," 79","Regina",56,58,17,7,0,138,226
47013,"Wascana/Wascana"," 80","Regina",117,122,26,8,0,273,441
47013,"Wascana/Wascana"," 81","Regina",123,98,21,3,1,246,373
47013,"Wascana/Wascana"," 81-1","Regina",86,72,13,6,0,177,319
47013,"Wascana/Wascana"," 82","Regina",166,166,31,10,1,374,533
47013,"Wascana/Wascana"," 82-1","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 83","Regina",161,103,21,7,0,292,474
47013,"Wascana/Wascana"," 84","Regina",176,73,11,9,1,270,421
47013,"Wascana/Wascana"," 85","Regina",105,110,30,9,0,254,407
47013,"Wascana/Wascana"," 86","Regina",168,121,27,11,0,327,460
47013,"Wascana/Wascana"," 87","Regina",139,103,24,9,1,276,418
47013,"Wascana/Wascana"," 88","Regina",138,111,21,1,1,272,372
47013,"Wascana/Wascana"," 89","Regina",108,98,24,5,2,237,372
47013,"Wascana/Wascana"," 90","Regina",187,113,22,5,2,329,474
47013,"Wascana/Wascana"," 91","Regina",113,72,12,4,0,201,317
47013,"Wascana/Wascana"," 92","Regina",145,60,14,14,0,233,338
47013,"Wascana/Wascana"," 92-1","Regina",109,60,22,2,1,194,263
47013,"Wascana/Wascana"," 93","Regina",140,60,34,11,0,245,380
47013,"Wascana/Wascana"," 94","Regina",116,51,21,8,0,196,294
47013,"Wascana/Wascana"," 95","Regina",111,51,23,11,0,196,294
47013,"Wascana/Wascana"," 96A","Regina",122,46,24,9,0,201,286
47013,"Wascana/Wascana"," 96B","Mobile poll/Bureau itinérant",Merged with No. 416/Fusionné avec le nº 416,,,,,,19
47013,"Wascana/Wascana"," 97","Regina",97,42,38,11,0,188,349
47013,"Wascana/Wascana"," 98","Regina",138,80,19,12,0,249,357
47013,"Wascana/Wascana"," 99","Regina",86,43,25,11,1,166,277
47013,"Wascana/Wascana"," 100","Regina",45,40,29,12,1,127,257
47013,"Wascana/Wascana"," 101","Regina",42,53,25,18,0,138,323
47013,"Wascana/Wascana"," 101-1","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 102","Regina",58,53,33,21,1,166,402
47013,"Wascana/Wascana"," 103","Regina",131,80,29,9,1,250,394
47013,"Wascana/Wascana"," 104","Regina",70,121,72,28,0,291,417
47013,"Wascana/Wascana"," 105","Regina",113,64,15,2,1,195,292
47013,"Wascana/Wascana"," 106","Regina",129,94,17,9,2,251,349
47013,"Wascana/Wascana"," 107","Regina",84,90,20,10,0,204,406
47013,"Wascana/Wascana"," 108","Regina",119,66,15,4,0,204,296
47013,"Wascana/Wascana"," 109","Regina",139,62,18,12,0,231,357
47013,"Wascana/Wascana"," 110","Regina",98,91,24,6,0,219,334
47013,"Wascana/Wascana"," 111","Regina",95,80,10,5,0,190,309
47013,"Wascana/Wascana"," 112","Regina",100,56,11,9,0,176,300
47013,"Wascana/Wascana"," 113","Regina",Void/Supprimé,,,,,,
47013,"Wascana/Wascana"," 114","Regina",126,78,19,8,0,231,375
47013,"Wascana/Wascana"," 115","Regina",142,93,14,9,0,258,404
47013,"Wascana/Wascana"," 116","Regina",108,88,27,8,0,231,336
47013,"Wascana/Wascana"," 117","Regina",166,126,22,8,0,322,477
47013,"Wascana/Wascana"," 118","Regina",135,68,22,5,0,230,339
47013,"Wascana/Wascana"," 119","Regina",153,82,12,4,0,251,412
47013,"Wascana/Wascana"," 119-1","Regina",147,106,7,6,1,267,448
47013,"Wascana/Wascana"," 120","Regina",153,156,15,5,2,331,533
47013,"Wascana/Wascana"," 121","Regina",123,123,17,12,0,275,451
47013,"Wascana/Wascana"," 122","Regina",42,34,24,10,0,110,231
47013,"Wascana/Wascana"," 123","Regina",84,65,20,15,0,184,279
47013,"Wascana/Wascana"," 124","Regina",102,50,19,5,2,178,256
47013,"Wascana/Wascana"," 125","Regina",124,67,19,7,0,217,328
47013,"Wascana/Wascana"," 126","Regina",132,37,25,10,0,204,325
47013,"Wascana/Wascana"," 127","Regina",122,58,17,10,1,208,313
47013,"Wascana/Wascana"," 128","Regina",101,75,22,8,2,208,317
