Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Hrynkow,Jim Maloway,Wes Penner,Robert Scott,Thomas Steen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 23","Winnipeg",12,72,8,2,53,2,149,296
46005,"Elmwood--Transcona/Elmwood--Transcona"," 24","Winnipeg",12,63,7,0,43,1,126,250
46005,"Elmwood--Transcona/Elmwood--Transcona"," 25","Winnipeg",10,89,11,2,65,2,179,334
46005,"Elmwood--Transcona/Elmwood--Transcona"," 26","Winnipeg",12,74,15,0,75,2,178,339
46005,"Elmwood--Transcona/Elmwood--Transcona"," 27","Winnipeg",13,53,5,1,52,0,124,254
46005,"Elmwood--Transcona/Elmwood--Transcona"," 28","Winnipeg",10,66,10,0,49,0,135,268
46005,"Elmwood--Transcona/Elmwood--Transcona"," 29","Winnipeg",10,70,6,0,47,1,134,300
46005,"Elmwood--Transcona/Elmwood--Transcona"," 30","Winnipeg",16,75,12,0,55,1,159,335
46005,"Elmwood--Transcona/Elmwood--Transcona"," 31","Winnipeg",11,62,16,2,57,1,149,249
46005,"Elmwood--Transcona/Elmwood--Transcona"," 32","Winnipeg",11,51,7,0,45,1,115,329
46005,"Elmwood--Transcona/Elmwood--Transcona"," 33","Winnipeg",14,71,18,1,63,1,168,333
46005,"Elmwood--Transcona/Elmwood--Transcona"," 34","Winnipeg",7,53,12,0,52,0,124,377
46005,"Elmwood--Transcona/Elmwood--Transcona"," 35","Winnipeg",10,51,9,1,44,0,115,385
46005,"Elmwood--Transcona/Elmwood--Transcona"," 36","Winnipeg",5,78,4,3,55,0,145,373
46005,"Elmwood--Transcona/Elmwood--Transcona"," 37","Winnipeg",7,66,10,2,63,1,149,342
46005,"Elmwood--Transcona/Elmwood--Transcona"," 38","Winnipeg",13,43,7,2,42,2,109,305
46005,"Elmwood--Transcona/Elmwood--Transcona"," 39","Winnipeg",15,99,12,1,36,0,163,447
46005,"Elmwood--Transcona/Elmwood--Transcona"," 40","Winnipeg",9,71,6,1,30,0,117,363
46005,"Elmwood--Transcona/Elmwood--Transcona"," 41","Winnipeg",2,60,6,0,47,1,116,319
46005,"Elmwood--Transcona/Elmwood--Transcona"," 42","Winnipeg",10,70,9,3,55,2,149,284
46005,"Elmwood--Transcona/Elmwood--Transcona"," 43","Winnipeg",9,87,14,0,45,0,155,328
46005,"Elmwood--Transcona/Elmwood--Transcona"," 44","Winnipeg",19,77,14,3,50,2,165,370
46005,"Elmwood--Transcona/Elmwood--Transcona"," 45","Winnipeg",6,119,13,3,109,2,252,472
46005,"Elmwood--Transcona/Elmwood--Transcona"," 46","Winnipeg",8,103,11,1,80,0,203,355
46005,"Elmwood--Transcona/Elmwood--Transcona"," 47","Winnipeg",12,80,19,1,79,0,191,370
46005,"Elmwood--Transcona/Elmwood--Transcona"," 48","Winnipeg",8,87,15,0,57,0,167,294
46005,"Elmwood--Transcona/Elmwood--Transcona"," 49","Winnipeg",14,87,11,2,80,0,194,355
46005,"Elmwood--Transcona/Elmwood--Transcona"," 50","Winnipeg",6,54,7,3,46,0,116,311
46005,"Elmwood--Transcona/Elmwood--Transcona"," 51","Winnipeg",7,87,10,1,65,1,171,308
