Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Bill Greenberg,Paul Taillefer,Larry Verner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Timmins--James Bay/Timmins--Baie James"," 146","Kenogami Lake",116,35,15,6,1,173,306
35092,"Timmins--James Bay/Timmins--Baie James"," 147","Dane",95,20,15,17,1,148,235
35092,"Timmins--James Bay/Timmins--Baie James"," 148","Dobie",118,26,10,2,0,156,287
35092,"Timmins--James Bay/Timmins--Baie James"," 149","Larder Lake",107,19,14,6,1,147,272
35092,"Timmins--James Bay/Timmins--Baie James"," 150","Kearns",69,23,9,6,1,108,223
35092,"Timmins--James Bay/Timmins--Baie James"," 151","Virginiatown",117,37,26,2,4,186,331
35092,"Timmins--James Bay/Timmins--Baie James"," 152","Larder Lake",117,31,15,6,1,170,325
35092,"Timmins--James Bay/Timmins--Baie James"," 153","Kirkland Lake",93,20,20,7,0,140,315
35092,"Timmins--James Bay/Timmins--Baie James"," 154","Kirkland Lake",114,14,10,5,1,144,361
35092,"Timmins--James Bay/Timmins--Baie James"," 155","Kirkland Lake",80,20,11,3,0,114,264
35092,"Timmins--James Bay/Timmins--Baie James"," 156","Kirkland Lake",97,25,10,3,0,135,317
35092,"Timmins--James Bay/Timmins--Baie James"," 157","Kirkland Lake",60,14,8,2,0,84,221
35092,"Timmins--James Bay/Timmins--Baie James"," 158","Kirkland Lake",37,9,14,4,0,64,248
35092,"Timmins--James Bay/Timmins--Baie James"," 159","Kirkland Lake",65,14,6,3,0,88,287
35092,"Timmins--James Bay/Timmins--Baie James"," 160","Kirkland Lake",90,14,14,3,0,121,321
35092,"Timmins--James Bay/Timmins--Baie James"," 161","Kirkland Lake",58,14,10,1,0,83,348
35092,"Timmins--James Bay/Timmins--Baie James"," 162","Kirkland Lake",47,9,17,1,0,74,228
35092,"Timmins--James Bay/Timmins--Baie James"," 163","Kirkland Lake",58,16,12,3,0,89,283
35092,"Timmins--James Bay/Timmins--Baie James"," 164","Kirkland Lake",37,7,9,0,0,53,195
35092,"Timmins--James Bay/Timmins--Baie James"," 165","Kirkland Lake",101,23,18,4,0,146,382
35092,"Timmins--James Bay/Timmins--Baie James"," 166","Kirkland Lake",83,18,14,4,0,119,295
35092,"Timmins--James Bay/Timmins--Baie James"," 167","Kirkland Lake",75,9,12,2,0,98,298
35092,"Timmins--James Bay/Timmins--Baie James"," 168","Kirkland Lake",95,24,14,2,0,135,377
35092,"Timmins--James Bay/Timmins--Baie James"," 169","Kirkland Lake",77,14,11,3,0,105,299
35092,"Timmins--James Bay/Timmins--Baie James"," 170","Kirkland Lake",95,11,13,2,0,121,352
35092,"Timmins--James Bay/Timmins--Baie James"," 171","Kirkland Lake",105,28,17,4,0,154,462
35092,"Timmins--James Bay/Timmins--Baie James"," 172","Kirkland Lake",123,30,17,6,2,178,422
35092,"Timmins--James Bay/Timmins--Baie James"," 173","Kirkland Lake",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 174","Gowganda",30,10,2,1,0,43,58
35092,"Timmins--James Bay/Timmins--Baie James"," 175","James",148,75,24,6,0,253,388
35092,"Timmins--James Bay/Timmins--Baie James"," 176","Zeta",43,10,6,8,0,67,118
35092,"Timmins--James Bay/Timmins--Baie James"," 177","Chamberlain",93,37,6,2,0,138,220
35092,"Timmins--James Bay/Timmins--Baie James"," 178","Dack",76,50,8,2,0,136,259
35092,"Timmins--James Bay/Timmins--Baie James"," 179","Englehart",65,24,8,0,0,97,176
35092,"Timmins--James Bay/Timmins--Baie James"," 180","Englehart",131,69,17,1,0,218,398
35092,"Timmins--James Bay/Timmins--Baie James"," 181","Englehart",138,52,17,4,3,214,429
35092,"Timmins--James Bay/Timmins--Baie James"," 182","Englehart",146,44,24,4,1,219,453
35092,"Timmins--James Bay/Timmins--Baie James"," 183","Evanturel",86,42,14,4,0,146,275
35092,"Timmins--James Bay/Timmins--Baie James"," 184","Hilliard",91,22,14,8,0,135,271
35092,"Timmins--James Bay/Timmins--Baie James"," 185","Earlton",63,17,42,3,0,125,263
35092,"Timmins--James Bay/Timmins--Baie James"," 186","Earlton",91,12,35,2,0,140,296
35092,"Timmins--James Bay/Timmins--Baie James"," 187","Earlton",86,21,34,2,0,143,311
35092,"Timmins--James Bay/Timmins--Baie James"," 188","Charlton",95,40,5,9,0,149,294
35092,"Timmins--James Bay/Timmins--Baie James"," 189","Cane",103,27,9,8,0,147,265
35092,"Timmins--James Bay/Timmins--Baie James"," 190","Kerns",137,34,21,3,0,195,399
35092,"Timmins--James Bay/Timmins--Baie James"," 191","Hanbury",102,28,25,3,0,158,317
35092,"Timmins--James Bay/Timmins--Baie James"," 192","Brethour",100,32,37,6,0,175,332
35092,"Timmins--James Bay/Timmins--Baie James"," 500","Mobile poll/Bureau itinérant",37,14,43,1,4,99,306
