Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Catherine Forbes,Bernard Garneau,Denis Lebel,Claude Pilote,Jocelyn Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 1","Saint-Thomas-Didyme",8,17,66,64,6,2,163,265
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 2","Saint-Thomas-Didyme",3,17,58,92,6,6,182,321
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 3","Saint-Edmond",3,28,82,60,10,2,185,344
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 4","Girardville",3,21,57,64,3,0,148,246
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 5","Girardville",12,9,53,31,3,1,109,207
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 6","Girardville",6,11,45,40,4,3,109,199
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 7","Girardville",14,25,72,30,3,2,146,263
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 8","Albanel",5,7,34,57,1,0,104,248
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 9","Albanel",15,17,69,87,4,2,194,441
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 10","Albanel",12,19,48,69,9,2,159,319
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 11","Albanel",9,18,56,52,3,3,141,246
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 12","Albanel",5,22,58,77,5,2,169,278
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 13","Albanel",5,17,63,33,3,0,121,222
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 14","Normandin",11,34,97,78,9,1,230,409
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 15","Normandin",7,29,76,64,6,3,185,353
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 16","Normandin",3,28,63,74,4,6,178,339
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 17","Normandin",7,28,82,67,4,4,192,343
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 18","Normandin",6,25,97,65,9,0,202,396
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 19","Normandin",8,38,96,86,7,6,241,437
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 20","Normandin",4,20,66,32,2,0,124,230
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 21","Saint-Félicien",3,11,36,38,4,0,92,160
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 22","Saint-Félicien",19,34,76,101,1,1,232,463
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 23","Saint-Méthode",10,27,114,124,2,1,278,517
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 24","Sainte-Élisabeth-de-Proulx",7,3,15,33,2,3,63,131
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 25","Sainte-Jeanne-d'Arc",7,26,86,96,6,2,223,423
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 26","Sainte-Jeanne-d'Arc",18,24,115,73,4,3,237,452
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 27","Péribonka",12,30,70,125,6,1,244,416
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 28","Saint-Augustin",1,13,71,51,2,1,139,302
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 29","Saint-Ludger-de-Milot",12,19,89,87,2,4,213,389
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 30","Saint-Ludger-de-Milot",6,11,41,43,2,0,103,211
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 31","Sainte-Monique",12,16,48,60,2,3,141,304
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 32","Sainte-Monique",12,17,81,86,3,2,201,385
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 33","Saint-Henri-de-Taillon",22,21,109,113,5,1,271,434
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 34","Saint-Henri-de-Taillon",3,5,28,43,8,1,88,167
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 35","L'Ascension",8,13,35,43,1,1,101,278
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 36","L'Ascension",3,11,65,36,0,1,116,260
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 37","L'Ascension",Void/Supprimé,,,,,,,
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 38","L'Ascension",11,32,90,107,9,7,256,579
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 39","L'Ascension-de-Notre-Seigneur",9,6,58,70,5,4,152,333
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 40","Lamarche",23,40,81,78,10,1,233,405
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 41","Labrecque",20,22,93,111,4,3,253,521
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 42","Labrecque",20,14,93,113,9,3,252,456
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 43","Saint-Nazaire",16,19,109,86,4,2,236,457
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 44","Saint-Nazaire",10,11,37,63,6,3,130,277
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 45","Saint-Nazaire",17,16,75,90,6,4,208,404
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 46","Saint-Nazaire",11,22,76,87,6,5,207,362
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 47","Notre-Dame-de-Lorette",1,4,32,37,1,0,75,180
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 48","Saint-Stanislas",3,10,67,55,2,4,141,255
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 49","Saint-Eugène-d'Argentenay",11,17,78,105,2,1,214,443
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 50","Dolbeau-Mistassini",10,41,106,106,4,3,270,553
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 51","Dolbeau-Mistassini",13,24,71,112,9,2,231,507
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 52","Dolbeau-Mistassini",5,11,52,87,2,1,158,359
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 53","Dolbeau-Mistassini",8,22,31,48,4,1,114,256
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 54","Dolbeau-Mistassini",7,30,81,95,4,0,217,422
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 55","Dolbeau-Mistassini",12,18,86,63,3,3,185,403
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 56","Dolbeau-Mistassini",22,31,136,106,4,3,302,591
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 57","Dolbeau-Mistassini",16,28,108,75,4,0,231,413
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 58","Dolbeau-Mistassini",5,10,60,76,3,2,156,359
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 59","Dolbeau-Mistassini",1,20,61,76,2,1,161,378
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 60","Dolbeau-Mistassini",9,10,46,73,3,0,141,386
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 61","Dolbeau-Mistassini",3,17,57,57,1,1,136,337
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 62","Dolbeau-Mistassini",4,16,96,89,1,3,209,496
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 63","Dolbeau-Mistassini",8,24,66,93,2,4,197,455
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 64","Dolbeau-Mistassini",9,25,92,97,4,3,230,423
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 65","Dolbeau-Mistassini",3,13,53,52,1,1,123,331
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 66","Dolbeau-Mistassini",8,12,52,71,5,2,150,369
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 67","Dolbeau-Mistassini",11,23,80,71,3,1,189,430
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 68","Dolbeau-Mistassini",2,12,56,62,0,0,132,345
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 69","Dolbeau-Mistassini",4,13,57,36,2,1,113,314
24060,"Roberval--Lac-Saint-Jean/Roberval--Lac-Saint-Jean"," 70","Dolbeau-Mistassini",8,14,71,73,3,1,170,357
