Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Andrew Carrière,Brendan Daniel Hughes,Bruce Hyer,Don McArthur,Bev Sarafin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 1","Armstrong",6,7,38,37,38,1,127,353
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 2","Collins",2,3,5,2,2,1,15,23
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 3","Gull River 55",0,5,24,17,0,0,46,141
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 4","Jellicoe",1,2,18,7,24,1,53,120
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 5","Beardmore",1,5,30,9,26,0,71,247
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 6","Nipigon",1,7,26,5,17,0,56,138
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 7","Lake Helen 53A",3,3,41,15,9,0,71,155
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 8","Nipigon",1,7,60,41,49,0,158,367
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 8-1","Nipigon",2,9,23,23,27,0,84,263
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 9","Nipigon",2,4,65,26,28,3,128,320
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 10","Nipigon",0,6,36,24,32,2,100,230
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 11","Red Rock",0,0,21,7,10,0,38,95
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 12A","Red Rock",3,4,53,33,26,1,120,246
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 12B","Red Rock",0,6,61,31,21,0,119,230
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 13","Red Rock",0,4,30,25,22,0,81,155
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 14","Hurkett",0,1,64,11,18,0,94,196
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 15","Dorion",3,4,82,20,48,0,157,325
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 16","Macdiarmid",1,5,18,7,10,0,41,129
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 17","Aroland",4,4,48,16,4,1,77,239
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 18","Greenstone-Nakina",0,9,75,36,38,0,158,413
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 19","Greenstone-Geraldton",1,7,47,25,39,0,119,260
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 20A","Greenstone-Geraldton",0,7,33,34,37,0,111,201
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 20B","Mobile poll/Bureau itinérant",Merged with No. 20D/Fusionné avec le nº 20D,,,,,,,21
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 20C","Mobile poll/Bureau itinérant",Merged with No. 20D/Fusionné avec le nº 20D,,,,,,,8
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 20D ","Mobile poll/Bureau itinérant",0,1,8,10,10,1,30,26
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 21","Greenstone-Geraldton",1,3,47,23,28,1,103,253
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 22","Greenstone-Geraldton",1,12,74,42,32,0,161,411
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 23","Greenstone-Geraldton",0,14,59,44,34,0,151,336
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 24","Greenstone-Geraldton",2,10,43,14,28,0,97,203
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 25","Greenstone-Longlac",2,4,63,44,19,1,133,314
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 26","Long Lake 58",1,2,48,16,5,1,73,256
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 27","Greenstone-Longlac",0,3,72,26,30,0,131,274
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 28","Greenstone-Longlac",0,1,69,30,26,0,126,250
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 29","Ginoogaming First Nation 77",0,1,20,17,1,0,39,108
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 30","Greenstone-Longlac",3,13,90,46,38,0,190,415
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 31","Greenstone-Caramat",1,6,3,13,9,0,32,70
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 32","Toimela",1,18,75,53,68,0,215,438
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 33","Kaministiquia",0,13,89,32,44,2,180,345
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 34","Gorham",2,21,82,35,50,0,190,358
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 35","Gorham",1,15,63,30,41,0,150,308
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 36","Gorham",1,13,84,27,42,1,168,353
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 36-1","Gorham",0,8,17,6,13,0,44,134
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 37","MacGregor",0,6,15,15,41,0,77,146
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 38A","MacGregor",1,8,50,35,51,0,145,257
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 38B","MacGregor",0,11,33,24,40,0,108,234
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 39","MacGregor",0,3,21,24,16,0,64,110
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 40A","MacGregor",0,17,53,38,28,0,136,277
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 40B","MacGregor",0,12,29,21,59,0,121,235
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 41","Amethyst Harbour",1,13,49,40,85,0,188,327
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 42","Pass Lake",5,15,58,39,62,0,179,327
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 43","Thunder Bay",0,15,66,34,65,0,180,376
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 44A","Thunder Bay",0,7,46,24,29,0,106,239
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 44B","Thunder Bay",0,7,34,28,42,0,111,213
