Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anita Agrawal,Carolyn Bennett,Justin Erdman,Heather Jewell,John Kittredge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"St. Paul's/St. Paul's"," 1","Toronto",15,44,6,21,0,1,87,178
35077,"St. Paul's/St. Paul's"," 1-1","Toronto",11,34,3,27,0,2,77,224
35077,"St. Paul's/St. Paul's"," 2","Toronto",37,115,9,38,12,3,214,437
35077,"St. Paul's/St. Paul's"," 2-1","Toronto",43,96,8,30,4,3,184,373
35077,"St. Paul's/St. Paul's"," 3","Toronto",39,73,8,29,4,2,155,340
35077,"St. Paul's/St. Paul's"," 4","Toronto",36,87,16,32,2,0,173,378
35077,"St. Paul's/St. Paul's"," 5","Toronto",46,131,14,33,2,3,229,470
35077,"St. Paul's/St. Paul's"," 6","Toronto",48,85,12,35,1,0,181,409
35077,"St. Paul's/St. Paul's"," 7A","Toronto",26,63,10,15,1,0,115,254
35077,"St. Paul's/St. Paul's"," 7B","Toronto",28,65,8,25,1,0,127,272
35077,"St. Paul's/St. Paul's"," 8","Toronto",48,94,11,19,2,2,176,440
35077,"St. Paul's/St. Paul's"," 9","Toronto",62,119,13,26,3,1,224,504
35077,"St. Paul's/St. Paul's"," 10","Toronto",39,96,11,24,1,1,172,429
35077,"St. Paul's/St. Paul's"," 11","Toronto",31,75,18,33,2,4,163,398
35077,"St. Paul's/St. Paul's"," 12","Toronto",30,104,15,22,3,1,175,418
35077,"St. Paul's/St. Paul's"," 13A","Toronto",30,52,18,30,2,0,132,270
35077,"St. Paul's/St. Paul's"," 13B","Toronto",26,68,11,32,4,0,141,266
35077,"St. Paul's/St. Paul's"," 14","Toronto",23,53,15,16,1,0,108,214
35077,"St. Paul's/St. Paul's"," 15","Toronto",43,107,8,13,2,0,173,353
35077,"St. Paul's/St. Paul's"," 16","Toronto",43,156,18,44,2,5,268,503
35077,"St. Paul's/St. Paul's"," 17","Toronto",32,110,23,36,2,3,206,376
35077,"St. Paul's/St. Paul's"," 18","Toronto",27,96,14,56,2,0,195,396
35077,"St. Paul's/St. Paul's"," 19","Toronto",23,101,13,76,1,2,216,413
35077,"St. Paul's/St. Paul's"," 20","Toronto",22,117,21,113,3,1,277,485
35077,"St. Paul's/St. Paul's"," 21","Toronto",1,40,8,42,0,0,91,233
35077,"St. Paul's/St. Paul's"," 22","Toronto",17,84,15,63,1,0,180,383
35077,"St. Paul's/St. Paul's"," 23","Toronto",9,46,8,41,1,3,108,236
35077,"St. Paul's/St. Paul's"," 24","Toronto",20,114,19,94,0,3,250,457
35077,"St. Paul's/St. Paul's"," 25","Toronto",24,63,10,28,1,0,126,276
35077,"St. Paul's/St. Paul's"," 26","Toronto",19,70,13,78,0,1,181,368
35077,"St. Paul's/St. Paul's"," 27","Toronto",45,126,27,54,2,2,256,476
35077,"St. Paul's/St. Paul's"," 28","Toronto",49,134,19,42,1,1,246,427
35077,"St. Paul's/St. Paul's"," 29","Toronto",38,85,14,32,2,1,172,369
35077,"St. Paul's/St. Paul's"," 30","Toronto",32,140,19,25,1,1,218,395
35077,"St. Paul's/St. Paul's"," 31","Toronto",54,133,35,26,2,0,250,400
35077,"St. Paul's/St. Paul's"," 32","Toronto",39,150,26,25,2,1,243,398
35077,"St. Paul's/St. Paul's"," 33","Toronto",37,73,13,41,1,3,168,372
35077,"St. Paul's/St. Paul's"," 34","Toronto",56,117,30,36,0,2,241,424
35077,"St. Paul's/St. Paul's"," 35","Toronto",51,187,45,28,0,0,311,426
35077,"St. Paul's/St. Paul's"," 36","Toronto",40,147,30,37,2,1,257,377
35077,"St. Paul's/St. Paul's"," 37","Toronto",53,106,39,34,0,0,232,421
35077,"St. Paul's/St. Paul's"," 38","Toronto",50,96,33,24,0,1,204,350
35077,"St. Paul's/St. Paul's"," 39","Toronto",50,182,28,44,3,0,307,500
35077,"St. Paul's/St. Paul's"," 40","Toronto",28,86,14,13,1,0,142,253
35077,"St. Paul's/St. Paul's"," 41","Toronto",53,72,17,28,0,0,170,331
35077,"St. Paul's/St. Paul's"," 42","Toronto",42,109,42,32,2,1,228,382
35077,"St. Paul's/St. Paul's"," 43","Toronto",33,108,20,43,2,4,210,418
35077,"St. Paul's/St. Paul's"," 44","Toronto",47,58,16,19,0,1,141,360
