Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rod Bruinooge,David Cosby,John Loewen,Heidi Loewen-Steffano,Sean Robert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 35","Winnipeg",61,9,51,1,27,0,149,370
46013,"Winnipeg South/Winnipeg-Sud"," 36","Winnipeg",128,10,85,1,15,0,239,398
46013,"Winnipeg South/Winnipeg-Sud"," 37","Winnipeg",70,5,68,1,14,0,158,276
46013,"Winnipeg South/Winnipeg-Sud"," 38","Winnipeg",94,3,58,2,15,0,172,287
46013,"Winnipeg South/Winnipeg-Sud"," 39","Winnipeg",135,19,82,0,43,0,279,449
46013,"Winnipeg South/Winnipeg-Sud"," 40","Winnipeg",129,17,92,0,51,1,290,526
46013,"Winnipeg South/Winnipeg-Sud"," 41","Winnipeg",93,0,65,3,9,1,171,278
46013,"Winnipeg South/Winnipeg-Sud"," 42","Winnipeg",121,9,88,2,15,0,235,367
46013,"Winnipeg South/Winnipeg-Sud"," 43","Winnipeg",128,15,109,2,45,1,300,534
46013,"Winnipeg South/Winnipeg-Sud"," 44","Winnipeg",89,11,39,1,42,0,182,408
46013,"Winnipeg South/Winnipeg-Sud"," 45","Winnipeg",79,8,46,0,30,2,165,337
46013,"Winnipeg South/Winnipeg-Sud"," 46","Winnipeg",91,9,37,1,53,0,191,419
46013,"Winnipeg South/Winnipeg-Sud"," 47","Winnipeg",86,4,61,1,14,0,166,254
46013,"Winnipeg South/Winnipeg-Sud"," 48","Winnipeg",72,10,109,1,36,1,229,350
46013,"Winnipeg South/Winnipeg-Sud"," 49","Winnipeg",89,5,98,1,33,0,226,327
46013,"Winnipeg South/Winnipeg-Sud"," 50","Winnipeg",113,13,109,1,20,1,257,418
46013,"Winnipeg South/Winnipeg-Sud"," 51","Winnipeg",148,11,93,1,25,1,279,469
46013,"Winnipeg South/Winnipeg-Sud"," 52","Winnipeg",72,7,61,2,28,0,170,343
46013,"Winnipeg South/Winnipeg-Sud"," 53","Winnipeg",80,10,72,5,30,0,197,373
46013,"Winnipeg South/Winnipeg-Sud"," 54","Winnipeg",111,17,78,1,35,0,242,418
46013,"Winnipeg South/Winnipeg-Sud"," 55","Winnipeg",99,4,63,2,15,2,185,299
