Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Laird,Marnie Mellish,Paddy Torsney,Mike Wallace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35010,"Burlington/Burlington"," 1A","Burlington",23,15,72,78,1,189,370
35010,"Burlington/Burlington"," 1B","Burlington",27,15,76,72,0,190,392
35010,"Burlington/Burlington"," 1C","Burlington",21,11,66,74,0,172,364
35010,"Burlington/Burlington"," 2","Burlington",16,24,61,62,0,163,331
35010,"Burlington/Burlington"," 3","Burlington",26,17,58,104,1,206,360
35010,"Burlington/Burlington"," 4","Burlington",13,7,53,74,0,147,275
35010,"Burlington/Burlington"," 5","Burlington",17,8,71,114,1,211,346
35010,"Burlington/Burlington"," 6","Burlington",16,18,47,91,1,173,290
35010,"Burlington/Burlington"," 7","Burlington",31,23,63,103,0,220,380
35010,"Burlington/Burlington"," 8","Burlington",22,17,66,86,0,191,306
35010,"Burlington/Burlington"," 9","Burlington",22,6,55,112,6,201,308
35010,"Burlington/Burlington"," 10","Burlington",25,9,47,76,0,157,255
35010,"Burlington/Burlington"," 11","Burlington",21,14,46,106,1,188,316
35010,"Burlington/Burlington"," 12","Burlington",25,16,68,106,0,215,343
35010,"Burlington/Burlington"," 13","Burlington",36,18,57,100,0,211,416
35010,"Burlington/Burlington"," 14","Burlington",27,10,53,51,2,143,280
35010,"Burlington/Burlington"," 15","Burlington",22,19,54,92,2,189,355
35010,"Burlington/Burlington"," 16","Burlington",35,13,71,108,0,227,421
35010,"Burlington/Burlington"," 17","Burlington",41,20,72,112,0,245,410
35010,"Burlington/Burlington"," 18","Burlington",21,24,57,112,1,215,332
35010,"Burlington/Burlington"," 19","Burlington",35,17,51,78,0,181,270
35010,"Burlington/Burlington"," 20","Burlington",18,7,43,90,1,159,222
35010,"Burlington/Burlington"," 21","Burlington",19,21,75,98,0,213,359
35010,"Burlington/Burlington"," 22","Burlington",22,27,103,91,1,244,384
35010,"Burlington/Burlington"," 23","Burlington",20,12,63,105,0,200,330
35010,"Burlington/Burlington"," 24","Burlington",14,9,56,123,0,202,335
35010,"Burlington/Burlington"," 25","Burlington",24,24,80,110,1,239,352
35010,"Burlington/Burlington"," 26","Burlington",25,13,92,107,0,237,412
35010,"Burlington/Burlington"," 27","Burlington",36,12,49,65,0,162,321
35010,"Burlington/Burlington"," 28","Burlington",22,11,109,157,0,299,477
35010,"Burlington/Burlington"," 29","Burlington",16,12,54,84,3,169,320
35010,"Burlington/Burlington"," 30","Burlington",9,10,82,122,0,223,344
35010,"Burlington/Burlington"," 31","Burlington",12,13,55,111,1,192,321
35010,"Burlington/Burlington"," 32","Burlington",21,23,44,88,0,176,317
35010,"Burlington/Burlington"," 33","Burlington",20,12,28,48,2,110,241
35010,"Burlington/Burlington"," 34","Burlington",19,17,66,103,0,205,427
35010,"Burlington/Burlington"," 35","Burlington",19,11,62,87,0,179,304
35010,"Burlington/Burlington"," 36A","Burlington",19,14,47,58,0,138,272
35010,"Burlington/Burlington"," 36B","Burlington",27,15,54,64,1,161,289
35010,"Burlington/Burlington"," 37A","Burlington",20,5,50,93,2,170,298
35010,"Burlington/Burlington"," 37B","Burlington",32,2,55,70,0,159,319
35010,"Burlington/Burlington"," 38","Burlington",19,24,64,105,2,214,376
35010,"Burlington/Burlington"," 39","Burlington",20,17,58,94,0,189,271
35010,"Burlington/Burlington"," 40","Burlington",20,15,52,86,1,174,302
35010,"Burlington/Burlington"," 41","Burlington",22,10,54,91,0,177,282
35010,"Burlington/Burlington"," 42","Burlington",5,12,56,119,2,194,282
35010,"Burlington/Burlington"," 43","Burlington",16,9,79,106,2,212,346
35010,"Burlington/Burlington"," 44","Burlington",24,10,78,112,0,224,358
35010,"Burlington/Burlington"," 45","Burlington",8,14,55,79,0,156,235
35010,"Burlington/Burlington"," 46A","Burlington",29,9,43,56,0,137,279
35010,"Burlington/Burlington"," 46B","Burlington",13,12,48,66,1,140,310
35010,"Burlington/Burlington"," 47","Burlington",19,14,67,95,1,196,304
35010,"Burlington/Burlington"," 48","Burlington",20,8,83,87,0,198,319
35010,"Burlington/Burlington"," 49","Burlington",21,16,61,119,0,217,329
35010,"Burlington/Burlington"," 50","Burlington",17,15,74,133,1,240,368
35010,"Burlington/Burlington"," 51","Burlington",12,9,83,129,1,234,351
35010,"Burlington/Burlington"," 52","Burlington",8,16,75,110,0,209,325
35010,"Burlington/Burlington"," 53","Burlington",10,10,66,112,0,198,332
