Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Niki Ashton,Wally Daudrich,Saara Harvie,Tina Keeper,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46003,"Churchill/Churchill"," 1","Lac Brochet",71,2,2,156,2,233,399
46003,"Churchill/Churchill"," 2","Tadoule Lake",21,0,1,36,1,59,172
46003,"Churchill/Churchill"," 3","Churchill",92,39,9,73,1,214,446
46003,"Churchill/Churchill"," 4","Churchill",47,39,9,58,2,155,273
46003,"Churchill/Churchill"," 5","Brochet",41,0,2,38,2,83,249
46003,"Churchill/Churchill"," 6","South Indian Lake",41,15,2,20,0,78,462
46003,"Churchill/Churchill"," 7","Lynn Lake",77,59,7,37,0,180,421
46003,"Churchill/Churchill"," 8","Lynn Lake",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 8-1","Granville Lake",2,0,0,7,0,9,17
46003,"Churchill/Churchill"," 9","Pukatawagan",50,3,4,111,2,170,590
46003,"Churchill/Churchill"," 10","Leaf Rapids",28,40,3,31,1,103,335
46003,"Churchill/Churchill"," 11A","Nelson House",Merged with No. 12A/Fusionné avec le nº 12A,,,,,,105
46003,"Churchill/Churchill"," 11B","Nelson House",Merged with No. 12B/Fusionné avec le nº 12B,,,,,,86
46003,"Churchill/Churchill"," 12A","Nelson House",93,11,3,84,1,192,479
46003,"Churchill/Churchill"," 12B","Nelson House",128,13,5,105,7,258,539
46003,"Churchill/Churchill"," 13","Paint Lake",38,56,2,21,1,118,165
46003,"Churchill/Churchill"," 14","Wabowden",83,33,1,35,0,152,403
46003,"Churchill/Churchill"," 15A","Thompson",Merged with No. 16A/Fusionné avec le nº 16A,,,,,,153
46003,"Churchill/Churchill"," 15B","Thompson",Merged with No. 16B/Fusionné avec le nº 16B,,,,,,180
46003,"Churchill/Churchill"," 16A","Thompson",84,56,5,43,1,189,359
46003,"Churchill/Churchill"," 16B","Thompson",113,47,12,40,1,213,330
46003,"Churchill/Churchill"," 17","Thompson",91,70,6,18,0,185,388
46003,"Churchill/Churchill"," 18","Thompson",97,70,9,19,1,196,404
46003,"Churchill/Churchill"," 19","Thompson",75,42,7,15,1,140,316
46003,"Churchill/Churchill"," 20","Thompson",64,44,5,19,1,133,260
46003,"Churchill/Churchill"," 21","Thompson",66,19,5,15,0,105,198
46003,"Churchill/Churchill"," 22","Thompson",58,52,8,18,0,136,298
46003,"Churchill/Churchill"," 23","Thompson",66,28,4,24,0,122,406
46003,"Churchill/Churchill"," 24","Thompson",59,16,6,29,0,110,275
46003,"Churchill/Churchill"," 25","Thompson",88,21,7,40,3,159,433
46003,"Churchill/Churchill"," 26","Thompson",58,13,5,24,0,100,336
46003,"Churchill/Churchill"," 27","Thompson",74,20,4,32,2,132,395
46003,"Churchill/Churchill"," 28","Thompson",90,41,8,41,0,180,416
46003,"Churchill/Churchill"," 29","Thompson",40,20,4,18,2,84,328
46003,"Churchill/Churchill"," 30","Thompson",90,55,10,30,1,186,409
46003,"Churchill/Churchill"," 31","Thompson",73,40,5,20,0,138,378
46003,"Churchill/Churchill"," 32","Thompson",41,43,6,10,0,100,235
46003,"Churchill/Churchill"," 33","Thompson",82,82,5,36,1,206,385
46003,"Churchill/Churchill"," 34","Thompson",106,90,9,25,1,231,528
46003,"Churchill/Churchill"," 35","Thompson",54,23,2,9,0,88,390
46003,"Churchill/Churchill"," 36","Thompson",90,47,9,26,3,175,420
46003,"Churchill/Churchill"," 37","Thompson",75,45,8,24,1,153,432
46003,"Churchill/Churchill"," 38","Thompson",58,23,5,29,0,115,354
46003,"Churchill/Churchill"," 39","Thicket Portage",25,1,0,5,2,33,111
46003,"Churchill/Churchill"," 40","Pikwitonei",17,15,3,2,2,39,62
46003,"Churchill/Churchill"," 41","York Landing",62,0,0,12,0,74,200
46003,"Churchill/Churchill"," 42A","Split Lake",102,8,3,50,1,164,227
46003,"Churchill/Churchill"," 42B","Split Lake",117,5,2,62,0,186,259
