Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Côté,Jacques Gourde,Marie-Thérèse Hovington,Shirley Picknell,Antoine Sarrazin-Bourgoin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 105","Saint-Jean-Chrysostome",29,87,25,5,51,3,200,282
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 106","Saint-Jean-Chrysostome",21,66,21,2,37,3,150,325
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 107","Saint-Jean-Chrysostome",40,89,26,0,59,5,219,418
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 108","Saint-Jean-Chrysostome",68,153,45,8,91,4,369,572
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 109","Saint-Jean-Chrysostome",47,109,30,2,70,8,266,456
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 110","Saint-Jean-Chrysostome",56,113,31,8,50,5,263,487
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 111","Saint-Jean-Chrysostome",39,80,38,6,65,5,233,394
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 112","Saint-Jean-Chrysostome",31,88,13,2,52,5,191,339
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 113","Saint-Jean-Chrysostome",56,101,30,5,92,7,291,471
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 114","Saint-Jean-Chrysostome",32,98,48,11,88,2,279,521
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 115","Saint-Jean-Chrysostome",46,126,22,9,59,4,266,469
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 116","Saint-Jean-Chrysostome",51,98,31,11,69,2,262,430
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 117","Saint-Jean-Chrysostome",26,94,17,5,75,3,220,376
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 118","Saint-Jean-Chrysostome",32,108,40,9,62,3,254,429
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 119","Saint-Jean-Chrysostome",25,120,28,2,52,5,232,375
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 119-1","Saint-Jean-Chrysostome",40,108,25,10,32,5,220,372
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 120","Saint-Jean-Chrysostome",18,78,29,3,45,5,178,353
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 121","Saint-Jean-Chrysostome",19,122,17,6,43,0,207,395
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 122","Saint-Jean-Chrysostome",27,74,21,8,36,7,173,321
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 123","Saint-Jean-Chrysostome",39,84,21,3,51,6,204,366
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 124","Saint-Jean-Chrysostome",17,62,12,4,33,2,130,220
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 125","Sainte-Hélène-de-Breakeyville",33,129,33,7,51,10,263,483
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 126","Sainte-Hélène-de-Breakeyville",52,137,30,9,59,6,293,463
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 126-1","Sainte-Hélène-de-Breakeyville",36,121,18,5,31,6,217,390
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 127","Sainte-Hélène-de-Breakeyville",29,98,20,0,44,1,192,304
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 128","Sainte-Hélène-de-Breakeyville",32,95,13,4,51,4,199,344
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 129","Sainte-Hélène-de-Breakeyville",35,97,21,6,45,8,212,362
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 130","Sainte-Hélène-de-Breakeyville",36,158,30,11,84,5,324,525
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 131","Sainte-Hélène-de-Breakeyville",61,131,36,8,83,8,327,563
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 132","Saint-Rédempteur",38,86,22,7,84,3,240,377
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 133","Saint-Rédempteur",47,90,38,6,59,2,242,422
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 134","Saint-Rédempteur",25,66,23,6,58,2,180,329
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 135","Saint-Rédempteur",35,79,44,5,51,3,217,434
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 136","Saint-Rédempteur",24,96,32,7,76,5,240,444
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 137","Saint-Rédempteur",35,85,21,6,61,1,209,425
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 138","Saint-Rédempteur",34,112,49,9,47,5,256,420
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 139","Saint-Rédempteur",32,131,32,5,44,1,245,387
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 139-1","Lévis",26,69,6,0,45,4,150,238
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 139-2","Saint-Rédempteur",25,82,21,1,48,2,179,289
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 140","Saint-Rédempteur",49,108,30,5,68,7,267,453
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 141","Saint-Rédempteur",35,111,41,2,78,3,270,472
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 142A","Saint-Rédempteur",49,121,34,10,61,3,278,540
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 142B","Saint-Rédempteur",24,68,36,3,37,6,174,167
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 142-1","Lévis",Merged with No. 142B/Fusionné avec le nº 142B,,,,,,,140
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 143","Saint-Étienne-de-Lauzon",49,107,25,10,59,2,252,493
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 144","Saint-Étienne-de-Lauzon",20,100,32,7,52,1,212,362
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 145","Saint-Étienne-de-Lauzon",42,127,20,3,69,7,268,442
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 146","Saint-Étienne-de-Lauzon",55,170,35,7,66,7,340,609
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 147","Saint-Étienne-de-Lauzon",36,114,15,4,58,0,227,432
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 148","Saint-Étienne-de-Lauzon",55,147,29,10,73,3,317,507
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 149","Saint-Étienne-de-Lauzon",35,114,26,5,52,6,238,385
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 150","Saint-Étienne-de-Lauzon",31,123,18,6,44,3,225,384
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 151","Saint-Étienne-de-Lauzon",43,121,17,8,59,10,258,397
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 152","Saint-Étienne-de-Lauzon",29,96,18,3,64,9,219,369
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 153","Saint-Étienne-de-Lauzon",28,107,27,8,65,7,242,501
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 153-1","Lévis",20,151,21,5,46,6,249,428
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 154","Saint-Étienne-de-Lauzon",27,82,13,2,36,2,162,311
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 155","Saint-Étienne-de-Lauzon",28,101,17,4,19,5,174,293
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 155-1","Lévis",32,88,26,5,54,6,211,318
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 156","Saint-Étienne-de-Lauzon",38,137,37,8,63,4,287,498
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 157","Saint-Étienne-de-Lauzon",33,124,28,6,67,4,262,505
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 158","Saint-Étienne-de-Lauzon",29,110,20,10,44,0,213,342
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 159","Saint-Lambert-de-Lauzon",39,162,24,9,76,7,317,582
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 160","Saint-Lambert-de-Lauzon",34,123,32,9,65,3,266,502
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 161","Saint-Lambert-de-Lauzon",28,104,14,6,54,5,211,354
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 162","Saint-Lambert-de-Lauzon",30,118,23,14,57,4,246,468
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 163","Saint-Lambert-de-Lauzon",47,219,43,7,58,3,377,620
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 164","Saint-Lambert-de-Lauzon",28,84,23,7,36,2,180,322
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 164-1","Saint-Lambert-de-Lauzon",21,144,18,4,53,3,243,390
