Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Côté,Jacques Gourde,Marie-Thérèse Hovington,Shirley Picknell,Antoine Sarrazin-Bourgoin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 606","Saint-Rédempteur",33,152,47,7,63,4,306,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 607","Saint-Rédempteur",35,149,32,4,106,3,329,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 608","Charny",37,164,73,12,91,3,380,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 609","Charny",21,168,50,2,70,6,317,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 610","Charny",22,149,59,5,92,3,330,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 611","Saint-Jean-Chrysostome",34,156,33,9,101,4,337,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 612","Saint-Jean-Chrysostome",26,124,26,5,65,2,248,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 613","Saint-Jean-Chrysostome",40,178,54,6,101,3,382,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 614","Saint-Jean-Chrysostome",29,153,35,5,53,0,275,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 615","Sainte-Hélène-de-Breakeyville",26,160,32,7,71,5,301,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 616","Saint-Étienne-de-Lauzon",16,173,30,8,67,3,297,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 617","Saint-Étienne-de-Lauzon",18,143,24,4,44,4,237,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 618","Saint-Apollinaire",7,154,28,3,40,0,232,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 619","Saint-Agapit",10,53,28,2,17,0,110,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 620","Laurier-Station",8,102,14,3,27,2,156,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 621","Saint-Janvier-de-Joly",12,32,4,0,6,0,54,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 622","Saint-Lambert-de-Lauzon",28,159,25,8,56,2,278,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 623","Saint-Gilles",3,21,0,0,10,0,34,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 624","Saint-Narcisse",12,39,4,0,6,0,61,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 625","Saint-Patrice-de-Beaurivage",5,11,12,0,12,0,40,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 626","Dosquet",3,41,8,2,12,0,66,
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière",,Group 1/Groupe 1,8,78,15,3,29,8,141,310
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière",,Group 2/Groupe 2,44,145,45,7,122,12,375,

