Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marlin Belt,Bob Deptuck,Raquel Fletcher,Ed Komarnicki,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 1","Summerberry",5,7,9,74,1,96,186
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 2","Grenfell",9,3,10,134,2,158,245
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 3","Grenfell",14,2,22,61,0,99,204
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 4","Grenfell",15,16,42,141,1,215,465
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 5","Sakimay 74",8,4,9,132,0,153,298
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 6","Cowessess 73",20,5,32,14,0,71,258
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 7","Ochapowace 71",9,3,16,3,0,31,105
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 8","Broadview",17,10,32,102,0,161,273
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 9","Broadview",17,15,59,113,1,205,479
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 10","Whitewood",16,7,27,161,3,214,359
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 11","Whitewood",13,12,42,107,2,176,391
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 12","Whitewood",4,7,19,86,0,116,211
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 13","Wapella",6,11,17,97,0,131,227
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 14","Wapella",8,8,17,80,0,113,255
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 15","Rocanville",15,22,27,159,0,223,350
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 16","Rocanville",4,9,27,59,0,99,171
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 17","Rocanville",11,51,50,156,0,268,439
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 18","Moosomin",8,28,30,127,0,193,354
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 19","Moosomin",9,19,22,137,0,187,365
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 20","Moosomin",17,11,27,128,2,185,329
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 21","Moosomin",8,7,25,95,0,135,315
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 22","Moosomin",9,10,44,150,1,214,345
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 23","Moosomin",16,13,38,156,2,225,482
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 24","Langbank",4,8,17,132,0,161,267
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 25","St. Hubert Mission",2,1,6,56,0,65,115
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 26","Kipling",9,13,19,133,0,174,290
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 27","Kipling",16,15,41,232,4,308,536
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 28","Kipling",7,6,18,127,0,158,255
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 29","Windthorst",17,9,49,135,2,212,344
