Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réjean Bellemare,Nicolas Dufour,Paul W. Fournier,Bruno Royer,Robert Semegen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Repentigny/Repentigny"," 102","Repentigny",32,129,9,25,32,2,229,346
24053,"Repentigny/Repentigny"," 103","Repentigny",29,105,8,31,34,0,207,439
24053,"Repentigny/Repentigny"," 104","Repentigny",49,126,6,31,33,1,246,407
24053,"Repentigny/Repentigny"," 105","Repentigny",31,135,5,20,37,1,229,391
24053,"Repentigny/Repentigny"," 106","Repentigny",39,123,5,30,32,2,231,400
24053,"Repentigny/Repentigny"," 107","Repentigny",29,123,5,24,38,2,221,397
24053,"Repentigny/Repentigny"," 108","Repentigny",41,127,7,20,18,0,213,444
24053,"Repentigny/Repentigny"," 109","Repentigny",38,147,12,27,31,0,255,422
24053,"Repentigny/Repentigny"," 110A","Repentigny",23,104,6,24,30,2,189,301
24053,"Repentigny/Repentigny"," 110B","Repentigny",25,92,6,26,41,3,193,331
24053,"Repentigny/Repentigny"," 111","Repentigny",41,122,11,47,63,3,287,441
24053,"Repentigny/Repentigny"," 112","Repentigny",26,99,6,31,35,3,200,309
24053,"Repentigny/Repentigny"," 113","Repentigny",46,175,7,40,56,3,327,442
24053,"Repentigny/Repentigny"," 114","Repentigny",38,155,7,48,57,4,309,453
24053,"Repentigny/Repentigny"," 115","Repentigny",37,131,9,40,49,0,266,363
24053,"Repentigny/Repentigny"," 116","Repentigny",35,150,8,46,59,4,302,428
24053,"Repentigny/Repentigny"," 117A","Repentigny",41,148,13,44,58,2,306,461
24053,"Repentigny/Repentigny"," 117B","Mobile poll/Bureau itinérant",12,38,4,19,38,3,114,149
24053,"Repentigny/Repentigny"," 118","Repentigny",59,120,10,42,67,0,298,462
24053,"Repentigny/Repentigny"," 119","Repentigny",49,150,7,25,36,1,268,392
24053,"Repentigny/Repentigny"," 120","Repentigny",40,142,6,55,68,9,320,513
24053,"Repentigny/Repentigny"," 121","Repentigny",47,125,6,15,31,2,226,310
24053,"Repentigny/Repentigny"," 122","Repentigny",33,115,8,22,19,4,201,458
24053,"Repentigny/Repentigny"," 123","Repentigny",34,120,5,31,24,0,214,396
24053,"Repentigny/Repentigny"," 124","Repentigny",20,112,2,25,34,4,197,409
24053,"Repentigny/Repentigny"," 125","Repentigny",29,130,8,27,27,1,222,401
24053,"Repentigny/Repentigny"," 126","Repentigny",17,108,5,18,23,4,175,402
24053,"Repentigny/Repentigny"," 127","Repentigny",33,112,12,28,40,5,230,482
24053,"Repentigny/Repentigny"," 128","Repentigny",33,85,4,25,31,4,182,354
24053,"Repentigny/Repentigny"," 129","Repentigny",36,135,5,34,53,9,272,366
24053,"Repentigny/Repentigny"," 130","Repentigny",29,119,7,47,39,5,246,424
24053,"Repentigny/Repentigny"," 131","Repentigny",48,133,5,35,60,3,284,447
24053,"Repentigny/Repentigny"," 132","Repentigny",38,163,6,34,40,2,283,457
24053,"Repentigny/Repentigny"," 133","Repentigny",47,140,4,45,62,1,299,519
24053,"Repentigny/Repentigny"," 134A","Repentigny",46,128,4,74,77,6,335,496
24053,"Repentigny/Repentigny"," 134B","Mobile poll/Bureau itinérant",Merged with No. 117B/Fusionné avec le nº 117B,,,,,,,27
24053,"Repentigny/Repentigny"," 135","Repentigny",27,90,4,26,24,3,174,316
24053,"Repentigny/Repentigny"," 136A","Repentigny",25,90,4,39,43,2,203,359
24053,"Repentigny/Repentigny"," 136B","Mobile poll/Bureau itinérant",11,6,3,9,8,0,37,49
24053,"Repentigny/Repentigny"," 137","Repentigny",28,108,6,33,30,1,206,309
24053,"Repentigny/Repentigny"," 138","Repentigny",37,106,12,27,39,6,227,351
24053,"Repentigny/Repentigny"," 139","Repentigny",41,122,8,29,33,7,240,445
24053,"Repentigny/Repentigny"," 140","Repentigny",22,111,5,20,20,1,179,375
24053,"Repentigny/Repentigny"," 141","Repentigny",32,99,13,36,31,6,217,392
