Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Beaupré,Denis Blanchette,Michelle Fontaine,Luc Harvey,Stefan Jetchick,Pascal-Pierre Paillé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"Louis-Hébert/Louis-Hébert"," 1","Sainte-Foy",33,28,5,68,1,43,5,183,379
24037,"Louis-Hébert/Louis-Hébert"," 1-1","Sainte-Foy",32,22,1,94,0,45,1,195,399
24037,"Louis-Hébert/Louis-Hébert"," 2","Sainte-Foy",15,27,2,80,1,44,1,170,376
24037,"Louis-Hébert/Louis-Hébert"," 3","Sainte-Foy",27,34,5,110,0,58,6,240,403
24037,"Louis-Hébert/Louis-Hébert"," 4","Sainte-Foy",36,19,5,39,0,46,1,146,262
24037,"Louis-Hébert/Louis-Hébert"," 5","Sainte-Foy",28,29,2,89,1,47,4,200,383
24037,"Louis-Hébert/Louis-Hébert"," 6","Sainte-Foy",21,18,5,76,0,53,4,177,334
24037,"Louis-Hébert/Louis-Hébert"," 7","Sainte-Foy",17,25,5,77,2,47,2,175,367
24037,"Louis-Hébert/Louis-Hébert"," 8","Sainte-Foy",23,22,6,73,1,44,2,171,302
24037,"Louis-Hébert/Louis-Hébert"," 9","Sainte-Foy",25,22,2,73,0,35,2,159,303
24037,"Louis-Hébert/Louis-Hébert"," 10","Sainte-Foy",23,23,4,78,0,33,3,164,348
24037,"Louis-Hébert/Louis-Hébert"," 11","Sainte-Foy",22,13,1,38,1,23,1,99,245
24037,"Louis-Hébert/Louis-Hébert"," 12","Sainte-Foy",48,35,9,101,0,79,5,277,452
24037,"Louis-Hébert/Louis-Hébert"," 13","Sainte-Foy",56,32,6,127,1,77,5,304,505
24037,"Louis-Hébert/Louis-Hébert"," 14A","Sainte-Foy",Merged with No. 14-1A/Fusionné avec le nº 14-1A,,,,,,,,43
24037,"Louis-Hébert/Louis-Hébert"," 14B","Sainte-Foy",Merged with No. 14-1B/Fusionné avec le nº 14-1B,,,,,,,,32
24037,"Louis-Hébert/Louis-Hébert"," 14-1A","Sainte-Foy",27,37,6,88,1,84,5,248,332
24037,"Louis-Hébert/Louis-Hébert"," 14-1B","Sainte-Foy",47,35,4,82,1,67,5,241,334
24037,"Louis-Hébert/Louis-Hébert"," 15","Sainte-Foy",49,24,6,76,0,99,7,261,415
24037,"Louis-Hébert/Louis-Hébert"," 16","Sainte-Foy",17,22,0,43,0,65,3,150,241
24037,"Louis-Hébert/Louis-Hébert"," 17","Sainte-Foy",38,40,4,115,1,91,1,290,485
24037,"Louis-Hébert/Louis-Hébert"," 18","Sainte-Foy",56,29,3,91,0,89,6,274,477
24037,"Louis-Hébert/Louis-Hébert"," 19","Sainte-Foy",30,23,4,95,0,86,4,242,351
24037,"Louis-Hébert/Louis-Hébert"," 20","Sainte-Foy",51,43,5,88,1,68,1,257,476
24037,"Louis-Hébert/Louis-Hébert"," 21","Sainte-Foy",34,12,4,64,0,33,2,149,257
24037,"Louis-Hébert/Louis-Hébert"," 22","Sainte-Foy",25,12,7,56,1,52,1,154,250
24037,"Louis-Hébert/Louis-Hébert"," 23","Sainte-Foy",35,31,10,93,0,85,5,259,423
24037,"Louis-Hébert/Louis-Hébert"," 24","Sainte-Foy",38,29,6,86,1,68,7,235,412
24037,"Louis-Hébert/Louis-Hébert"," 25","Sainte-Foy",16,30,5,83,0,50,8,192,331
24037,"Louis-Hébert/Louis-Hébert"," 26","Sainte-Foy",22,34,2,52,1,48,3,162,307
24037,"Louis-Hébert/Louis-Hébert"," 27","Sainte-Foy",48,31,6,67,2,113,4,271,504
24037,"Louis-Hébert/Louis-Hébert"," 28","Sainte-Foy",24,30,9,38,0,75,3,179,347
24037,"Louis-Hébert/Louis-Hébert"," 29","Sainte-Foy",26,31,10,49,1,70,3,190,405
24037,"Louis-Hébert/Louis-Hébert"," 30","Sainte-Foy",45,27,12,60,0,99,2,245,502
24037,"Louis-Hébert/Louis-Hébert"," 31","Sainte-Foy",28,37,7,45,1,70,3,191,390
24037,"Louis-Hébert/Louis-Hébert"," 32","Sainte-Foy",41,24,8,32,1,59,1,166,330
24037,"Louis-Hébert/Louis-Hébert"," 33","Sainte-Foy",33,20,4,52,2,67,0,178,298
24037,"Louis-Hébert/Louis-Hébert"," 34","Sainte-Foy",38,31,5,59,1,79,3,216,365
24037,"Louis-Hébert/Louis-Hébert"," 35","Sainte-Foy",37,22,9,87,1,71,4,231,335
24037,"Louis-Hébert/Louis-Hébert"," 36","Sainte-Foy",33,25,7,53,2,56,0,176,270
24037,"Louis-Hébert/Louis-Hébert"," 37","Sainte-Foy",39,15,3,51,1,82,1,192,283
24037,"Louis-Hébert/Louis-Hébert"," 38","Sainte-Foy",20,18,1,11,0,71,3,124,234
24037,"Louis-Hébert/Louis-Hébert"," 39","Sainte-Foy",58,42,11,91,1,118,5,326,520
24037,"Louis-Hébert/Louis-Hébert"," 40","Sainte-Foy",17,27,4,41,0,58,4,151,338
24037,"Louis-Hébert/Louis-Hébert"," 41","Sainte-Foy",36,40,8,44,0,55,6,189,343
24037,"Louis-Hébert/Louis-Hébert"," 42","Sainte-Foy",77,30,3,88,1,147,2,348,522
24037,"Louis-Hébert/Louis-Hébert"," 43","Sainte-Foy",45,14,5,41,0,58,2,165,299
24037,"Louis-Hébert/Louis-Hébert"," 44","Sainte-Foy",21,18,6,28,0,58,1,132,286
24037,"Louis-Hébert/Louis-Hébert"," 45","Sainte-Foy",35,16,6,39,0,42,1,139,293
24037,"Louis-Hébert/Louis-Hébert"," 46","Sainte-Foy",29,17,3,44,0,60,4,157,403
24037,"Louis-Hébert/Louis-Hébert"," 47","Sainte-Foy",27,20,4,19,1,49,0,120,419
24037,"Louis-Hébert/Louis-Hébert"," 48","Sainte-Foy",52,16,3,31,0,98,1,201,373
24037,"Louis-Hébert/Louis-Hébert"," 49","Sainte-Foy",42,16,5,28,0,80,0,171,362
24037,"Louis-Hébert/Louis-Hébert"," 49-1","Sainte-Foy",52,48,11,33,0,112,4,260,381
24037,"Louis-Hébert/Louis-Hébert"," 50","Sainte-Foy",51,37,8,50,0,78,3,227,422
24037,"Louis-Hébert/Louis-Hébert"," 51","Sainte-Foy",51,41,10,40,2,105,2,251,470
24037,"Louis-Hébert/Louis-Hébert"," 52","Sainte-Foy",31,16,11,29,0,90,2,179,277
24037,"Louis-Hébert/Louis-Hébert"," 53","Sainte-Foy",37,18,3,26,1,84,0,169,336
24037,"Louis-Hébert/Louis-Hébert"," 54","Sainte-Foy",32,32,4,36,0,76,0,180,461
24037,"Louis-Hébert/Louis-Hébert"," 55","Sainte-Foy",44,17,7,43,0,75,6,192,374
24037,"Louis-Hébert/Louis-Hébert"," 56","Sainte-Foy",40,23,6,44,1,82,6,202,351
24037,"Louis-Hébert/Louis-Hébert"," 57A","Sainte-Foy",38,28,9,17,1,89,7,189,356
24037,"Louis-Hébert/Louis-Hébert"," 57B","Sainte-Foy",33,29,8,19,1,83,5,178,351
24037,"Louis-Hébert/Louis-Hébert"," 58A","Sainte-Foy",Merged with No. 57A/Fusionné avec le nº 57A,,,,,,,,60
24037,"Louis-Hébert/Louis-Hébert"," 58B","Sainte-Foy",Merged with No. 57B/Fusionné avec le nº 57B,,,,,,,,59
24037,"Louis-Hébert/Louis-Hébert"," 59","Sainte-Foy",26,26,7,13,0,105,2,179,414
24037,"Louis-Hébert/Louis-Hébert"," 60","Sillery",89,8,4,31,1,41,2,176,272
24037,"Louis-Hébert/Louis-Hébert"," 61","Sillery",59,25,3,18,0,130,0,235,373
24037,"Louis-Hébert/Louis-Hébert"," 62","Sillery",113,13,11,72,0,95,5,309,496
24037,"Louis-Hébert/Louis-Hébert"," 63","Sillery",44,24,12,25,4,111,2,222,335
24037,"Louis-Hébert/Louis-Hébert"," 64","Sillery",36,22,2,20,0,100,0,180,300
24037,"Louis-Hébert/Louis-Hébert"," 65","Sillery",75,24,7,44,4,150,2,306,545
24037,"Louis-Hébert/Louis-Hébert"," 66A","Sillery",30,12,5,30,0,71,0,148,290
24037,"Louis-Hébert/Louis-Hébert"," 66B","Sillery",Merged with No. 62/Fusionné avec le nº 62,,,,,,,,122
24037,"Louis-Hébert/Louis-Hébert"," 67","Sillery",59,3,0,47,0,39,0,148,414
24037,"Louis-Hébert/Louis-Hébert"," 67-1","Sillery",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 68","Sillery",29,7,7,47,0,50,3,143,362
24037,"Louis-Hébert/Louis-Hébert"," 69","Sillery",40,25,8,28,1,88,3,193,398
24037,"Louis-Hébert/Louis-Hébert"," 70","Sillery",40,24,9,18,1,124,3,219,349
24037,"Louis-Hébert/Louis-Hébert"," 71","Sillery",42,11,8,14,1,98,0,174,298
24037,"Louis-Hébert/Louis-Hébert"," 72","Sillery",69,18,5,35,0,119,7,253,396
24037,"Louis-Hébert/Louis-Hébert"," 73","Sillery",50,7,8,50,3,82,1,201,344
24037,"Louis-Hébert/Louis-Hébert"," 74","Sillery",41,15,1,38,0,78,2,175,258
24037,"Louis-Hébert/Louis-Hébert"," 75","Sillery",63,15,6,68,0,69,2,223,385
24037,"Louis-Hébert/Louis-Hébert"," 76","Sillery",92,14,4,54,0,60,2,226,411
24037,"Louis-Hébert/Louis-Hébert"," 77","Sillery",88,15,5,45,1,78,0,232,354
24037,"Louis-Hébert/Louis-Hébert"," 78","Sillery",86,6,3,43,1,54,0,193,318
24037,"Louis-Hébert/Louis-Hébert"," 79","Sillery",96,17,6,45,0,82,0,246,372
24037,"Louis-Hébert/Louis-Hébert"," 80","Sillery",40,59,13,18,1,120,1,252,256
24037,"Louis-Hébert/Louis-Hébert"," 81","Sillery",63,19,3,53,0,78,0,216,365
24037,"Louis-Hébert/Louis-Hébert"," 82","Sillery",59,18,8,59,0,88,0,232,369
24037,"Louis-Hébert/Louis-Hébert"," 83","Sillery",58,21,6,31,0,90,1,207,422
24037,"Louis-Hébert/Louis-Hébert"," 84","Sillery",35,6,2,29,2,42,1,117,244
24037,"Louis-Hébert/Louis-Hébert"," 85","Sillery",67,22,9,41,0,123,1,263,477
24037,"Louis-Hébert/Louis-Hébert"," 86","Sainte-Foy",64,24,2,66,0,83,3,242,403
24037,"Louis-Hébert/Louis-Hébert"," 87","Sainte-Foy",51,21,7,36,0,89,0,204,324
24037,"Louis-Hébert/Louis-Hébert"," 88","Sainte-Foy",25,15,3,25,0,68,3,139,223
24037,"Louis-Hébert/Louis-Hébert"," 89","Sainte-Foy",33,23,3,31,1,87,2,180,294
24037,"Louis-Hébert/Louis-Hébert"," 90","Sainte-Foy",67,7,4,78,0,80,2,238,346
24037,"Louis-Hébert/Louis-Hébert"," 90-1","Sainte-Foy",53,28,1,49,0,79,4,214,393
24037,"Louis-Hébert/Louis-Hébert"," 91","Sainte-Foy",80,16,1,67,0,79,1,244,365
24037,"Louis-Hébert/Louis-Hébert"," 92","Sainte-Foy",55,15,3,39,0,70,3,185,360
24037,"Louis-Hébert/Louis-Hébert"," 93","Sainte-Foy",29,19,3,43,0,51,3,148,273
24037,"Louis-Hébert/Louis-Hébert"," 94","Sainte-Foy",78,8,4,43,0,32,4,169,297
24037,"Louis-Hébert/Louis-Hébert"," 95","Sainte-Foy",89,21,7,102,0,71,1,291,415
24037,"Louis-Hébert/Louis-Hébert"," 96","Sainte-Foy",41,10,3,32,0,81,0,167,273
24037,"Louis-Hébert/Louis-Hébert"," 97","Sainte-Foy",50,21,3,42,0,69,0,185,301
24037,"Louis-Hébert/Louis-Hébert"," 98","Sainte-Foy",24,24,10,25,0,58,3,144,297
24037,"Louis-Hébert/Louis-Hébert"," 99","Sainte-Foy",80,22,5,66,0,67,3,243,411
24037,"Louis-Hébert/Louis-Hébert"," 100","Sainte-Foy",23,17,4,53,2,59,1,159,287
24037,"Louis-Hébert/Louis-Hébert"," 101","Sainte-Foy",31,36,7,38,0,59,3,174,340
24037,"Louis-Hébert/Louis-Hébert"," 102","Sainte-Foy",12,20,4,37,0,55,0,128,292
24037,"Louis-Hébert/Louis-Hébert"," 103","Sainte-Foy",24,38,6,45,0,81,1,195,341
24037,"Louis-Hébert/Louis-Hébert"," 104","Sainte-Foy",28,20,4,38,2,73,1,166,335
24037,"Louis-Hébert/Louis-Hébert"," 105","Sainte-Foy",38,14,1,22,0,52,0,127,286
24037,"Louis-Hébert/Louis-Hébert"," 106","Sainte-Foy",22,15,1,47,0,20,1,106,257
24037,"Louis-Hébert/Louis-Hébert"," 107","Sainte-Foy",59,16,7,39,1,86,3,211,405
24037,"Louis-Hébert/Louis-Hébert"," 108","Sainte-Foy",30,19,1,34,0,75,1,160,385
24037,"Louis-Hébert/Louis-Hébert"," 109","Sainte-Foy",25,15,2,34,0,38,2,116,290
24037,"Louis-Hébert/Louis-Hébert"," 110","Sainte-Foy",65,13,8,44,0,88,2,220,360
24037,"Louis-Hébert/Louis-Hébert"," 111","Sainte-Foy",34,14,4,43,0,71,0,166,248
24037,"Louis-Hébert/Louis-Hébert"," 112","Sainte-Foy",63,14,4,46,0,86,0,213,369
24037,"Louis-Hébert/Louis-Hébert"," 113","Sainte-Foy",92,10,8,92,0,68,1,271,462
24037,"Louis-Hébert/Louis-Hébert"," 114","Sainte-Foy",54,17,10,37,0,104,2,224,353
24037,"Louis-Hébert/Louis-Hébert"," 115","Sainte-Foy",50,20,10,21,1,77,1,180,325
24037,"Louis-Hébert/Louis-Hébert"," 116","Sainte-Foy",82,17,6,52,1,83,0,241,348
24037,"Louis-Hébert/Louis-Hébert"," 117","Sainte-Foy",40,13,3,39,0,64,2,161,242
24037,"Louis-Hébert/Louis-Hébert"," 118","Sainte-Foy",47,20,5,24,0,71,0,167,303
24037,"Louis-Hébert/Louis-Hébert"," 119","Sainte-Foy",70,19,1,44,0,97,3,234,410
24037,"Louis-Hébert/Louis-Hébert"," 120","Sainte-Foy",64,23,1,61,1,93,0,243,396
24037,"Louis-Hébert/Louis-Hébert"," 121","Sainte-Foy",40,13,4,28,1,74,4,164,291
24037,"Louis-Hébert/Louis-Hébert"," 122","Sainte-Foy",55,23,6,36,0,90,1,211,340
24037,"Louis-Hébert/Louis-Hébert"," 123","Sainte-Foy",33,19,4,38,0,84,0,178,284
24037,"Louis-Hébert/Louis-Hébert"," 124","Sainte-Foy",55,19,12,48,0,78,3,215,378
24037,"Louis-Hébert/Louis-Hébert"," 125","Sainte-Foy",57,19,6,37,0,67,3,189,320
24037,"Louis-Hébert/Louis-Hébert"," 126","Sainte-Foy",44,14,7,43,3,45,2,158,308
24037,"Louis-Hébert/Louis-Hébert"," 126-1","Sainte-Foy",45,32,2,41,1,65,3,189,311
24037,"Louis-Hébert/Louis-Hébert"," 127","Sainte-Foy",36,25,3,40,0,72,2,178,385
24037,"Louis-Hébert/Louis-Hébert"," 128","Sainte-Foy",108,18,4,82,0,96,1,309,559
24037,"Louis-Hébert/Louis-Hébert"," 129","Sainte-Foy",32,21,6,51,0,65,3,178,307
24037,"Louis-Hébert/Louis-Hébert"," 129-1","Sainte-Foy",34,22,6,42,0,44,5,153,275
24037,"Louis-Hébert/Louis-Hébert"," 130","Sainte-Foy",30,17,2,21,0,37,0,107,202
24037,"Louis-Hébert/Louis-Hébert"," 130-1","Sainte-Foy",44,15,1,62,0,60,2,184,419
24037,"Louis-Hébert/Louis-Hébert"," 131","Sainte-Foy",23,21,4,22,0,50,2,122,246
24037,"Louis-Hébert/Louis-Hébert"," 132","Sainte-Foy",55,30,6,44,1,76,0,212,382
24037,"Louis-Hébert/Louis-Hébert"," 132-1","Sainte-Foy",50,23,7,45,0,78,1,204,356
24037,"Louis-Hébert/Louis-Hébert"," 132-2","Sainte-Foy",Void/Supprimé,,,,,,,,
24037,"Louis-Hébert/Louis-Hébert"," 133","Sainte-Foy",19,8,4,18,0,36,3,88,213
24037,"Louis-Hébert/Louis-Hébert"," 134","Sainte-Foy",35,36,10,37,0,71,4,193,396
24037,"Louis-Hébert/Louis-Hébert"," 135","Sainte-Foy",17,22,5,21,0,43,6,114,213
24037,"Louis-Hébert/Louis-Hébert"," 136","Sainte-Foy",24,29,9,44,0,44,2,152,283
24037,"Louis-Hébert/Louis-Hébert"," 137","Sainte-Foy",33,33,5,58,0,86,2,217,408
24037,"Louis-Hébert/Louis-Hébert"," 138","Sainte-Foy",53,24,4,45,0,84,0,210,328
24037,"Louis-Hébert/Louis-Hébert"," 139","Sainte-Foy",51,15,5,42,0,72,0,185,264
24037,"Louis-Hébert/Louis-Hébert"," 140","Sainte-Foy",50,26,9,66,0,96,6,253,445
24037,"Louis-Hébert/Louis-Hébert"," 141","Sainte-Foy",43,21,8,43,0,75,2,192,305
24037,"Louis-Hébert/Louis-Hébert"," 142","Sainte-Foy",39,17,0,26,0,80,0,162,301
24037,"Louis-Hébert/Louis-Hébert"," 143","Sainte-Foy",55,25,3,39,1,81,3,207,346
24037,"Louis-Hébert/Louis-Hébert"," 144","Sainte-Foy",36,20,6,48,0,66,1,177,288
24037,"Louis-Hébert/Louis-Hébert"," 145","Sainte-Foy",44,12,1,39,0,66,0,162,265
24037,"Louis-Hébert/Louis-Hébert"," 146","Sainte-Foy",27,8,1,37,0,55,3,131,270
24037,"Louis-Hébert/Louis-Hébert"," 147","Sainte-Foy",60,32,10,60,0,100,0,262,452
24037,"Louis-Hébert/Louis-Hébert"," 148","Sainte-Foy",76,30,6,112,0,110,5,339,583
24037,"Louis-Hébert/Louis-Hébert"," 148-1","Sainte-Foy",74,19,7,82,0,84,1,267,417
24037,"Louis-Hébert/Louis-Hébert"," 149","Sainte-Foy",30,21,6,50,0,94,7,208,356
24037,"Louis-Hébert/Louis-Hébert"," 150A","Sainte-Foy",37,15,0,84,0,71,1,208,402
24037,"Louis-Hébert/Louis-Hébert"," 150B","Sainte-Foy",29,18,5,100,1,55,1,209,413
